# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4150002010160,有限会社ソフト,,奈良県,大和高田市,奈良県大和高田市曙町１４番２－７号,it,care|it,2015-10-05,false,,,,,0745-22-8500,,,国税庁 法人番号公表サイト,2015-11-20
1150002004784,有限会社あいネット,,奈良県,天理市,奈良県天理市東井戸堂町３７２番地１,it,care,2015-10-05,false,,,,http://www.ainetgroup.net,0743-68-1515,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1150001011261,奈良ヘルスケアシステム株式会社,ナラヘルスケアシステム,奈良県,磯城郡田原本町,奈良県磯城郡田原本町大字千代１１４３番地の７,it,care|it,2015-10-05,false,,,,,0744-32-0902,,,国税庁 法人番号公表サイト,2022-09-26
4150001016654,株式会社ＵＴケアシステム,ユーティーケアシステム,奈良県,橿原市,奈良県橿原市御坊町１５２,it,care|it,2015-10-05,false,,,,http://utcaresystem.com/,0744-20-1785,,http://utcaresystem.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7150001010480,株式会社ケアテック,ケアテック,奈良県,橿原市,奈良県橿原市醍醐町２９６番地の１,it,care|it,2015-10-05,false,,,,,0746-34-3355,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9150001010561,システムヴァン株式会社,システムヴァン,奈良県,橿原市,奈良県橿原市十市町８５０番地の２,it,care|it,2015-10-05,false,,,,,0744-24-1552,,,国税庁 法人番号公表サイト,2020-05-18
8150001015297,株式会社ライフネット,ライフネット,奈良県,香芝市,奈良県香芝市下田東１丁目４６４番地の４,it,care,2015-10-05,false,,,,,0745-76-1855,,,国税庁 法人番号公表サイト,2022-12-02
1150002010312,有限会社ホームエコテック,ホームエコテック,奈良県,北葛城郡上牧町,奈良県北葛城郡上牧町大字上牧２７４１番地の３,it,care|realestate|it,2015-10-05,false,,,,,0745-71-3020,,,国税庁 法人番号公表サイト,2026-06-30
8150002010388,有限会社福祉環境システム,,奈良県,北葛城郡河合町,奈良県北葛城郡河合町大字大輪田２５８番地,it,care|it,2015-10-05,false,,,,,0745-34-0507,,,国税庁 法人番号公表サイト,2015-11-20
1011101061292,マルサンテック株式会社,マルサンテック,奈良県,生駒市,奈良県生駒市小瀬町３４６番地４２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-20
1021001056929,オコダソフト株式会社,オコダソフト,奈良県,奈良市,奈良県奈良市高畑町１３６３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-09
1120001046054,ナニワ資材システム株式会社,ナニワシザイシステム,奈良県,奈良市,奈良県奈良市あやめ池南６丁目５番４１－４０９号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-28
1120001087791,ビジネス・システム・プランニング株式会社,,奈良県,奈良市,奈良県奈良市東登美ヶ丘６丁目２１番１３号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001032242,株式会社河野システムズ,カワノシステムズ,奈良県,大和郡山市,奈良県大和郡山市白土町６４６番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-18
1150001001155,株式会社ソフテック,,奈良県,奈良市,奈良県奈良市百楽園２丁目３番７号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1150001001535,株式会社ナノテック,ナノテック,奈良県,奈良市,奈良県奈良市西大寺宝ヶ丘６番６号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001002079,プロテック株式会社,プロテック,奈良県,奈良市,奈良県奈良市北之庄西町２丁目１番１３号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-13
1150001002649,ロボテック株式会社,ロボテック,奈良県,奈良市,奈良県奈良市朝日町２丁目８番地の５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-26
1150001002888,株式会社ラインシステム,ラインシステム,奈良県,奈良市,奈良県奈良市西九条町２丁目５－１０,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001004637,株式会社アスカテック,アスカテック,奈良県,生駒市,奈良県生駒市あすか野北３丁目３番２１号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-25
1150001004744,株式会社エイテック,エイテック,奈良県,生駒市,奈良県生駒市鹿ノ台南１丁目１番地の５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-23
1150001005420,株式会社インターテック,インターテック,奈良県,奈良市,奈良県奈良市荻町５１８番地の１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-08
1150001005610,株式会社エヌテック,エヌテック,奈良県,大和郡山市,奈良県大和郡山市馬司町６４８番地の１,it,it,2015-10-05,false,628,,,https://www.n-tec.u-tc.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001005783,株式会社タクトシステム,タクトシステム,奈良県,大和郡山市,奈良県大和郡山市城町１８１２番地の２０,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-24
1150001006666,株式会社日本ユニテック,ニホンユニテック,奈良県,山辺郡山添村,奈良県山辺郡山添村大字切幡１３４３番地の１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-03
1150001006880,株式会社安寿ネット,アスネット,奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町小吉田２丁目１６番１９号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-19
1150001007037,セパレーターシステム工業株式会社,セパレーターシステムコウギョウ,奈良県,生駒郡平群町,奈良県生駒郡平群町春日丘２丁目７番７号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001007672,株式会社エムズネット,エムズネット,奈良県,大和郡山市,奈良県大和郡山市発志院町２０８－１フジタカビル３０１号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-18
