# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3150002001838,有限会社ヤマキ代務サービス,,奈良県,奈良市,奈良県奈良市南城戸町２８番地,service,care,2015-10-05,false,,,,,0742-62-7726,,,国税庁 法人番号公表サイト,2015-11-20
1150002003159,株式会社ハッピーサービスグループ,ハッピーサービスグループ,奈良県,奈良市,奈良県奈良市六条３丁目１番１５号,service,care,2015-10-05,false,206,,,https://www.happy-service.co.jp/,0742-52-8880,,https://www.happy-service.co.jp/news,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1150002010659,有限会社デイサービスらぶ,デイサービスラブ,奈良県,大和高田市,奈良県大和高田市大字礒野４９０番地４,service,care,2015-10-05,false,,,,,0745-22-2010,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4150001018634,株式会社デイサービス虹,デイサービスニジ,奈良県,御所市,奈良県御所市大字稲宿５６１番地,service,care,2015-10-05,false,,,,,0745-60-0475,,,国税庁 法人番号公表サイト,2023-10-16
4150001017297,株式会社タカラインサービス,,奈良県,宇陀市,奈良県宇陀市榛原福地２８４番地,service,care,2015-10-05,false,,,,takarainservice@gmail.com,0745-82-7515,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1150002008975,有限会社サン企画コーポレーション,サンキカクコーポレーション,奈良県,大和高田市,奈良県大和高田市大字松塚８５２番地,service,care|advertising,2015-10-05,false,,,,,0745-52-2942,,,国税庁 法人番号公表サイト,2018-04-05
4150002003288,有限会社三九サービス,サンキュウサービス,奈良県,奈良市,奈良県奈良市大安寺町５４８番地の５,service,care,2015-10-05,false,,,,http://hp.kaipoke.biz/2hs/,0742-36-2229,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7150001022113,株式会社リンクサービス,リンクサービス,奈良県,桜井市,奈良県桜井市朝倉台東６丁目１５５４番地の４１,service,care,2018-02-21,false,,,,http://hpkaipoke.biz/vro/,0744-45-5242,,,国税庁 法人番号公表サイト,2019-04-16
7150001016940,株式会社デイサービスセンター笛吹,デイサービスセンターフエフキ,奈良県,葛城市,奈良県葛城市笛吹５４６番地１,service,care,2015-10-05,false,5,,,http://hp.kaipoke.biz/7nd/,0745-43-5076,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7150002000431,有限会社大奈企画,,奈良県,奈良市,奈良県奈良市六条３丁目１１番４０号,service,care|advertising,2015-10-05,false,,,,,0744-34-7024,,,国税庁 法人番号公表サイト,2015-11-20
