# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8370105000082,みやぎ仙南農業協同組合,ミヤギセンナン,宮城県,柴田郡柴田町,宮城県柴田郡柴田町西船迫１丁目１０番地の３,agriculture,care|agriculture,2015-10-05,false,426,,,https://www.ja-miyagisennan.jp/,0224-55-1111,,https://www.ja-miyagisennan.jp/inquiry,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7370205000108,新みやぎ農業協同組合,シンミヤギ,宮城県,栗原市,宮城県栗原市築館字照越大ケ原４３番地１,agriculture,care|agriculture,2015-10-05,false,,,,,0228-57-3121,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5370405000504,みやぎ登米農業協同組合,ミヤギトメ,宮城県,登米市,宮城県登米市中田町石森字駒牽２６５番地の１,agriculture,care|agriculture,2015-10-05,false,501,,,http://miyagitome.or.jp/,0220-23-8011,s-mu@ja-miyagitome.jp,https://form.ja-group.or.jp/ja-miyagitome/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8370001018179,株式会社カワイチファーム,,宮城県,仙台市青葉区,宮城県仙台市青葉区国見２丁目３番１２号,agriculture,care|agriculture,2015-10-05,false,,,,http://www.stella-pax.com.,022-388-7015,,,国税庁 法人番号公表サイト,2015-10-30
1370001015109,農業生産法人株式会社関東農園,,宮城県,仙台市泉区,宮城県仙台市泉区実沢字館屋敷１２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-21
1370001017014,株式会社蔵王わくわくファーム,ザオウワクワクファーム,宮城県,刈田郡蔵王町,宮城県刈田郡蔵王町遠刈田温泉字七日原２４２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-21
1370001021791,太平林業株式会社,タイヘイリンギョウ,宮城県,仙台市太白区,宮城県仙台市太白区郡山字穴田東１５番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-16
1370001022996,農業生産法人・東穀・ライス匠株式会社,,宮城県,黒川郡大和町,宮城県黒川郡大和町吉岡字上柴崎６番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-21
1370001023020,丹野林業株式会社,タンノリンギョウ,宮城県,仙台市太白区,宮城県仙台市太白区山田北前町２９番８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-20
1370001025446,株式会社センコンファーム,センコンファーム,宮城県,仙台市青葉区,宮城県仙台市青葉区中央４丁目１０番３号仙台キャピタルタワー,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-26
1370001038910,株式会社花兄園ファーム,カケイエンファーム,宮城県,大崎市,宮城県大崎市鹿島台船越字山古屋前沢１番地,agriculture,agriculture,2015-12-08,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-19
1370001039388,株式会社長尾農園,,宮城県,大崎市,宮城県大崎市古川川熊字北迫３番地５,agriculture,agriculture,2016-04-04,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-08
1370001039685,株式会社長沼サイド上野牧場,,宮城県,登米市,宮城県登米市迫町北方字台３８番地,agriculture,agriculture,2016-05-27,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1370001039966,シーサイドファーム波路上株式会社,シーサイドファームハジカミ,宮城県,気仙沼市,宮城県気仙沼市波路上杉ノ下１３０番地,agriculture,agriculture,2016-07-20,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-23
1370001040701,株式会社ゴリラファーム,,宮城県,仙台市泉区,宮城県仙台市泉区野村字野村９５番地の２,agriculture,agriculture,2016-12-26,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1370001041484,株式会社勝一丸水産,,宮城県,石巻市,宮城県石巻市新山浜不動沢１１番地,agriculture,agriculture,2017-05-19,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-24
1370001044009,株式会社土生農園,ハブノウエン,宮城県,亘理郡山元町,宮城県亘理郡山元町山寺字稲生１６番地,agriculture,agriculture,2019-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-08
1370001044628,浜義丸水産株式会社,ハマヨシマルスイサン,宮城県,東松島市,宮城県東松島市大塚字松崎１３番地４,agriculture,agriculture,2019-07-18,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-23
