# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2370001009860,パルクシステム株式会社,パルクシステム,宮城県,仙台市青葉区,宮城県仙台市青葉区国分町３丁目４番１０号,it,care|it,2015-10-05,false,,,,http://www.parcsystem.co.jp,022-716-0635,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4370005002653,特定非営利活動法人国際福祉ネットみやぎ・２１,,宮城県,仙台市青葉区,宮城県仙台市青葉区小田原６丁目１番８－５０４号,it,care,2015-10-05,false,,,,国際福祉ネット・みやぎ,022-268-1642,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3370001040633,株式会社ひまわりケアシステム,ヒマワリケアシステム,宮城県,亘理郡山元町,宮城県亘理郡山元町高瀬字合戦原１００番地４１,it,care|it,2016-12-09,false,,,,,0223-35-6530,,,国税庁 法人番号公表サイト,2019-11-13
8370001024326,株式会社エムテック,エムテック,宮城県,仙台市泉区,宮城県仙台市泉区南光台２丁目１４番４４号,it,care|it,2015-10-05,false,,,,http://www.open-houkan.jp,022-725-8381,,http://www.open-houkan.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9370601003034,株式会社サンテック,サンテック,宮城県,塩竈市,宮城県塩竈市小松崎４番４５号,it,care|it,2015-10-05,false,,,,,022-361-4711,,,国税庁 法人番号公表サイト,2020-07-22
4370001011591,株式会社東北医療福祉システムズ,トウホクイリョウフクシシステムズ,宮城県,仙台市太白区,宮城県仙台市太白区向山２丁目１３番２２号,it,care|clinic|it,2015-10-05,false,,,,http://www.yasuragien.co.jp/,023-625-0661,,,国税庁 法人番号公表サイト,2021-11-16
1010401182006,ケイテック株式会社,ケイテック,宮城県,加美郡加美町,宮城県加美郡加美町字雁原３２５番地,it,it,2024-04-22,false,214,,,https://www.k-technology.co.jp/csr/diversity/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011101091983,データコムホールディングス株式会社,データコムホールディングス,宮城県,仙台市青葉区,宮城県仙台市青葉区本町１丁目１３番２２号,it,it,2020-07-21,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-08
1011101092701,スマートメンテック株式会社,スマートメンテック,宮城県,仙台市若林区,宮城県仙台市若林区新寺１丁目２－１８－９０６,it,it,2020-10-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-24
1011501016086,株式会社アシステック,アシステック,宮城県,栗原市,宮城県栗原市若柳字川北中文字９５番１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-26
