# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8370205001773,医療法人一秀会,イッシュウカイ,宮城県,栗原市,宮城県栗原市金成末野台下３１番地１,medical,care|clinic,2015-10-05,false,290,,,,0191-31-8766,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2370001050096,株式会社ケアリー東北,ケアリートウホク,宮城県,仙台市青葉区,宮城県仙台市青葉区折立１丁目１１番２０号,medical,care,2023-06-19,false,,,,,0191-21-3030,,,国税庁 法人番号公表サイト,2025-05-07
2370005001467,社会福祉法人こーぷ福祉会,コープフクシカイ,宮城県,仙台市青葉区,宮城県仙台市青葉区桜ケ丘２丁目２０番１号,medical,care,2015-10-05,false,146,,,https://www.coop-fukushikai.jp/,022-719-1275,,https://www.coop-fukushikai.jp/inquiry,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3370001014868,セントケア東北株式会社,セントケアトウホク,宮城県,仙台市青葉区,宮城県仙台市青葉区本町１丁目１１番１１号,medical,care,2015-10-05,false,423,,,http://www.saint-care-tm.com/,022-771-5355,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8370001045074,株式会社みらいケア,ミライケア,宮城県,仙台市宮城野区,宮城県仙台市宮城野区東仙台５丁目２１番４０号,medical,care,2019-11-22,false,,,,https://miraicare-k.co.jp,042-634-9979,,https://miraicare-k.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3370001048759,株式会社エヌエスケア仙台,エヌエスケアセンダイ,宮城県,仙台市青葉区,宮城県仙台市青葉区本町１丁目１２番１２号ＧＭビルディング２階,medical,care,2022-07-08,false,162,,,https://www.ns-care-sendai.jp,022-398-3029,,https://www.ns-care-sendai.jp/#contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2370002009785,有限会社いずみ訪問介護サービス家政婦紹介所,,宮城県,仙台市青葉区,宮城県仙台市青葉区川平２丁目１８番３号,medical,care,2015-10-05,false,,,,,022-303-0631,,,国税庁 法人番号公表サイト,2017-12-05
3370002014818,有限会社あけぼの介護センター,,宮城県,仙台市青葉区,宮城県仙台市青葉区中江１丁目１３番１１号,medical,care,2015-10-05,false,,,,,022-796-6360,,,国税庁 法人番号公表サイト,2016-08-24
9370005001221,医療法人社団光友会,シャダンコウユウカイ,宮城県,仙台市泉区,宮城県仙台市泉区実沢字立田屋敷１７番地の１,medical,care|clinic,2015-10-05,false,,,,http://www.matsuda-hp.com./,0224-84-6121,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1370005004000,医療法人総志会,ソウシカイ,宮城県,仙台市青葉区,宮城県仙台市青葉区下愛子字観音堂１番１,medical,care|clinic,2015-10-05,false,,,,https://vimoksa.com/,0223997141,,https://vimoksa.com/form/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
