# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5370001013265,株式会社ウェルライフ,ウェルライフ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区萩野町３丁目２０番３号,other,care,2015-10-05,false,,,,,022‐381‐0781,,,国税庁 法人番号公表サイト,2025-01-17
5370201003925,株式会社イークアル,イークアル,宮城県,栗原市,宮城県栗原市築館字芋埣柿木原１７番地,other,care,2015-10-05,false,,,,,0228-25-4833,,,国税庁 法人番号公表サイト,2023-08-24
6370001008504,株式会社シグマ,シグマ,宮城県,仙台市青葉区,宮城県仙台市青葉区西花苑１丁目３９番７号,other,care,2015-10-05,false,,,,http://sigmainc.site,022-796-6126,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3370002016434,有限会社まめしば,マメシバ,宮城県,仙台市青葉区,宮城県仙台市青葉区花京院２丁目１番７号,other,care,2015-10-05,false,,,,http://mamesub2.wix.com/shibawanko,022-268-1170,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9370001014648,株式会社シルバーライフ,シルバーライフ,宮城県,仙台市太白区,宮城県仙台市太白区袋原字小原５６－１,other,care,2015-10-05,false,,,,,022-748-4670,,,国税庁 法人番号公表サイト,2019-03-07
8370001007941,株式会社ケイ・デイ・エム,ケイデイエム,宮城県,仙台市青葉区,宮城県仙台市青葉区中山吉成２丁目１０番５号,other,care,2015-10-05,false,,,,https://www.kdm-miyagi.com/,022-277-5001,,https://www.kdm-miyagi.com/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4370001031689,株式会社ＬＧＳ,エルジーエス,宮城県,仙台市青葉区,宮城県仙台市青葉区大町２丁目１３番２４号,other,care,2015-10-05,false,,,,,022-397-7693,,,国税庁 法人番号公表サイト,2025-10-06
4370001019362,株式会社中川,ナカガワ,宮城県,仙台市青葉区,宮城県仙台市青葉区小田原４丁目２番１８号,other,care,2015-10-05,false,47,,,,022-393-8749,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1370001044231,株式会社フルパワー,フルパワー,宮城県,仙台市宮城野区,宮城県仙台市宮城野区新田１丁目１０番５６号,other,care,2019-04-04,false,13,,,https://fullpower-japan.jp,022-385-7962,info@fullpower-japan.jp,https://fullpower-japan.jp/contactus,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1370001039421,みはる株式会社,,宮城県,仙台市泉区,宮城県仙台市泉区松陵４丁目４６番地の９,other,care,2016-04-08,false,,,,,022-796-6617,,,国税庁 法人番号公表サイト,2016-04-14
3370001016393,株式会社アルベートサム,アルベートサム,宮城県,仙台市太白区,宮城県仙台市太白区大野田４丁目６番１号リバーサイド三樹Ⅰ号館２０２号,other,care,2015-10-05,false,15,,,https://arbetsam.jp/business-overview/,022-796-1836,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9370003003475,Ｇａｒａｇｅ合同会社,ガレージ,宮城県,仙台市太白区,宮城県仙台市太白区日本平６番１８号,other,care,2016-04-26,false,,,,,022-797-3316,,,国税庁 法人番号公表サイト,2020-08-28
7370001044861,株式会社Ｆｏｒ　ａｌｌ,フォーオール,宮城県,仙台市泉区,宮城県仙台市泉区歩坂町１９番７号,other,care,2019-09-18,false,,,,http://hp.kaipoke.biz/chs/,022‐342‐0422,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1370001042680,株式会社ゆぅ,ユゥ,宮城県,仙台市青葉区,宮城県仙台市青葉区台原３丁目１６番１２号,other,care,2018-02-19,false,,,,,022-342-4462,,,国税庁 法人番号公表サイト,2019-05-15
2370003005107,合同会社ゆいの声,ユイノコエ,宮城県,仙台市青葉区,宮城県仙台市青葉区栗生５丁目１０番２３号－２０３号,other,care,2021-02-09,false,,,,,022-392-4288,,,国税庁 法人番号公表サイト,2021-02-09
6370003005755,合同会社Ｅａｓｙｇｏｉｎｇ,イージーゴーイング,宮城県,仙台市青葉区,宮城県仙台市青葉区吉成１丁目９－２５,other,care,2022-07-05,false,,,,,022-346-8093,,,国税庁 法人番号公表サイト,2024-05-17
7370001006250,株式会社やさしい手仙台,ヤサシイテセンダイ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区出花２丁目１２番地の５サンハイツビル１０２号,other,care,2015-10-05,false,190,,,http://www.yasashiite-sendai.jp,022-388-8221,honsha@yasashiite-sendai.jp,http://www.yasashiite-sendai.jp/#form,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8370003001884,合同会社大進,ダイシン,宮城県,仙台市青葉区,宮城県仙台市青葉区国分町３丁目１１番１５号,other,care,2015-10-05,false,,,,,022-395-8963,,,国税庁 法人番号公表サイト,2024-03-11
5370001018677,株式会社フレンド,,宮城県,仙台市青葉区,宮城県仙台市青葉区国見６丁目２４番３２号,other,care,2015-10-05,false,,,,,022-342-9408,,,国税庁 法人番号公表サイト,2015-10-30
7370003006182,合同会社三粒コーポレーション,サンリュウコーポレーション,宮城県,仙台市青葉区,宮城県仙台市青葉区愛子東４丁目５番４７号,other,care,2023-06-29,false,,,,http://hp.kaipoke.biz/64g/,022-724-7365,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7370001049183,株式会社２ｓｉｂ,ツーシブ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区自由ケ丘５番２１号,other,care,2022-10-31,false,,,,https://2sib.jp/,022-342-0706,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4370002008471,有限会社ひまわり看護婦家政婦紹介所,ヒマワリカンゴフカセイフショウカイジョ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区小田原２丁目４番２０号,other,care,2015-10-05,false,,,,https://himawari-kaseifu.jp/,022-256-3367,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4370001023637,株式会社メディワン,メディワン,宮城県,仙台市宮城野区,宮城県仙台市宮城野区新田東２丁目１０番地の４,other,care,2015-10-05,false,,,,http://www.secl.jp/hagi/,080-3206-8560,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5370001039459,株式会社ｅａテクノ仙台,イーエーテクノセンダイ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区岩切１丁目１０番５号２号室,other,care,2016-04-14,false,8,,,https://ayuminomori.com/,0227947030,,https://ayuminomori.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8370003003550,月ひかり合同会社,ツキヒカリ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区鶴ケ谷４丁目１４番２号,other,care,2016-07-20,false,,,,https://tsukihikari-maru.jimdosite.com,022-349-4364,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1370002008697,有限会社丸清阿部土建,,宮城県,仙台市宮城野区,宮城県仙台市宮城野区栄４丁目１９番２２号,other,care,2015-10-05,false,,,,,022-259-0854,,,国税庁 法人番号公表サイト,2015-10-30
7370202004771,株式会社リツワ,リツワ,宮城県,栗原市,宮城県栗原市栗駒岩ケ崎桐木沢６６番地,other,care,2015-10-05,false,335,,,http://ritsuwa.com,0120541652,,http://ritsuwa.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1370003006650,合同会社ｗｉｔｈ,ウイズ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区岩切字上河原５１番地の２１,other,care,2024-06-14,false,,,,,0222904316,,,国税庁 法人番号公表サイト,2024-06-14
2370001012212,株式会社ジョイコム,ジョイコム,宮城県,仙台市宮城野区,宮城県仙台市宮城野区新田１丁目２１番３０号コーポトーセン２０３号,other,care,2015-10-05,false,,,,,022-395-7622,,,国税庁 法人番号公表サイト,2019-02-06
4370001021673,株式会社クオレコーポレーション,,宮城県,仙台市宮城野区,宮城県仙台市宮城野区福室５丁目９番２２号,other,care,2015-10-05,false,,,,,022-355-6385,,,国税庁 法人番号公表サイト,2015-10-30
5370001049978,株式会社ｃｌｉ,シーエルアイ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区宮千代１丁目１９－４スクーデリア宮千代Ｄ号室,other,care,2023-05-18,false,,,,https://www.cli2023.com/,0222006551,,https://www.cli2023.com/#Contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5370001021912,株式会社湧泉会,,宮城県,仙台市泉区,宮城県仙台市泉区将監５丁目７番８号,other,care,2015-10-05,false,13,,,http://yusenkai.co.jp/,022-725-8930,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5370002008553,株式会社フタバタクシー,,宮城県,仙台市宮城野区,宮城県仙台市宮城野区日の出町２丁目３番１８号,other,care,2015-10-05,false,,,,http://www.futabataxi.com,022-236-9361,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3370001021303,株式会社ＧＰ　Ｌｉｍｉｔｅｄ,ジーピーリミテッド,宮城県,仙台市宮城野区,宮城県仙台市宮城野区鶴ケ谷東４丁目２１番１号,other,care,2015-10-05,false,,,,https://www.gplimited.co.jp,022-349-4065,,https://www.gplimited.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6370001048962,株式会社ウォームスト,ウォームスト,宮城県,仙台市泉区,宮城県仙台市泉区松陵４丁目３６番地の１０,other,care,2022-08-19,false,,,,https://nukumori-wormst.crayonsite.net/,0227668637,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6370001025152,株式会社家和楽,ヤワラ,宮城県,仙台市宮城野区,宮城県仙台市宮城野区大梶１３番１９号,other,care,2015-10-05,false,,,,,０２２－２９５－８８０５,,,国税庁 法人番号公表サイト,2020-06-16
1370002006115,有限会社三ツ矢交通,ミツヤコウツウ,宮城県,仙台市若林区,宮城県仙台市若林区南小泉４丁目１４番５－１０１号,other,care,2015-10-05,false,,,,,022-762-7899,,,国税庁 法人番号公表サイト,2020-09-29
9370002006108,有限会社みちのく家政婦紹介所,ミチノクカセイフショウカイジョ,宮城県,仙台市若林区,宮城県仙台市若林区新寺１丁目２番１２号,other,care,2015-10-05,false,,,,https://care-net.biz/04/mitinoku/,022-291-5778,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
