# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1350005004274,はまゆう農業協同組合,ハマユウ,宮崎県,日南市,宮崎県日南市吾田東２丁目５番１５号,agriculture,care|agriculture,2015-10-05,false,,,,,0987-21-1578,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3350005002417,日向農業協同組合,ヒュウガ,宮崎県,日向市,宮崎県日向市鶴町４番地,agriculture,care|agriculture,2015-10-05,false,,,,,0982-55-2526,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001061053,株式会社大成ファーム,,宮崎県,都城市,宮崎県都城市高城町有水２０６３番地８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-20
1330001021309,高千穂農園株式会社,タカチホノウエン,宮崎県,西臼杵郡高千穂町,宮崎県西臼杵郡高千穂町大字五ケ所６９７番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-04
1330001021382,株式会社カミチクファーム九州,カミチクファームキュウシュウ,宮崎県,児湯郡高鍋町,宮崎県児湯郡高鍋町大字上江７０３６番地３６,agriculture,agriculture,2015-10-05,false,48,,,http://www.kamichiku.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001004724,株式会社井上ファーム,,宮崎県,宮崎市,宮崎県宮崎市大字芳士３５６９番地４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001005912,株式会社まる農業,,宮崎県,児湯郡都農町,宮崎県児湯郡都農町大字川北１３３６番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001006423,株式会社尾前牧場,オマエボクジョウ,宮崎県,東臼杵郡椎葉村,宮崎県東臼杵郡椎葉村大字下福良１７３６番地１５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
1350001006588,株式会社橋本水産,ハシモトスイサン,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字平田３４２９番地２４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-04
1350001007116,河野水産株式会社,,宮崎県,延岡市,宮崎県延岡市北浦町古江２３８４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001009228,株式会社宮崎太陽農園,ミヤザキタイヨウノウエン,宮崎県,宮崎市,宮崎県宮崎市大字広原５４３番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001009368,株式会社西郷農園,サイゴウノウエン,宮崎県,都城市,宮崎県都城市今町８９２０番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001009797,株式会社浜上水産,ハマウエスイサン,宮崎県,日南市,宮崎県日南市大堂津４丁目４番３２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-13
1350001009830,倉福林業株式会社,,宮崎県,小林市,宮崎県小林市細野１９５９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001010276,株式会社前林業,マエリンギョウ,宮崎県,小林市,宮崎県小林市堤３３４６番地１２,agriculture,agriculture,2009-08-28,false,,,代表取締役　前　和宏,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001010672,株式会社食健農園,ショクケンノウエン,宮崎県,児湯郡都農町,宮崎県児湯郡都農町大字川北字上ノ原１６９５２番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-28
1350001010887,マルエイ水産株式会社,マルエイスイサン,宮崎県,串間市,宮崎県串間市西浜２丁目７２４７番地５４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001010978,株式会社西都雅農園,,宮崎県,西都市,宮崎県西都市大字童子丸５４８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001011530,株式会社グリーンファーム綾,グリーンファームアヤ,宮崎県,東諸県郡綾町,宮崎県東諸県郡綾町大字南俣４９４１番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-27
1350001011968,みらいグローバルファーム株式会社,ミライグローバルファーム,宮崎県,都城市,宮崎県都城市夏尾町６７６０番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-26
1350001012553,株式会社佐々木ファーム,ササキファーム,宮崎県,延岡市,宮崎県延岡市粟野名町５１７９番地４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-04
1350001013460,株式会社グーファーム,グーファーム,宮崎県,日向市,宮崎県日向市大字日知屋１６７５１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001013709,株式会社前園ファーム,マエゾノファーム,宮崎県,えびの市,宮崎県えびの市大字東川北７９８番地２,agriculture,agriculture,2015-11-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001013832,株式会社鶴喜水産,カッキスイサン,宮崎県,延岡市,宮崎県延岡市北浦町古江３０２１番地,agriculture,agriculture,2016-01-06,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-22
1350001014070,株式会社北部霧島肥育牧場,,宮崎県,えびの市,宮崎県えびの市大字坂元１６６６番地６５９,agriculture,agriculture,2016-06-08,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-14
1350001014145,株式会社キュリアスファーム,,宮崎県,都城市,宮崎県都城市年見町２１号４番地６,agriculture,agriculture,2016-07-08,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-29
1350001014203,株式会社宮崎中西牧場,,宮崎県,小林市,宮崎県小林市真方５０４番地７,agriculture,agriculture,2016-08-08,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001014260,株式会社義直牧場,ヨシナオボクジョウ,宮崎県,児湯郡新富町,宮崎県児湯郡新富町大字日置５３７１番地,agriculture,agriculture,2016-09-09,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-31
1350001014285,まどかファーム株式会社,マドカファーム,宮崎県,宮崎市,宮崎県宮崎市高岡町浦之名４６２４番地１３５,agriculture,agriculture,2016-09-27,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-14
1350001014302,株式会社福留牧場,フクドメボクジョウ,宮崎県,都城市,宮崎県都城市野々美谷町１４２７番地２,agriculture,agriculture,2016-10-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001014855,株式会社おおがた牧場,,宮崎県,都城市,宮崎県都城市御池町５８４４番地４７,agriculture,agriculture,2017-08-04,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-09
1350001015044,株式会社ひなたファーム,ヒナタファーム,宮崎県,東諸県郡綾町,宮崎県東諸県郡綾町大字南俣２３４５番地１,agriculture,agriculture,2017-12-08,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-22
1350001015110,株式会社ベジリーファーム,ベジリーファーム,宮崎県,日南市,宮崎県日南市大字吉野方１０２４番地５,agriculture,agriculture,2018-01-15,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-08
1350001015218,株式会社梶原ファーム,,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字川南２０８４８番地,agriculture,agriculture,2018-04-11,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-16
1350001015457,幸智水産株式会社,コウチスイサン,宮崎県,日南市,宮崎県日南市南郷町潟上２５２番地４,agriculture,agriculture,2018-09-25,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
1350001015515,ネクストファーム株式会社,ネクストファーム,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字平田７１６番地１,agriculture,agriculture,2018-10-26,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001015696,株式会社川合農園,カワイノウエン,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字川南１８９２２番地２,agriculture,agriculture,2019-03-06,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-11
1350001015746,株式会社中村林業,ナカムラリンギョウ,宮崎県,東臼杵郡美郷町,宮崎県東臼杵郡美郷町北郷宇納間６０７７番地１,agriculture,agriculture,2019-04-05,false,15,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001015804,株式会社和田林業,ワダリンギョウ,宮崎県,東諸県郡国富町,宮崎県東諸県郡国富町大字八代南俣２７４７番地８,agriculture,agriculture,2019-05-09,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-14
