# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2350003004119,合同会社ココリース,ココリース,宮崎県,西都市,宮崎県西都市大字下三財７４５４番地,finance,care,2022-07-08,false,,,,https://coccolease.com/,0983-32-1151,,,国税庁 法人番号公表サイト,2025-08-18
1350001001069,株式会社中央ゴルフ証券サービス,,宮崎県,宮崎市,宮崎県宮崎市錦本町３番４１－１号ＪＧＭヴェルデ錦本町壱番館５０３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-02
1350001004963,株式会社ＡＦＫ保険企画,,宮崎県,宮崎市,宮崎県宮崎市松橋２丁目１２番地１７号,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001011027,株式会社日南保険サービス,ニチナンホケンサービス,宮崎県,日南市,宮崎県日南市上平野町１丁目１１番地８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-06
1350001013205,株式会社あいおい総合保険事務所,アイオイソウゴウホケンジムショ,宮崎県,宮崎市,宮崎県宮崎市橘通東３丁目２番１６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-18
1350001018146,株式会社高妻保険事務所,コウヅマホケンジムショ,宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町大字樺山１８８８番地１８,finance,,2023-01-25,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-25
1350001018311,株式会社ＦＰキャピタル,エフピーキャピタル,宮崎県,延岡市,宮崎県延岡市桜小路３４９－３０桜小路ビル１階東,finance,,2023-04-21,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-21
1350001018765,すずらん保険株式会社,スズランホケン,宮崎県,小林市,宮崎県小林市駅南３２番地,finance,,2024-01-29,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-29
1350002002264,有限会社信用興産,,宮崎県,宮崎市,宮崎県宮崎市吉村町大町甲２００３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002003824,有限会社日の丸保険センター,,宮崎県,宮崎市,宮崎県宮崎市和知川原１丁目２４番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002005259,有限会社リース・マット宮崎,,宮崎県,宮崎市,宮崎県宮崎市大字赤江字飛江田８７８番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002009912,有限会社安藝保険事務所２１,,宮崎県,西都市,宮崎県西都市右松２丁目１５番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002010498,有限会社川島保険企画,,宮崎県,日向市,宮崎県日向市大字財光寺２８３番地１９,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002011249,有限会社米良総合保険,,宮崎県,東臼杵郡門川町,宮崎県東臼杵郡門川町大字門川尾末３８３６番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002011406,有限会社リースキン東九州,,宮崎県,日向市,宮崎県日向市大字富高７１４７番地１１３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002012817,有限会社山崎保険事務所,ヤマサキホケンジムショ,宮崎県,延岡市,宮崎県延岡市瀬之口町２丁目２番地１６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-19
1350002013559,有限会社西部リース,,宮崎県,延岡市,宮崎県延岡市上三輪町３８１９番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002015019,有限会社宮島リース,,宮崎県,都城市,宮崎県都城市年見町２５号３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002016909,有限会社宮崎損害保険事務所,,宮崎県,日南市,宮崎県日南市上平野町１丁目１０番地９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350003000119,野中リース合資会社,,宮崎県,宮崎市,宮崎県宮崎市霧島２丁目１５１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350003002585,合同会社ＫＤリース,,宮崎県,都城市,宮崎県都城市郡元町３２６０番地１８６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350003002783,合同会社スマイル保険企画,スマイルホケンキカク,宮崎県,都城市,宮崎県都城市若葉町６４－２,finance,advertising,2016-10-11,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-12
1350005004902,一般社団法人宮崎ファミリー総合保険,,宮崎県,宮崎市,宮崎県宮崎市大字本郷北方字鵜戸尾２７３５番地２６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-23
1350005005702,社会保険労務士法人ＡＬＸ,アルクス,宮崎県,宮崎市,宮崎県宮崎市宮脇町１３４番地２,finance,pro-services,2017-07-11,false,8,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350005006196,社会保険労務士法人ステラ,ステラ,宮崎県,宮崎市,宮崎県宮崎市大島町馬場尻１８８７番地１５,finance,pro-services,2023-12-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-08
2350001008261,平和リース株式会社,ヘイワリース,宮崎県,都城市,宮崎県都城市都北町７０１０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-13
2350001012065,株式会社横手総合保険,ヨコテソウゴウホケン,宮崎県,えびの市,宮崎県えびの市大字榎田５５７番地９３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
2350001014697,サンコーレンタリース株式会社,サンコーレンタリース,宮崎県,都城市,宮崎県都城市都北町７３３３番地,finance,,2017-05-23,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-07
2350001016512,株式会社フリースタイル,フリースタイル,宮崎県,日向市,宮崎県日向市大字塩見１０８７４－１,finance,,2020-07-06,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-21
2350001016768,株式会社若松保険事務所,ワカマツホケンジムショ,宮崎県,都城市,宮崎県都城市下長飯町９０３番地３,finance,,2020-12-04,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-04
2350002003113,有限会社東京信用,,宮崎県,宮崎市,宮崎県宮崎市潮見町２４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002010893,有限会社みやざき保険,ミヤザキホケン,宮崎県,日向市,宮崎県日向市上町１丁目２２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-02
