# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1350001008849,桜食堂株式会社,,宮崎県,都城市,宮崎県都城市都島町１２６番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-11
1350001009608,株式会社キッチン,,宮崎県,日南市,宮崎県日南市瀬貝２丁目３番２０号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001013089,株式会社フードサービス東,フードサービスヒガシ,宮崎県,児湯郡高鍋町,宮崎県児湯郡高鍋町大字北高鍋９３１番地１,food,restaurant,2015-10-05,false,65,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001015399,株式会社牛心フードサービス,ギュウシンフードサービス,宮崎県,小林市,宮崎県小林市真方７８８番地２,food,restaurant,2018-08-03,false,10,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001018781,３１０６キッチン株式会社,サンテルキッチン,宮崎県,宮崎市,宮崎県宮崎市清水２丁目２番１０号３１０６Ｂｌｄｇ．,food,restaurant,2024-02-05,false,60,,,https://santel.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350002001282,有限会社ゴールドフード,ゴールドフード,宮崎県,宮崎市,宮崎県宮崎市生目台東１丁目２０番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-15
1350002004104,有限会社フレッシュフードたおか,,宮崎県,宮崎市,宮崎県宮崎市大島町山田ケ窪１９２８番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002005309,有限会社レストラン・アントニオ,,宮崎県,宮崎市,宮崎県宮崎市橘通東５丁目７番９号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350003003105,株式会社豊住フード,トヨズミフード,宮崎県,延岡市,宮崎県延岡市日の出町１丁目２１番地４,food,,2018-05-15,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2350001008914,松栄フード物流株式会社,ショウエイフードブツリュウ,宮崎県,都城市,宮崎県都城市上水流町８１８番地４,food,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-20
2350002003823,有限会社日の出食堂,ヒノデショクドウ,宮崎県,宮崎市,宮崎県宮崎市天満３丁目７番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-20
