# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3350001012601,株式会社リン・テック・サービス,リンテックサービス,宮崎県,宮崎市,宮崎県宮崎市小松台北町３４番地４,it,care|it,2015-10-05,false,,,,https://www.carelingmariage.jp/,0985-75-0201,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2350001013278,株式会社ハラケアシステム,ハラケアシステム,宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町大字蓼池３６３７番地１,it,care|it,2015-10-05,false,41,,,http://hara-care.com/,+81-986-58-7600,,http://dcontact.jp/docoapo/webform.php?id=69001,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9350005005439,特定非営利活動法人ヒューマンネットワーク２２,ヒューマンネットワークニジュウニ,宮崎県,日南市,宮崎県日南市大字吉野方３８６７番地,it,care,2015-10-05,false,,,,,0987-25-1040,,,国税庁 法人番号公表サイト,2026-06-30
2350005003795,一般社団法人藤元メディカルシステム,フジモトメディカルシステム,宮崎県,都城市,宮崎県都城市早鈴町１７街区１号,it,care|it,2015-10-05,false,1055,,,http://www.fujimoto.or.jp,0986-52-7011,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5350001004910,株式会社ソフトタウン,ソフトタウン,宮崎県,宮崎市,宮崎県宮崎市高洲町２３５番地３,it,care|realestate|it,2015-10-05,false,9,,,http://www.softsangyou.jp/jingu/,0985-78-0770,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4350001009043,株式会社コミュニティアシストネット,コミュニティアシストネット,宮崎県,都城市,宮崎県都城市南横市町１９８９番地１,it,care,2015-10-05,false,,,,,0986-77-2202,,,国税庁 法人番号公表サイト,2022-09-20
1330001014964,サンテクノシステム株式会社,サンテクノシステム,宮崎県,宮崎市,宮崎県宮崎市日ノ出町２６３番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-16
1340001011671,株式会社ボルテックスワン,,宮崎県,延岡市,宮崎県延岡市南一ケ岡４丁目６番４号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001000203,株式会社エアシステム工業,エアシステムコウギョウ,宮崎県,宮崎市,宮崎県宮崎市大字赤江１５５７番地３,it,it,1990-02-28,false,,,代表取締役　中大窪　啓祐,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001000723,株式会社サンネット,サンネット,宮崎県,宮崎市,宮崎県宮崎市橘通西５丁目６番５７号,it,,1996-07-01,false,,,代表取締役　山崎　正嗣,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001000748,株式会社ジェイテック,,宮崎県,宮崎市,宮崎県宮崎市大字芳士１７００番地３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001001341,株式会社ネットワークデザイン,ネットワークデザイン,宮崎県,宮崎市,宮崎県宮崎市佐土原町下田島１１８８８番地１６,it,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-07
1350001001358,株式会社ハイテック,,宮崎県,宮崎市,宮崎県宮崎市堀川町１１番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1350001002744,ジャステック株式会社,ジャステック,宮崎県,宮崎市,宮崎県宮崎市橘通西１丁目２番３号エコシティビル１Ｆ,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-06
1350001004369,ＢＣシステム株式会社,,宮崎県,宮崎市,宮崎県宮崎市平和が丘西町８番地１０,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001004501,株式会社サンライズネットワークス,サンライズネットワークス,宮崎県,宮崎市,宮崎県宮崎市日ノ出町２６３番地１,it,,2015-10-05,false,31,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001007396,ツーバイシステム株式会社,ツーバイシステム,宮崎県,延岡市,宮崎県延岡市平原町３丁目１２５０番地７,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-18
1350001007438,株式会社山口マネジメントシステム研究所,ヤマグチマネジメントシステムケンキュウショ,宮崎県,延岡市,宮崎県延岡市古城町２丁目１番地１４,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-03
1350001007520,株式会社エフテック,エフテック,宮崎県,延岡市,宮崎県延岡市鹿狩瀬町１５６８番地９,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001008023,株式会社システム技研,システムギケン,宮崎県,都城市,宮崎県都城市吉尾町１９８９番地１,it,it,2015-10-05,false,48,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001008568,日本テレックスシステム株式会社,ニホンテレックスシステム,宮崎県,都城市,宮崎県都城市小松原町１１５０番地５７,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-07
1350001010235,株式会社ユウテックモバイル,,宮崎県,小林市,宮崎県小林市本町１番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-24
