# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1350003002197,合同会社ライフプロジェクト宮崎,ライフプロジェクトミヤザキ,宮崎県,西都市,宮崎県西都市旭２丁目４１番地,logistics,care|logistics,2015-10-05,false,,,,,（０９８３）３５-３２５５,,,国税庁 法人番号公表サイト,2020-05-01
1010401104100,くまもとんソーラープロジェクト株式会社,クマモトンソーラープロジェクト,宮崎県,えびの市,宮崎県えびの市大字東長江浦字馬場９０,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-06
1350001001572,北辰運輸株式会社,ホクシンウンユ,宮崎県,宮崎市,宮崎県宮崎市大字赤江１０９５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-06
1350001007025,丸八運輸株式会社,,宮崎県,延岡市,宮崎県延岡市古川町５７２番地イ,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1350001007933,共同運送株式会社,キョウドウウンソウ,宮崎県,都城市,宮崎県都城市都北町４８９４番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-28
1350001008378,都城日石ガス配送株式会社,,宮崎県,都城市,宮崎県都城市平江町２２街区２４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-14
1350001008972,株式会社マキタ運輸,マキタウンユ,宮崎県,都城市,宮崎県都城市高木町６２２６番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001009450,第一運送株式会社,ダイイチウンソウ,宮崎県,日南市,宮崎県日南市上平野町１丁目３番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-28
1350001016042,株式会社フェアプロジェクト,フェアプロジェクト,宮崎県,宮崎市,宮崎県宮崎市佐土原町西上那珂２５０番地１４,logistics,logistics,2019-10-03,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-08
1350001017156,しんゆう運送株式会社,シンユウウンソウ,宮崎県,延岡市,宮崎県延岡市土々呂町６丁目１７００番地,logistics,logistics,2021-06-25,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-25
1350001018427,株式会社絆引越し運送,キズナヒッコシウンソウ,宮崎県,宮崎市,宮崎県宮崎市江南４丁目２０番１号,logistics,logistics,2023-07-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-06
1350002003386,有限会社ナショナル運輸,,宮崎県,宮崎市,宮崎県宮崎市松山１丁目７番１３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002004707,福栄運輸有限会社,,宮崎県,宮崎市,宮崎県宮崎市清武町今泉丙４７４番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002004814,有限会社宮崎ピアノ運送,ミヤザキピアノウンソウ,宮崎県,宮崎市,宮崎県宮崎市大字糸原４３４番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-07
1350002004855,有限会社環境総合運輸,,宮崎県,宮崎市,宮崎県宮崎市日ノ出町２５３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002007263,有限会社綾運送,アヤウンソウ,宮崎県,東諸県郡綾町,宮崎県東諸県郡綾町大字入野４４０６番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-12
1350002009219,有限会社阿萬運輸,,宮崎県,西都市,宮崎県西都市大字南方１５６１番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002010944,本田運送株式会社,ホンダウンソウ,宮崎県,日向市,宮崎県日向市大字財光寺１０７３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-18
1350002012890,有限会社北方運輸,,宮崎県,延岡市,宮崎県延岡市北方町川水流卯１７５５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-09-07
1350002015118,有限会社森山運送,モリヤマウンソウ,宮崎県,都城市,宮崎県都城市下川東３丁目１１号１１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-05
1350002015423,有限会社森田運送,,宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町大字蓼池字村ノ前４１９０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350002015464,有限会社昇栄運送,ショウエイウンソウ,宮崎県,都城市,宮崎県都城市乙房町３３３３番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350002017774,有限会社共和運輸,キョウワウンユ,宮崎県,小林市,宮崎県小林市野尻町三ケ野山３２１７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-06
1350002018541,有限会社飯野運送,イイノウンソウ,宮崎県,えびの市,宮崎県えびの市大字末永１７１０番地１５,logistics,logistics,1972-08-12,false,,,代表取締役　前田　裕子,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350002018946,有限会社大世運輸,,宮崎県,都城市,宮崎県都城市都北町５０９９番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350005005660,特定非営利活動法人田原未来プロジェクト,,宮崎県,西臼杵郡高千穂町,宮崎県西臼杵郡高千穂町大字河内３６番地１,logistics,logistics,2017-01-27,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-01
1350005005909,特定非営利活動法人豊かな島津の杜づくりプロジェクト,ユタカナシマヅノモリヅクリプロジェクト,宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町新馬場２０番地１４,logistics,logistics,2020-03-23,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-23
2010401137108,株式会社オカラテクノロジズ,オカラテクノロジズ,宮崎県,宮崎市,宮崎県宮崎市高岡町下倉永５４４－２,logistics,logistics,2018-03-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-09
2350001001051,株式会社田村運輸,タムラウンユ,宮崎県,宮崎市,宮崎県宮崎市大坪町向溝田２７８２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-03
2350001002685,株式会社太閤運輸,,宮崎県,宮崎市,宮崎県宮崎市中村西２丁目７番８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
2350001004319,株式会社三興運輸,サンコウウンユ,宮崎県,宮崎市,宮崎県宮崎市橘通西５丁目１番２３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2350001005754,丸和運送株式会社,マルワウンソウ,宮崎県,児湯郡高鍋町,宮崎県児湯郡高鍋町大字持田６２８４番地,logistics,logistics,2015-10-05,false,340,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2350001005853,株式会社金海産業運輸,,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字平田４６０４番地１２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350001007890,カズショー運輸株式会社,,宮崎県,都城市,宮崎県都城市太郎坊町１８５８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350001008344,都城運輸株式会社,ミヤコノジョウウンユ,宮崎県,都城市,宮崎県都城市神之山町２０４７番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-04
2350001008518,株式会社今村運送,,宮崎県,都城市,宮崎県都城市高崎町大牟田１１７１番地１６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350001009078,レゾナンステクノロジ株式会社,レゾナンステクノロジ,宮崎県,都城市,宮崎県都城市千町５２５６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-13
2350001009516,宮崎ダイキュー運輸株式会社,ミヤザキダイキューウンユ,宮崎県,日南市,宮崎県日南市大字東弁分乙３５１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-20
2350001010102,株式会社マルキ運輸,マルキウンユ,宮崎県,えびの市,宮崎県えびの市大字大河平４６５４番地１０９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-18
2350001012602,サンプロジェクトジャパン株式会社,,宮崎県,宮崎市,宮崎県宮崎市中村東１丁目２番２４号１Ｆ,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-21
2350001014912,株式会社龍友運輸,リュウトウンユ,宮崎県,宮崎市,宮崎県宮崎市松山１丁目８番９号,logistics,logistics,2017-09-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-21
2350001015002,都城総合物流株式会社,ミヤコノジョウソウゴウブツリュウ,宮崎県,都城市,宮崎県都城市梅北町７３６０番地１,logistics,logistics,2017-11-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-04
2350002002239,有限会社清水ピアノ配送センター,シミズピアノハイソウセンター,宮崎県,宮崎市,宮崎県宮崎市清武町今泉甲３６２０番地６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-15
2350002002833,竹元運送有限会社,,宮崎県,宮崎市,宮崎県宮崎市山崎町下ノ原９８３番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002004243,有限会社堀運送,ホリウンソウ,宮崎県,宮崎市,宮崎県宮崎市大字細江３４１３番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-05
2350002005464,有限会社高岡陸運,タカオカリクウン,宮崎県,宮崎市,宮崎県宮崎市高岡町内山３０３６番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-10
2350002005522,有限会社宮崎興和運輸,,宮崎県,宮崎市,宮崎県宮崎市高岡町花見８２１番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002005935,有限会社ヤマショウ配送,,宮崎県,宮崎市,宮崎県宮崎市中西町２２１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002007989,有限会社藤井運送,フジイウンソウ,宮崎県,宮崎市,宮崎県宮崎市古城町持田５００９番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-17
2350002008153,有限会社弓場元運送,ユバモトウンソウ,宮崎県,東諸県郡国富町,宮崎県東諸県郡国富町大字向高２８７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-30
2350002008962,有限会社甲斐運送,,宮崎県,児湯郡高鍋町,宮崎県児湯郡高鍋町大字上江７０９４番地４３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002009283,河野運輸有限会社,カワノウンユ,宮崎県,西都市,宮崎県西都市大字右松字原無田３２９０番１９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-11
2350002009597,有限会社黒木運輸,,宮崎県,児湯郡川南町,宮崎県児湯郡川南町大字川南５１９９番地２１０の７、５１９９番地２１０の８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2350002010150,有限会社土公運送,,宮崎県,児湯郡新富町,宮崎県児湯郡新富町大字上富田２５８８番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
