# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6350002017613,有限会社小玉商事,コダマショウジ,宮崎県,日南市,宮崎県日南市西町２丁目８番１７号,retail,care|wholesale,2015-10-05,false,,,,,0987-32-1071,,,国税庁 法人番号公表サイト,2019-04-05
2350002010084,有限会社児玉商事,コダマショウジ,宮崎県,児湯郡新富町,宮崎県児湯郡新富町大字上富田２９３２番地１,retail,care|wholesale,2015-10-05,false,,,,,0983-33-2011,,,国税庁 法人番号公表サイト,2020-03-24
6350002010691,ひむか総合商事株式会社,ヒムカソウゴウショウジ,宮崎県,宮崎市,宮崎県宮崎市福島町２丁目４２番地１,retail,care|wholesale,2015-10-05,false,,,,http://hp.kaipoke.biz/44K/,0985-71-3459,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7350002015335,有限会社とまり商事,トマリショウジ,宮崎県,北諸県郡三股町,宮崎県北諸県郡三股町稗田４７番地６,retail,care|wholesale,2015-10-05,false,,,,,0986-52-2267,,,国税庁 法人番号公表サイト,2024-05-09
8350001001228,株式会社難波江商店,ナバエショウテン,宮崎県,宮崎市,宮崎県宮崎市日ノ出町２３８番地１０,retail,care|retail,1951-10-25,false,,,代表取締役　難波江　武彦,,0985-72-3667,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1350001000186,株式会社内村商店,,宮崎県,宮崎市,宮崎県宮崎市淀川１丁目２番１３号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-03
1350001000351,株式会社かね七商店,カネシチショウテン,宮崎県,宮崎市,宮崎県宮崎市新別府町雀田１１８５番地宮﨑中央卸売市場内,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1350001000434,菊池物産株式会社,,宮崎県,宮崎市,宮崎県宮崎市南花ケ島町３４１番地１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1350001001399,ハリウッド化粧品宮崎販売株式会社,,宮崎県,宮崎市,宮崎県宮崎市清水３丁目７番３２号,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-06
1350001001416,光商事株式会社,ヒカリショウジ,宮崎県,宮崎市,宮崎県宮崎市清武町加納乙１番地９９,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-08
