# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1230001000727,株式会社キャピタル,キャピタル,富山県,富山市,富山県富山市上袋４６１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-02
1230001013794,株式会社トミタ保険事務所,トミタホケンジムショ,富山県,中新川郡立山町,富山県中新川郡立山町宮路９２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-16
1230001015254,株式会社みたす保険サービス,ミタスホケンサービス,富山県,富山市,富山県富山市黒瀬４９５番地１オフィスＮＴビル,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-18
1230001016970,株式会社サンショウリース,サンショウリース,富山県,高岡市,富山県高岡市米島２３１番地１,finance,,2017-05-12,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-20
1230001018554,株式会社舟木保険事務所,フナキホケンジムショ,富山県,高岡市,富山県高岡市佐野９３１番地２,finance,,2020-11-18,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-08
1230002005766,有限会社中田保険事務所,,富山県,中新川郡上市町,富山県中新川郡上市町法音寺４番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230002009528,有限会社トヤマリース,トヤマリース,富山県,南砺市,富山県南砺市福野５１６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-30
1230002011211,有限会社シーエス保険サービス,シーエスホケンサービス,富山県,高岡市,富山県高岡市守護町２丁目１２番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-14
1230002011871,有限会社福島保険事務所,,富山県,高岡市,富山県高岡市中川上町６番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230002013397,有限会社エフティ総合保険,,富山県,高岡市,富山県高岡市川原町１０番２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-05
1230003000873,合同会社保険営業サービス,,富山県,射水市,富山県射水市二口７５４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230003001814,太陽リース合同会社,タイヨウリース,富山県,高岡市,富山県高岡市下麻生４９９番地２,finance,,2022-03-04,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-04
1230005002059,社団法人富山県信用保証協会,,富山県,富山市,富山県富山市総曲輪４５５番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230005003445,一般社団法人富山県損害保険代理業協会,トヤマケンソンガイホケンダイリギョウキョウカイ,富山県,富山市,富山県富山市太郎丸本町１丁目９番地の２０,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-20
1230005003536,にいかわ信用金庫,ニイカワ,富山県,魚津市,富山県魚津市双葉町６番５号,finance,,2015-10-05,false,120,,,https://www.shinkin.co.jp/niikawa/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230005006002,高岡信用金庫,タカオカ,富山県,高岡市,富山県高岡市守山町６８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230005007066,氷見伏木信用金庫,ヒミフシキ,富山県,氷見市,富山県氷見市中央町１番３０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230005009244,社会保険労務士法人森井事務所,モリイジムショ,富山県,魚津市,富山県魚津市吉島１６２番地,finance,pro-services,2022-07-11,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-11
1700150050772,北陸電力健康保険組合,ホクリクデンリヨクケンコウホケンクミアイ,富山県,富山市,富山県富山市牛島町１５－１,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150087732,とやま労働保険センター,トヤマロウドウホケンセンター,富山県,富山市,富山県富山市総曲輪２丁目１－３　富山商工会議所ビル６階,finance,,2018-03-01,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
2230001001930,株式会社トヨタレンタリース富山,トヨタレンタリーストヤマ,富山県,富山市,富山県富山市千歳町２丁目５番２６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-11
2230001005873,株式会社サンエス保険,サンエスホケン,富山県,富山市,富山県富山市大泉本町１丁目５番１３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-28
2230001006343,サン保険企画株式会社,サンホケンキカク,富山県,富山市,富山県富山市上本町６番５号,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-12
2230001006624,クローバー保険サービス株式会社,,富山県,中新川郡立山町,富山県中新川郡立山町寺田２２１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-09-13
2230001006871,株式会社加藤保険事務所,カトウホケンジムショ,富山県,富山市,富山県富山市堀川小泉町７７６番地７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-09
2230001007085,株式会社佐々木総合保険,,富山県,魚津市,富山県魚津市上村木１丁目１３番２８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001010485,ずかわ証券ウェルスマネジメント株式会社,ズカワショウケンウェルスマネジメント,富山県,高岡市,富山県高岡市守山町５番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001012952,みろこ保険企画株式会社,ミロコホケンキカク,富山県,射水市,富山県射水市松木２４３番地,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
2230001015633,本野保険事務所株式会社,,富山県,高岡市,富山県高岡市木津１５８４番地７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2230001016433,ほくほくＴＴ証券株式会社,ホクホクティティショウケン,富山県,富山市,富山県富山市丸の内１丁目８番１０号,finance,,2016-04-28,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001017241,さくら保険サービス株式会社,サクラホケンサービス,富山県,富山市,富山県富山市上冨居新町２番１０号,finance,,2017-12-22,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001018207,株式会社矢野保険サービス,ヤノホケンサービス,富山県,富山市,富山県富山市婦中町長沢３３３０番地４８,finance,,2020-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-05
2230001018693,ホムラキャピタル株式会社,ホムラキャピタル,富山県,射水市,富山県射水市西高木１００番地,finance,,2021-02-26,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-26
2230001019774,株式会社ファーストバンク・キャピタルパートナーズ,ファーストバンクキャピタルパートナーズ,富山県,富山市,富山県富山市西町５番１号,finance,pro-services,2023-04-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001020856,はやぶさレンタリース株式会社,ハヤブサレンタリース,富山県,富山市,富山県富山市下新本町１０番地５３,finance,,2025-04-21,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-22
2230001021227,株式会社竹内保険事務所,タケウチホケンジムショ,富山県,射水市,富山県射水市緑町１０番４号,finance,,2026-01-08,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-08
2230001021301,株式会社Ｆ‐ｃｌａｓｓ保険,エフクラスホケン,富山県,富山市,富山県富山市小中３８２番地,finance,,2026-02-16,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-16
2230002000023,有限会社スリーステッキ,スリーステッキ,富山県,富山市,富山県富山市月見町３丁目２９番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-10
2230002000155,有限会社保険工房,ホケンコウボウ,富山県,富山市,富山県富山市大泉東町１丁目１０番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-05
2230002001533,有限会社ジェイリース,,富山県,富山市,富山県富山市城川原２丁目１番１１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2230002001665,有限会社島田保険事務所,シマダホケンジムショ,富山県,富山市,富山県富山市中川原９７番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-25
2230002010393,有限会社藤井保険事務所,,富山県,砺波市,富山県砺波市中野１９３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2230003001862,合同会社オプション保険企画,オプションホケンキカク,富山県,富山市,富山県富山市婦中町田島９８４番地６,finance,advertising,2022-06-10,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-10
2230005000235,富山県信用保証協会,トヤマケン,富山県,富山市,富山県富山市総曲輪２丁目１番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230005003741,黒部市信用農業協同組合,,富山県,黒部市,富山県黒部市三日市３１２３番地,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-16
2230005007189,新湊信用金庫,シンミナト,富山県,射水市,富山県射水市中新湊１２番２０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230005008674,社会保険労務士法人富山労務管理事務所,,富山県,富山市,富山県富山市神通町２丁目５番１２号,finance,realestate|pro-services,2016-04-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-11
2230005009235,社会保険労務士法人ワークデザイン,ワークデザイン,富山県,富山市,富山県富山市西中野町２丁目１５‐３０ミノワビル２Ｆ,finance,pro-services|advertising,2022-06-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-07
2230005009409,社会保険労務士法人ＳＨＩＥＬＤＳ,シールズ,富山県,富山市,富山県富山市上袋２８１フェアリーテールビル２０１,finance,pro-services,2024-09-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-01
2700150050763,不二越健康保険組合,フジコシケンコウホケンクミアイ,富山県,富山市,富山県富山市石金２丁目３－６０,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2700150050862,富山県信用金庫協会,トヤマケンシンヨウキンコキヨウカイ,富山県,富山市,富山県富山市大泉町１丁目１番６号,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-10
2700150050879,富山第一銀行健康保険組合,トヤマダイイチギンコウケンコウホケンクミアイ,富山県,富山市,富山県富山市掛尾町６２６番地,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
