# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1230001006055,株式会社レストラン小西,レストランコニシ,富山県,富山市,富山県富山市堤町通り２丁目３番１８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-15
1230001014867,株式会社フード・プラス,フードプラス,富山県,射水市,富山県射水市草岡町２丁目３番地４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-05
1230001019412,アルカスフードサービス株式会社,アルカスフードサービス,富山県,砺波市,富山県砺波市神島１０１番地２,food,restaurant,2022-06-15,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-15
1230002000065,有限会社フードワークス,,富山県,富山市,富山県富山市新屋１６６番１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230002002672,有限会社日本海食堂,,富山県,富山市,富山県富山市水橋堅田９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230002005452,有限会社シーフード北陸,,富山県,富山市,富山県富山市大泉東町１丁目１０番地６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230002008471,有限会社栄食堂,,富山県,下新川郡朝日町,富山県下新川郡朝日町境６４７番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-19
1230005009211,特定非営利活動法人よってカフェ,,富山県,南砺市,富山県南砺市飛騨屋２３番地,food,restaurant,2022-03-22,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-22
2230001004405,富山グリーンフードリサイクル株式会社,トヤマグリーンフードリサイクル,富山県,富山市,富山県富山市松浦町８番２０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-05
2230001015096,株式会社フードイノベーション,フードイノベーション,富山県,下新川郡入善町,富山県下新川郡入善町入膳４４８８番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-21
2230001020575,株式会社牛若フード,ウシワカフード,富山県,富山市,富山県富山市愛宕町２丁目３番１８号,food,,2024-10-21,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-21
2230002009915,有限会社レストラン土筆,,富山県,南砺市,富山県南砺市井口１３番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2230002010492,有限会社フードプランナー,,富山県,小矢部市,富山県小矢部市東福町１３７２番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2230002014122,有限会社はしもとフードセンター,ハシモトフードセンター,富山県,高岡市,富山県高岡市木町３番９号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-17
3230001006680,美加月飲食産業株式会社,ミカヅキインショクサンギョウ,富山県,富山市,富山県富山市東町２丁目２番１９,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-07
3230001012654,北日本フードサービス株式会社,,富山県,射水市,富山県射水市北野１４６９番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3230002003280,有限会社北陸フードサービス,,富山県,富山市,富山県富山市五福末広１３７３番地レジデンス末広４０３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-03
3230002011911,有限会社フードシヨツプ沢田,,富山県,高岡市,富山県高岡市鴨島町１３７番地の８,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3230002014146,有限会社フードささかわ,,富山県,射水市,富山県射水市三ケ１４９６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
