# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9230001009091,株式会社スリーティ運輸,スリーティウンユ,富山県,小矢部市,富山県小矢部市新西４７番地,logistics,care|logistics,2015-10-05,false,115,,,http://www.3ttt.co.jp,0763-33-5252,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001173850,株式会社アドバンスプロジェクト,アドバンスプロジェクト,富山県,中新川郡上市町,富山県中新川郡上市町法音寺１９－３,logistics,logistics,2016-02-26,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-15
1230001000859,株式会社港栄運輸,,富山県,富山市,富山県富山市海岸通２５５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230001002062,富山運輸株式会社,トヤマウンユ,富山県,富山市,富山県富山市堤町通り１丁目３番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-19
1230001002467,西村物流株式会社,ニシムラブツリュウ,富山県,富山市,富山県富山市布瀬町南２丁目１２番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-24
1230001004934,株式会社リアル・ニューロテクノロジー,,富山県,富山市,富山県富山市山田小島３１７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230001005057,富山県陸運株式会社,トヤマケンリクウン,富山県,富山市,富山県富山市婦中町青島３６番１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-22
1230001005569,株式会社藤井産業運輸,フジイサンギョウウンユ,富山県,富山市,富山県富山市婦中町余川１６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-02
1230001005627,晃進運輸株式会社,コウシンウンユ,富山県,富山市,富山県富山市田中町１丁目７番５８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-14
1230001006170,富山県軽貨物配送引越センター株式会社,,富山県,富山市,富山県富山市五福末広町２００２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230001006583,株式会社秋元エコロジー,,富山県,中新川郡立山町,富山県中新川郡立山町金剛新２７６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-18
1230001008951,加越倉庫株式会社,カエツソウコ,富山県,小矢部市,富山県小矢部市赤倉２８３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-21
1230001009099,株式会社千羽開発運輸,センバカイハツウンユ,富山県,小矢部市,富山県小矢部市戸久９０３１番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-31
1230001009339,株式会社新砺運輸,シントウンユ,富山県,砺波市,富山県砺波市頼成２７９番地,logistics,logistics,2018-08-31,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-26
1230001009628,アース運輸機工株式会社,,富山県,高岡市,富山県高岡市四屋８０２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
