# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2230001005782,株式会社富山県義肢製作所,トヤマケンギシセイサクショ,富山県,富山市,富山県富山市泉町１丁目２番１６号,manufacturing,care|manufacturing,2015-10-05,false,,,,https://www.tpo-morita.com/,076-425-4279,,,国税庁 法人番号公表サイト,2020-07-31
1230001000223,株式会社石黒製作所,イシグロセイサクショ,富山県,富山市,富山県富山市西公文名町３番２２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-18
1230001000371,株式会社エイワ食品,,富山県,富山市,富山県富山市米田町１丁目３番２５号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-13
1230001000917,國民製薬株式会社,コクミンセイヤク,富山県,富山市,富山県富山市緑町２丁目４番４号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-09
1230001001122,株式会社新栄製作所,シンエイセイサクショ,富山県,富山市,富山県富山市永久町５番３４号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001001196,株式会社新富電機製作所,シントミデンキセイサクショ,富山県,富山市,富山県富山市三郷１６番地の２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-19
1230001001898,トーメ化学産業株式会社,,富山県,富山市,富山県富山市芝園町２丁目３番２１号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-29
1230001002005,富山精密株式会社,トヤマセイミツ,富山県,富山市,富山県富山市一本木３３番地,manufacturing,manufacturing,2015-10-05,false,27,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001003721,株式会社有沢製作所,アリサワセイサクショ,富山県,富山市,富山県富山市中冨居１７番３１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-05
1230001005107,三菱ふそうバス製造株式会社,ミツビシフソウバスセイゾウ,富山県,富山市,富山県富山市婦中町道場１番地,manufacturing,manufacturing,2015-10-05,false,653,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001006996,魚津蒲鉾製造株式会社,,富山県,魚津市,富山県魚津市本町２丁目１番１６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230001007251,和興食品開発株式会社,ワコウショクヒンカイハツ,富山県,魚津市,富山県魚津市仏田２３１０番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-07
1230001008002,明治製薬株式会社,メイジセイヤク,富山県,滑川市,富山県滑川市中川原７７番地,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001008828,株式会社堀川製作所,ホリカワセイサクショ,富山県,南砺市,富山県南砺市北野２１２８番地,manufacturing,manufacturing,2015-10-05,false,47,,,http://www.horikawa-ss.com,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001008919,株式会社安達製作所,アダチセイサクショ,富山県,小矢部市,富山県小矢部市蓮沼４３３番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-25
1230001010305,大同製薬株式会社,,富山県,高岡市,富山県高岡市三女子１１３番地,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-15
1230001010833,株式会社北越製作所,,富山県,高岡市,富山県高岡市吉久１丁目２番２７号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1230001010841,株式会社北陸ＬＩＸＩＬ製作所,ホクリクリクシルセイサクショ,富山県,小矢部市,富山県小矢部市浅地１３０番地,manufacturing,manufacturing,2015-10-05,false,800,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
