# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5230001016042,株式会社うちくる,ウチクル,富山県,富山市,富山県富山市西野新４７番地,other,care,2015-10-05,false,,,,https://www.uchikuru-k.co.jp/,0120116662,,https://www.uchikuru-k.co.jp/wp-content/uploads/application-form.pdf,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7230002001132,有限会社コクエー,コクエー,富山県,富山市,富山県富山市中川原新町２７４番地５,other,care,2015-10-05,false,,,,http://www.ctt.ne.jp/~kokue/,03-5845-3803,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9230001013878,株式会社ＫＨ,ケーエイチ,富山県,富山市,富山県富山市横内５８５番地,other,care,2015-10-05,false,,,,,076（493）2525,,,国税庁 法人番号公表サイト,2023-07-05
6230001016058,株式会社ウイル,ウイル,富山県,富山市,富山県富山市大泉２９０番地３,other,care,2015-10-05,false,,,,,076-425-8817,,,国税庁 法人番号公表サイト,2024-08-22
3230001014898,株式会社さくら苑,サクラエン,富山県,富山市,富山県富山市松若町１１番２０号,other,care,2015-10-05,false,,,,,076－471－7948,,,国税庁 法人番号公表サイト,2026-04-22
3230001018040,株式会社ふれあいの里,フレアイノサト,富山県,富山市,富山県富山市鍋田１７番５０号,other,care,2019-10-03,false,,,,https://fureai-hirota.jp.net/,076-482-3091,,https://fureai-hirota.jp.net/form.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1230001016401,株式会社ＯＮＷＡＲＤ,オンワード,富山県,富山市,富山県富山市婦中町鵜坂１４２番地１,other,care,2016-04-11,false,,,,https://nico-care.com/,076-461-7185,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7230001006000,株式会社楽笑,ラクショウ,富山県,富山市,富山県富山市蓮町２丁目５番５号,other,care,2015-10-05,false,39,,,,076-411-7020,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8230001015685,株式会社スプリング,スプリング,富山県,富山市,富山県富山市婦中町響の杜２６９番地４４,other,care,2015-10-05,false,,,,,080-5853-5256,,,国税庁 法人番号公表サイト,2024-07-24
2230005000532,とやま生活協同組合,トヤマ,富山県,富山市,富山県富山市金屋５５５番地,other,care,2015-10-05,false,523,,,https://www.toyama.coop/,076-492-4114,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
