# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4230001012728,相互商事株式会社,ソウゴショウジ,富山県,射水市,富山県射水市太閤山３丁目４１番地,retail,care|wholesale,2015-10-05,false,,,,,0766-55-8112,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6230001010993,丸進商事株式会社,マルシンショウジ,富山県,高岡市,富山県高岡市伏木湊町６番１２号,retail,care|wholesale,2015-10-05,false,,,,http://www.marushin-takaoka.co.jp/,0766-44-5963,,,国税庁 法人番号公表サイト,2018-05-15
1230001000116,浅尾商事株式会社,アサオショウジ,富山県,富山市,富山県富山市上袋６０３番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001000248,株式会社飴谷商店,アメタニショウテン,富山県,富山市,富山県富山市五福２５６７番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-07
1230001000553,株式会社折橋政次郎商店,オリハシマサジロウショウテン,富山県,富山市,富山県富山市安野屋町３丁目１番６号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001000594,金岡忠商事株式会社,,富山県,富山市,富山県富山市鍋田１番７２号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1230001000776,株式会社熊本商店,クマモトショウテン,富山県,富山市,富山県富山市三番町２番２９号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-14
1230001000933,株式会社国光物産,コッコウブッサン,富山県,富山市,富山県富山市向新庄町１丁目６番５６号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-09
1230001000974,株式会社佐伯治一郎商店,サエキジイチロウショウテン,富山県,富山市,富山県富山市一本木４５番地の１,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-01
1230001001015,株式会社島崎商店,,富山県,富山市,富山県富山市柳町３丁目４番２号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1230001001667,谷道商事株式会社,タニミチショウジ,富山県,富山市,富山県富山市上袋６２７番地の１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-06
