# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7250001010735,株式会社山陽グローバルパートナーズ,サンヨウグローバルパートナーズ,山口県,周南市,山口県周南市大字小松原１２３３番地の３,consulting,care|pro-services,2015-10-05,false,,,,http://sgpnet.co.jp,0833-92-1650,,,国税庁 法人番号公表サイト,2019-05-07
2250001010475,株式会社コウケンパートナーズ,コウケンパートナーズ,山口県,光市,山口県光市浅江３丁目１番２５号,consulting,care|pro-services,2015-10-05,false,,,,,0833-48-8321,,,国税庁 法人番号公表サイト,2023-03-27
1250001002242,株式会社リテールパートナーズ,リテールパートナーズ,山口県,防府市,山口県防府市大字江泊１９３６番地,consulting,pro-services,2015-10-05,false,9,7218000000,代表取締役社長　田中　康男,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001007679,株式会社人事労務,ジンジロウム,山口県,下関市,山口県下関市長府中浜町３－１７－２０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-07
1250001010303,ひかりコンサルタント株式会社,ヒカリコンサルタント,山口県,光市,山口県光市虹ケ丘１丁目１６番１３号,consulting,pro-services,1978-09-21,false,,,代表取締役　西本　聡士,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001010484,ＵＲコンサルタント株式会社,ユーアールコンサルタント,山口県,周南市,山口県周南市代々木通２丁目４１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-26
1250001012893,すみだコンサルタント株式会社,スミダコンサルタント,山口県,熊毛郡田布施町,山口県熊毛郡田布施町大字波野２１７７番地１４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-22
1250001012935,株式会社総合コンサルティング・ブレイン,,山口県,周南市,山口県周南市新町１丁目１１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-27
1250001016845,株式会社ソルト総合会計事務所,ソルトソウゴウカイケイジムショ,山口県,防府市,山口県防府市栄町１丁目５番１号ルルサス防府２階,consulting,pro-services,2017-10-19,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001017736,株式会社オプティコンサルティング,オプティコンサルティング,山口県,防府市,山口県防府市大字高井１１４３番地の１,consulting,pro-services,2019-06-10,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-04
1250001018338,株式会社やまぐち総研,ヤマグチソウケン,山口県,岩国市,山口県岩国市御庄１丁目１０７番地６,consulting,pro-services,2020-07-01,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-12
1250001018453,ＳＭＧコンサルタント株式会社,エスエムジーコンサルタント,山口県,山口市,山口県山口市道場門前２丁目５番１１号,consulting,pro-services,2020-09-16,false,,,代表取締役　岡村　文義,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001018932,株式会社ＥＭＮパートナーズ,イーエムエヌパートナーズ,山口県,周南市,山口県周南市若宮町１丁目２１,consulting,pro-services,2021-06-10,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-24
1250001020228,ＴＳＵＫＡＳＡパートナーズ株式会社,ツカサパートナーズ,山口県,山陽小野田市,山口県山陽小野田市厚狭１丁目１番１号,consulting,pro-services,2023-08-04,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-28
