# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1250001014725,株式会社プレミアムダイニング,プレミアムダイニング,山口県,防府市,山口県防府市八王子１丁目２番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-12
1250001016713,株式会社クリエイト・フードサービス,クリエイトフードサービス,山口県,宇部市,山口県宇部市中央町１丁目６番１６号,food,restaurant,2017-07-20,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-03
1250001019220,株式会社関門食堂彩や,カンモンショクドウイロドリヤ,山口県,下関市,山口県下関市唐戸町６番１号カモンワーフ東棟２階Ｆ－２０２,food,restaurant,2021-11-01,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-01
1250001020277,株式会社関門フードイノベーション,カンモンフードイノベーション,山口県,下関市,山口県下関市元町３番２号,food,,2023-09-07,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-07
1250002002704,有限会社キッチンよしたけ,,山口県,山口市,山口県山口市阿知須４２３８番地の１３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250002010509,有限会社早鞆食堂,,山口県,下関市,山口県下関市向山町１７番１４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250002011564,有限会社労館食堂,,山口県,下関市,山口県下関市大字細江町１４番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250002015516,有限会社レストランツジ,,山口県,周南市,山口県周南市児玉町２丁目２８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-17
1250005008327,特定非営利活動法人フードバンク山口,フードバンクヤマグチ,山口県,山口市,山口県山口市黒川１１５９番地１３,food,,2017-07-26,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-28
2250001007166,キッズ・キッチン株式会社,キッズキッチン,山口県,下関市,山口県下関市みもすそ川町２２番５－５０６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-09
2250002003619,有限会社レストラン明治,,山口県,防府市,山口県防府市大字大崎７７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-29
2250002009260,有限会社山陽フード,,山口県,下関市,山口県下関市筋川町２０番１５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2250002014590,有限会社くにひろフードセンター,,山口県,周南市,山口県周南市銀座２丁目３３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2250002019219,有限会社ユニバーサル・フードスタッフス,,山口県,岩国市,山口県岩国市玖珂町１０９７番地の１,food,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2250003003386,合同会社山和フード,サンワフード,山口県,宇部市,山口県宇部市大字際波４１３番地４,food,,2023-11-22,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-21
3250001011480,株式会社中央フード,チュウオウフード,山口県,防府市,山口県防府市大字江泊１９３６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-17
3250001013304,株式会社コスモスフードサービス,コスモスフードサービス,山口県,下関市,山口県下関市豊浦町大字川棚５３２６番地６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-17
3250001015630,株式会社フードフィールド,,山口県,萩市,山口県萩市大字椿４１６９番地１３,food,,2015-11-16,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3250002015183,有限会社オレンジ・カフェ,オレンジカフェ,山口県,周南市,山口県周南市岐山通１丁目１番地周南市役所１階,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-24
3250002015233,有限会社フードセンターながひろ,,山口県,周南市,山口県周南市遠石２丁目３番１２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3250005008820,下関飲食業協同組合,シモノセキインショクギョウ,山口県,下関市,山口県下関市竹崎町１丁目１６番１１号,food,restaurant,2023-04-27,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-27
4250001003270,ジャパンフード株式会社,ジャパンフード,山口県,宇部市,山口県宇部市大字西岐波４９６９番地,food,,1967-03-02,false,88,,代表取締役　島村　幸助,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
