# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9250005003840,特定非営利活動法人ヒューマンネットワークピア,ヒューマンネットワークピア,山口県,下関市,山口県下関市新地町４番２２号,it,care,2015-10-05,false,,,,https://h-n-peer.org/index.html,083-242-9952,email&#64;h-n-peer.org,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6250005004627,特定非営利活動法人生き活きネットみすみ,イキイキネットミスミ,山口県,長門市,山口県長門市三隅下字住吉１３９４番地５,it,care,2015-10-05,false,,,,,0837-42-1255,,,国税庁 法人番号公表サイト,2018-04-18
4250005004174,特定非営利活動法人下関ひと・まちネットワーク,,山口県,下関市,山口県下関市清末大門１２番４３号,it,care,2015-10-05,false,,,,hitomati@bz01.plala.or.jp,０８３－２８２－０２２２,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010405010690,特定非営利活動法人社会起業ネットワーク,,山口県,山口市,山口県山口市小郡上郷１２３２番地４５,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001023850,ＤＤテック株式会社,ディーディーテック,山口県,防府市,山口県防府市自由ケ丘２丁目３番３号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-20
1250001000122,株式会社オリテック山口,,山口県,山口市,山口県山口市宮島町１１番１２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-23
1250001000337,株式会社セブンシステム,セブンシステム,山口県,山口市,山口県山口市惣太夫町５番３５号,it,it,1976-04-01,false,,,代表取締役　細坂　孝彦,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001000601,山口システム通信株式会社,ヤマグチシステムツウシン,山口県,山口市,山口県山口市吉敷赤田４丁目１４－４５,it,it,1961-09-25,false,,,代表取締役　田村　芳行,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001001442,株式会社グローバル・ネット,,山口県,山口市,山口県山口市大内御堀３０９８番地の１,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001002580,株式会社あおぞらネットワーク,アオゾラネットワーク,山口県,防府市,山口県防府市大字佐野１３８１番地の１,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-13
1250001002630,株式会社マルテック,マルテック,山口県,周南市,山口県周南市大字湯野２１３番地の８,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-26
1250001002696,西中国クリーンテック株式会社,,山口県,山口市,山口県山口市下市町７番１０号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001002936,株式会社アルファクス・フード・システム,アルファクスフードシステム,山口県,宇部市,山口県宇部市西本町２丁目１４番３０号,it,it,2015-10-05,false,76,905311000,代表取締役社長　　藤井　由実子,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001004602,明和システム株式会社,メイワシステム,山口県,宇部市,山口県宇部市あすとぴあ７丁目２２番４号,it,it,1999-08-20,false,,,代表取締役　近本　義弘,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001004742,インターラングシステムズ株式会社,インターラングシステムズ,山口県,宇部市,山口県宇部市鵜の島町７－２８鵜の島ビル２０３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-18
1250001004791,情報ネット株式会社,ジョウホウネット,山口県,美祢市,山口県美祢市大嶺町東分来福台１丁目６番地３,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-27
1250001004833,株式会社リーテック,リーテック,山口県,宇部市,山口県宇部市文京町８番７号,it,it,2009-04-22,false,,,代表取締役　矢原　隆光,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001006540,株式会社ユーテック,ユーテック,山口県,下関市,山口県下関市川中豊町７丁目４番２７号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-21
1250001006697,株式会社ネットクォーツ,,山口県,下関市,山口県下関市長府新四王司町１８番３１号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-25
1250001007266,エム・ディシステム販売株式会社,エムディシステムハンバイ,山口県,下関市,山口県下関市彦島本村町７丁目２９番２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-02
1250001007547,株式会社イノテック,イノテック,山口県,下関市,山口県下関市田倉御殿町２丁目１５番地３８,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-06
1250001007596,株式会社西日本デジタル通信,,山口県,下関市,山口県下関市竹崎町２丁目１０－１ＡⅡ－５０１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001007638,株式会社下関コントロールシステム,シモノセキコントロールシステム,山口県,下関市,山口県下関市彦島弟子待町３丁目１番３号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-20
1250001007720,株式会社シンテック,シンテック,山口県,下関市,山口県下関市富任町５丁目１５番１号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-11
1250001008446,株式会社恵比寿屋ドットネット,エビスヤドットネット,山口県,長門市,山口県長門市東深川７４番地１０,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-13
1250001008710,エス・ピー・ユー・システム株式会社,,山口県,周南市,山口県周南市遠石２丁目１２番３２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001010740,株式会社ユニテック,,山口県,周南市,山口県周南市港町１番５号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1250001012258,株式会社アサヒテック,,山口県,岩国市,山口県岩国市御庄４丁目１１７番地３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001013272,株式会社横浜メディカルソフト,ヨコハマメディカルソフト,山口県,下関市,山口県下関市王司上町１丁目８番５号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-15
1250001013677,株式会社セーフティ・ネット,セーフティネット,山口県,下松市,山口県下松市大字末武上東町１２３８,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-22
1250001014089,株式会社オプトテレシステム,オプトテレシステム,山口県,光市,山口県光市光井７丁目４０番１号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-07
1250001014378,株式会社ロジテック・イノベーション,,山口県,美祢市,山口県美祢市大嶺町東分１４３７番地１,it,logistics|it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1250001015541,株式会社ファーストテック,ファーストテック,山口県,周南市,山口県周南市西松原４丁目４番４２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-08
1250001016399,下関システムハウス株式会社,シモノセキシステムハウス,山口県,下関市,山口県下関市長府浜浦町２番５４号,it,realestate|it,2017-02-01,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-25
1250001016977,アグテック株式会社,アグテック,山口県,山陽小野田市,山口県山陽小野田市日の出３丁目７番１５号,it,it,2018-01-23,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-21
1250001016993,アールネット不動産株式会社,アールネットフドウサン,山口県,宇部市,山口県宇部市東梶返４丁目９番４３号,it,realestate,2018-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-25
1250001019096,株式会社ユーテック,ユーテック,山口県,防府市,山口県防府市大字植松４３８番地１,it,it,2021-09-03,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-03
1250001020129,株式会社エフテック,エフテック,山口県,山口市,山口県山口市朝田２９６番地７,it,it,2023-06-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-08
1250001020525,株式会社ポジテック,ポジテック,山口県,下関市,山口県下関市豊浦町大字小串２４９６番地の１,it,it,2024-02-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-16
1250001020780,株式会社ルクステック,,山口県,山陽小野田市,山口県山陽小野田市千代町２丁目３番２６号,it,it,2024-08-20,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-07
1250001021036,株式会社グリーンテック,グリーンテック,山口県,防府市,山口県防府市華園町１２番５号,it,it,2025-03-11,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-11
1250001021060,株式会社さくらだシステム開発,サクラダシステムカイハツ,山口県,周南市,山口県周南市大字戸田２３９０番地の３,it,it,2025-03-25,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-25
1250001021572,株式会社デジタルマーケティングラボ,デジタルマーケティングラボ,山口県,下関市,山口県下関市大学町２丁目１－１下関市立大学Ｄ棟Ｄ－３０５,it,it|advertising,2026-03-11,true,,,,,,,,国税庁 法人番号公表サイト,2026-03-11
1250002001061,有限会社トータルシステム西京,,山口県,山口市,山口県山口市黒川２６２３番地の５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-02
1250002001359,有限会社プロテック,プロテック,山口県,山口市,山口県山口市矢原１１５７番地の１９,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-06
