# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2390005000938,山形農業協同組合,ヤマガタ,山形県,山形市,山形県山形市旅篭町１丁目１２番３５号,agriculture,care|agriculture,2015-10-05,false,,,,http://www.jayamagata.or.jp,023-641-3121,,https://www.jayamagata.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2390005006605,山形おきたま農業協同組合,ヤマガタオキタマ,山形県,東置賜郡川西町,山形県東置賜郡川西町大字上小松９７８番地１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.okitama-yt-ja.jp,0238-46-5575,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2390001016087,株式会社みつたま自然農園,ミツタマシゼンノウエン,山形県,鶴岡市,山形県鶴岡市大西町１９番１４号,agriculture,care|agriculture,2020-05-11,false,,,,,0235-23-7208,,,国税庁 法人番号公表サイト,2020-05-11
6390005004150,庄内たがわ農業協同組合,ショウナイタガワ,山形県,鶴岡市,山形県鶴岡市上藤島字備中下３番の１,agriculture,care|agriculture,2015-10-05,false,359,,,http://www.ja-shonai.or.jp/,0235-64-3000,tagawa@ja-shonai.or.jp,http://ja-shonai.or.jp/?page_id=2054,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3390005002826,庄内みどり農業協同組合,ショウナイミドリ,山形県,酒田市,山形県酒田市曙町１丁目１番地,agriculture,care|agriculture,2015-10-05,false,531,,,http://ja.midorinet.or.jp,0234-26-5500,,https://www.midorinet.or.jp/overview/information-support/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9390005007712,さがえ西村山農業協同組合,サガエニシムラヤマ,山形県,寒河江市,山形県寒河江市中央工業団地７５番地,agriculture,care|agriculture,2015-10-05,false,553,,,http://www.ic-net.or.jp/home/jasagae/,0237-86-8165,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9390005004148,鶴岡市農業協同組合,ツルオカシ,山形県,鶴岡市,山形県鶴岡市日吉町３番１号,agriculture,care|agriculture,1972-03-31,false,436,,代表理事　保科　亙,https:/www.ja-tsuruoka.or.jp,0235-23-5090,,https://ja-tsuruoka.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1390001000752,さとう農園株式会社,サトウノウエン,山形県,山形市,山形県山形市下柳１４５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001004885,株式会社ブルー・ファーム,ブルーファーム,山形県,山形市,山形県山形市東青田１丁目７番８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-15
1390001005009,株式会社山形ピッグファーム,ヤマガタピッグファーム,山形県,東村山郡山辺町,山形県東村山郡山辺町大字根際２４９番地,agriculture,agriculture,2015-10-05,false,48,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
