# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1390001000513,フィデアリース株式会社,フィデアリース,山形県,山形市,山形県山形市本町１丁目４番２１号,finance,,1976-09-21,false,,,代表取締役　村山　健彦,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001000892,昭和オートリース山形株式会社,ショウワオートリースヤマガタ,山形県,山形市,山形県山形市松山２丁目１１番２８号,finance,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-19
1390001001288,株式会社トヨタレンタリース山形,トヨタレンタリースヤマガタ,山形県,山形市,山形県山形市鉄砲町２丁目１４番２７号,finance,,1967-07-04,false,134,,代表取締役　渡邉　清則,https://rent-toyota.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001005974,株式会社枝松保険サービス,エダマツホケンサービス,山形県,山形市,山形県山形市飯田５丁目１４番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-08
1390001006312,荘内証券株式会社,ショウナイショウケン,山形県,酒田市,山形県酒田市二番町１番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001010834,株式会社置賜総合保険,オキタマソウゴウホケン,山形県,南陽市,山形県南陽市宮内２９５０番地の８,finance,,2015-10-05,false,18,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001010958,株式会社保険プラザ,ホケンプラザ,山形県,米沢市,山形県米沢市金池５丁目６番２９号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-07
1390001012632,株式会社ユニオン保険事務所,ユニオンホケンジムショ,山形県,東根市,山形県東根市大字東根甲４６３３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-02
1390002001782,有限会社中央リース,,山形県,山形市,山形県山形市白山１６番地の６（Ａ－１０７号）,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002005536,有限会社セントラルリース,,山形県,天童市,山形県天童市田鶴町３丁目７番２１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002006047,有限会社永豊リース,,山形県,上山市,山形県上山市権現堂字東１２６２番地の６８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002007128,有限会社大江保険事務所,,山形県,酒田市,山形県酒田市亀ケ崎３丁目５番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002007400,有限会社齋藤保険企画,サイトウホケンキカク,山形県,酒田市,山形県酒田市錦町４丁目３番地の２４,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-09
1390002007706,有限会社東建リース,,山形県,酒田市,山形県酒田市字初瀬３３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002007879,有限会社福島保険事務所,フクシマホケンジムショ,山形県,酒田市,山形県酒田市亀ケ崎２丁目２５番２３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-18
1390002008299,有限会社市条レンタリース,,山形県,酒田市,山形県酒田市市条字水上４９番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002013101,有限会社高野保険事務所,タカノホケンジムショ,山形県,米沢市,山形県米沢市門東町１丁目５番３８－３０１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-23
1390002013803,有限会社総合保険エイト,,山形県,米沢市,山形県米沢市大字上新田２３２８番地の９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002013910,有限会社サワヤカ・レンタリース,,山形県,東置賜郡高畠町,山形県東置賜郡高畠町大字高畠２１２９番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390002014537,有限会社山南建機リース,,山形県,南陽市,山形県南陽市宮内３１５４番地の１１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390005008783,一般社団法人山形県漁業リース協会,ヤマガタケンギョギョウリースキョウカイ,山形県,酒田市,山形県酒田市船場町２丁目２番１号,finance,agriculture,2019-07-17,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-22
1390005008916,社会保険労務士法人はるかぜ事務所,ハルカゼジムショ,山形県,米沢市,山形県米沢市春日１丁目２番２９号春日第一ビル２Ｆ,finance,pro-services,2021-10-08,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1700150040294,フィデア健康保険組合,フイデアケンコウホケンクミアイ,山形県,山形市,山形県山形市諏訪町１丁目２－２,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2390001000231,きらやかリース株式会社,キラヤカリース,山形県,山形市,山形県山形市七日町２丁目６番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2390001002252,やまぎんキャピタル株式会社,ヤマギンキャピタル,山形県,山形市,山形県山形市七日町３丁目１番２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2390001007210,株式会社石黒保険事務所,イシグロホケンジムショ,山形県,酒田市,山形県酒田市みずほ２丁目１７番地の３Ｃ号室,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-04
2390001009917,新光リース株式会社,,山形県,米沢市,山形県米沢市万世町片子５０５６番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
2390001014248,ケーツーリース株式会社,ケーツーリース,山形県,尾花沢市,山形県尾花沢市大字尾花沢２２９７番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-21
2390001015072,株式会社市川保険事務所,,山形県,山形市,山形県山形市大野目３丁目１番４４号,finance,,2017-10-04,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-12
2390001015106,株式会社まちの保険屋さん,マチノホケンヤサン,山形県,西村山郡河北町,山形県西村山郡河北町字畑中４７番地の５,finance,,2017-11-07,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-30
2390001015254,三共リース株式会社,サンキョウリース,山形県,西村山郡河北町,山形県西村山郡河北町西里字天満２１７番地の３,finance,,2018-04-06,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-11
2390002002870,有限会社山形保険サービス,,山形県,山形市,山形県山形市久保田３丁目６番７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-26
2390002005469,有限会社サンファイナンス,サンファイナンス,山形県,天童市,山形県天童市小関１丁目８番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-24
2390002007655,鳥海信用保障有限会社,,山形県,酒田市,山形県酒田市本町３丁目１０番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2390002009255,有限会社北保険サービス,キタホケンサービス,山形県,鶴岡市,山形県鶴岡市日出１丁目４番６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-21
2390002012234,有限会社金子保険デザイン,カネコホケンデザイン,山形県,東根市,山形県東根市本丸西１丁目３番４７号,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-09
