# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7390001013204,株式会社カインド・ホーム,カインドホーム,山形県,南陽市,山形県南陽市萩生田１１１４番地５,realestate,care|realestate,2015-10-05,false,,,,,0238-40-4050,,,国税庁 法人番号公表サイト,2018-04-10
4390001013512,株式会社セラピーハウス,セラピーハウス,山形県,東置賜郡高畠町,山形県東置賜郡高畠町大字福沢２８９番地１,realestate,care|realestate,2015-10-05,false,,,,,0238-33-3378,,,国税庁 法人番号公表サイト,2021-08-13
6390001001663,オークランドホーム株式会社,,山形県,山形市,山形県山形市南原町３丁目２０番２７号,realestate,care|realestate,2015-10-05,false,36,,,http://oakland-kaigo.com,023-633-2350,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2390001010321,グループホームふきのとう株式会社,グループホームフキノトウ,山形県,米沢市,山形県米沢市塩井町塩野２０５７番地,realestate,care|realestate,2015-10-05,false,,,,,0238-21-5616,,,国税庁 法人番号公表サイト,2023-06-21
1020001077679,株式会社松沢ホーム,,山形県,南陽市,山形県南陽市松沢４３９番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-03-08
1390001000199,株式会社ウンノハウス,ウンノハウス,山形県,山形市,山形県山形市大野目４丁目１番３７号,realestate,realestate,2015-10-05,false,210,,,https://unnohouse.co.jp/earth/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001000439,株式会社霞城不動産,カジョウフドウサン,山形県,山形市,山形県山形市城南町３丁目７番１０号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-08
1390001001486,株式会社日成不動産,ニッセイフドウサン,山形県,山形市,山形県山形市双葉町２丁目１番２０号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-14
1390001002212,株式会社感動ハウス,カンドウハウス,山形県,山形市,山形県山形市芳野６４番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1390001002360,株式会社ロベージハウス,ロベージハウス,山形県,山形市,山形県山形市城西町４丁目１３番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-12
1390001002526,株式会社ふれあいホーム,フレアイホーム,山形県,山形市,山形県山形市南一番町８番３５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-31
1390001002575,武田不動産株式会社,タケダフドウサン,山形県,山形市,山形県山形市美畑町９番２０号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-15
1390001004415,株式会社須藤不動産,スドウフドウサン,山形県,天童市,山形県天童市芳賀タウン北３丁目２番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-05
1390001005611,株式会社平成不動産,,山形県,天童市,山形県天童市柏木町１丁目１１番１２号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1390001005966,株式会社寿不動産,コトブキフドウサン,山形県,山形市,山形県山形市十日町１丁目２番３０号Ｄ’グラフォート十日町タワー１Ｆ,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-04
1390001006007,みつこしエステート株式会社,ミツコシエステート,山形県,東村山郡山辺町,山形県東村山郡山辺町大字山辺２８０９番地５,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-03
1390001006295,荘内不動産株式会社,ショウナイフドウサン,山形県,酒田市,山形県酒田市相生町１丁目６番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-02
1390001006535,株式会社ベストハウス,ベストハウス,山形県,酒田市,山形県酒田市東栄町１２番４４号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-28
