# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2090002015011,有限会社野中林業所,,山梨県,南巨摩郡富士川町,山梨県南巨摩郡富士川町天神中条１１２２番地の１,agriculture,care|agriculture,2015-10-05,false,,,,ｌiｆecaｒe-ｆujikawa@aqua.plala.or.jp,0556-48-8111,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9090002012951,有限会社天野林業,,山梨県,南都留郡山中湖村,山梨県南都留郡山中湖村山中１０９９番地の１４８,agriculture,care|agriculture,2015-10-05,false,,,,,０５５５ー２８－５３６３,,,国税庁 法人番号公表サイト,2015-11-06
1090001001244,株式会社大一水産,ダイイチスイサン,山梨県,甲府市,山梨県甲府市徳行２丁目２番２５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-05
1090001001822,文栄林業株式会社,,山梨県,甲府市,山梨県甲府市小曲町１２２８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-26
1090001005765,株式会社ラハマン農園,ラハマンノウエン,山梨県,中央市,山梨県中央市一町畑５５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001006540,株式会社ザックエコファーム,,山梨県,甲府市,山梨県甲府市善光寺３丁目３番１１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-17
1090001007621,株式会社丸章ファーム,マルショウファーム,山梨県,笛吹市,山梨県笛吹市一宮町狐新居６７１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-15
1090001007778,株式会社ネイチャー・ファーム,ネイチャーファーム,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町押越２１７６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-27
1090001008504,ふじやまファーム株式会社,,山梨県,都留市,山梨県都留市つる１丁目１２番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-02
1090001010823,富士山麓農業の里株式会社,フジサンロクノウギョウノサト,山梨県,南都留郡山中湖村,山梨県南都留郡山中湖村山中１４１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-30
