# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4090001010028,芙蓉建設株式会社,フヨウケンセツ,山梨県,富士吉田市,山梨県富士吉田市下吉田５丁目１５番２９号,construction,care|construction,2015-10-05,false,141,,,http://oumorisou.jp/,055-288-8165,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6090001013945,株式会社鈴木工業,スズキコウギョウ,山梨県,都留市,山梨県都留市下谷４丁目４番６号,construction,care,2015-10-05,false,,,,,0555-23-1277,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9090001012119,源工業株式会社,ミナモトコウギョウ,山梨県,南巨摩郡富士川町,山梨県南巨摩郡富士川町最勝寺１１９０番地,construction,care,2015-10-05,false,,,,,0556-20-6088,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001000155,石原建設株式会社,,山梨県,甲府市,山梨県甲府市上今井町１７４６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001000618,剣持製材建設株式会社,,山梨県,甲府市,山梨県甲府市音羽町２番７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-26
1090001000733,河野造園土木株式会社,コウノゾウエンドボク,山梨県,甲府市,山梨県甲府市下飯田２丁目５番２７号,construction,construction,1977-12-01,false,,,代表取締役　河野　嘉孝,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001000964,三友建設株式会社,サンユウケンセツ,山梨県,甲府市,山梨県甲府市中央４丁目５番４０号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-28
1090001001236,大栄設備株式会社,ダイエイセツビ,山梨県,甲府市,山梨県甲府市下飯田２丁目１１番１７号,construction,construction,1968-03-21,false,,,代表取締役　望月　愼太郎,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001001260,大成プラスチック工業株式会社,タイセイプラスチックコウギョウ,山梨県,甲府市,山梨県甲府市塩部４丁目１４番１３号,construction,,2015-10-05,false,18,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001001434,鶴田精密機械工業株式会社,ツルタセイミツキカイコウギョウ,山梨県,甲府市,山梨県甲府市湯田２丁目９番５号,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1090001001673,日昇電気工業株式会社,ニッショウデンキコウギョウ,山梨県,甲府市,山梨県甲府市大里町１０９４番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001001731,株式会社羽中田自動車工業,ハチュウダジドウシャコウギョウ,山梨県,甲府市,山梨県甲府市貢川１丁目１番６号,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001001764,原メリヤス工業株式会社,,山梨県,甲府市,山梨県甲府市太田町９番１８号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-02
1090001001954,逸見建設株式会社,ヘンミケンセツ,山梨県,甲府市,山梨県甲府市青沼３丁目１１番３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-23
1090001001970,北清建設株式会社,,山梨県,甲府市,山梨県甲府市古府中町４９５１番地,construction,construction,2018-12-25,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-23
1090001002399,株式会社山本建設,,山梨県,甲府市,山梨県甲府市徳行１丁目１３番８号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-02
1090001002440,株式会社吉野建設,ヨシノケンセツ,山梨県,甲府市,山梨県甲府市宝１丁目３５番７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001002589,甲信ブロック工業株式会社,,山梨県,甲斐市,山梨県甲斐市西八幡４４２２番地の１９,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001002663,東和工業株式会社,,山梨県,甲斐市,山梨県甲斐市万才６１番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-02
1090001002779,岸本金属工業株式会社,キシモトキンゾクコウギョウ,山梨県,甲斐市,山梨県甲斐市中下条８４７番地,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-12
1090001002795,敷島金属工業株式会社,シキシマキンゾクコウギョウ,山梨県,甲斐市,山梨県甲斐市島上条１６９４番地,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001002861,甲田板金工業株式会社,,山梨県,中央市,山梨県中央市布施２３２２番地,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001002944,株式会社井上工業,,山梨県,中央市,山梨県中央市極楽寺７２２番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-25
1090001003133,株式会社田中工業,,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町西条１０９番地の２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-27
1090001003182,株式会社マツダ建築工房,,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町西条２０４３番地２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001003389,株式会社小澤建築工房,,山梨県,甲府市,山梨県甲府市荒川２丁目６番３７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001003471,株式会社敷島建設,,山梨県,甲斐市,山梨県甲斐市大下条１２５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-10
1090001004461,山梨県家具工業株式会社,ヤマナシケンカグコウギョウ,山梨県,甲府市,山梨県甲府市徳行２丁目４番２３号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-15
1090001004759,株式会社市川工務店,イチカワコウムテン,山梨県,南アルプス市,山梨県南アルプス市西南湖１７８８番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-10
1090001004767,株式会社内田建設,ウチダケンセツ,山梨県,南アルプス市,山梨県南アルプス市曲輪田新田１０３番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-24
1090001004791,株式会社川崎建設,カワサキケンセツ,山梨県,南アルプス市,山梨県南アルプス市小笠原５１０番地の１１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-10
1090001004833,小林建設株式会社,コバヤシケンセツ,山梨県,南アルプス市,山梨県南アルプス市有野２７２４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001004841,河野土木株式会社,コウノドボク,山梨県,南アルプス市,山梨県南アルプス市小笠原２１２８番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001004874,山甲工業株式会社,,山梨県,南アルプス市,山梨県南アルプス市桃園２９３番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-22
1090001004908,清水建材土木株式会社,シミズケンザイドボク,山梨県,南アルプス市,山梨県南アルプス市百々１９９７番地の１２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-20
1090001004949,株式会社高石自動車工業,タカイシジドウシャコウギョウ,山梨県,南アルプス市,山梨県南アルプス市下宮地御崎北３８８番地,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-25
1090001005113,長田建設株式会社,オサダケンセツ,山梨県,甲府市,山梨県甲府市下向山町１６６７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-21
1090001005179,株式会社土橋建設,,山梨県,甲府市,山梨県甲府市古関町３２９６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-27
1090001005328,株式会社三宅建築設計事務所,ミヤケケンチクセッケイジムショ,山梨県,甲府市,山梨県甲府市飯田２丁目６番６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001005848,時空管工業株式会社,,山梨県,甲府市,山梨県甲府市東光寺２丁目２４番８号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001005939,株式会社岡工業,,山梨県,笛吹市,山梨県笛吹市石和町東高橋１０３番地３,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-01
1090001006078,株式会社中村工務店,,山梨県,笛吹市,山梨県笛吹市境川町藤垈８８０番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001006094,株式会社日工建設,ニッコウケンセツ,山梨県,笛吹市,山梨県笛吹市御坂町上黒駒４９２９番地の１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-13
1090001006350,土橋建設工業株式会社,,山梨県,笛吹市,山梨県笛吹市春日居町鎮目３６７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001006458,総合建設株式会社ライト,,山梨県,笛吹市,山梨県笛吹市石和町窪中島５８番地グレープハウス１０５号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
