# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1090001000948,株式会社山日リース,サンニチリース,山梨県,甲府市,山梨県甲府市北口２丁目６番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-11
1090001007456,株式会社第一機械リース,,山梨県,甲府市,山梨県甲府市徳行５丁目１２番１７号,finance,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-09
1090001013405,株式会社フルヤ総合保険,,山梨県,甲府市,山梨県甲府市里吉２丁目９番９－２７３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001017380,ＤＮヒューマンキャピタル株式会社,ディーエヌヒューマンキャピタル,山梨県,甲斐市,山梨県甲斐市島上条１７８６番地２,finance,,2022-01-25,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-25
1090001017942,まるつう保険ひろば株式会社,マルツウホケンヒロバ,山梨県,山梨市,山梨県山梨市上石森１０４８番地,finance,,2023-01-20,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-20
1090001019146,スノーキャピタル株式会社,スノーキャピタル,山梨県,笛吹市,山梨県笛吹市石和町今井６５９番地１,finance,,2025-02-17,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-17
1090002003537,アスカ保険有限会社,アスカホケン,山梨県,甲斐市,山梨県甲斐市西八幡３５２７番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-13
1090002007538,有限会社ファクトリースポーツ,ファクトリースポーツ,山梨県,甲府市,山梨県甲府市中小河原町６０６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-01
1090002007554,有限会社ロフトリース,,山梨県,甲府市,山梨県甲府市心経寺町１６７番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-26
1090003002075,Ｋ保険企画合同会社,ケーホケンキカク,山梨県,富士吉田市,山梨県富士吉田市大明見５丁目１３番１１号,finance,advertising,2022-04-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-06
1090005000416,山梨県信用保証協会,ヤマナシケン,山梨県,甲府市,山梨県甲府市飯田２丁目２番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090005007048,社会保険労務士法人たけたに事務所,タケタニジムショ,山梨県,南都留郡富士河口湖町,山梨県南都留郡富士河口湖町船津１４６５番地１０,finance,pro-services,2017-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-19
2090001005038,株式会社保険のアルフィー,,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町西条１５２７番地,finance,,2015-10-05,false,7,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
