# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1090001007514,株式会社フードライフ,フードライフ,山梨県,甲州市,山梨県甲州市塩山上井尻２３６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-21
1090001013306,株式会社フレアフードファクトリー,フレアフードファクトリー,山梨県,甲府市,山梨県甲府市宝１丁目２４番１６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-27
1090001014650,株式会社プローバーキッチン,プローバーキッチン,山梨県,中央市,山梨県中央市東花輪１４５２番地１１,food,restaurant,2016-06-21,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-18
1090001019609,やまなしフードラボ株式会社,ヤマナシフードラボ,山梨県,山梨市,山梨県山梨市西７５番地４,food,,2025-11-14,true,,,,,,,,国税庁 法人番号公表サイト,2025-11-14
1090002008536,有限会社パブ、レストラン、プルーメリア,,山梨県,笛吹市,山梨県笛吹市石和町松本１１２５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090003000970,合同会社富士山フード,フジサンフード,山梨県,富士吉田市,山梨県富士吉田市富士見７丁目６番５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090005007064,特定非営利活動法人富士の緑とフードサポート,フジノミドリトフードサポート,山梨県,富士吉田市,山梨県富士吉田市新町２丁目１１番７号,food,,2017-04-14,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-08
2010803001241,フォレストランド合同会社,,山梨県,北杜市,山梨県北杜市小淵沢町１００７７番地５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-25
2090001019252,山梨学院フードサービス株式会社,ヤマナシガクインフードサービス,山梨県,甲府市,山梨県甲府市酒折２丁目４番５号,food,restaurant,2025-05-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-12
2090002000327,有限会社イノウエフードサービス,イノウエフードサービス,山梨県,甲府市,山梨県甲府市丸の内１丁目１番８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-04
2090002003511,有限会社若奴食堂,ワカヤッコショクドウ,山梨県,甲府市,山梨県甲府市城東３丁目９番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-14
2090002009558,有限会社アップルフード,アップルフード,山梨県,上野原市,山梨県上野原市上野原１７０９番地１,food,,2015-10-05,false,26,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2090002012173,有限会社センスイフードサービス,,山梨県,富士吉田市,山梨県富士吉田市上吉田３６５１－７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2090002012768,有限会社山岩食堂,,山梨県,富士吉田市,山梨県富士吉田市下吉田９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2090002012875,有限会社鹿鳴館フードサービス,,山梨県,南都留郡山中湖村,山梨県南都留郡山中湖村平野６８７番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2090005001652,山梨飲食業協同組合,,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町河東中島１１５２番地１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3090001006547,株式会社オーエムジー・フードサービス,,山梨県,笛吹市,山梨県笛吹市石和町四日市場１７３１番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-27
3090001006902,株式会社山梨フードサービス,,山梨県,笛吹市,山梨県笛吹市石和町川中島２８番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
