# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1012401023767,ＶＢジャパンテクノロジー株式会社,ヴイビージャパンテクノロジー,山梨県,南都留郡鳴沢村,山梨県南都留郡鳴沢村字富士山１１４００番地４３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-15
1090001000667,甲府トラック運送株式会社,,山梨県,甲府市,山梨県甲府市上阿原町３１０番地２,logistics,logistics,2015-10-05,false,36,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001000865,株式会社山甲運送,サンコウウンソウ,山梨県,甲府市,山梨県甲府市青葉町２０番２５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-02
1090001002218,山梨牛乳運送株式会社,ヤマナシギュウニュウウンソウ,山梨県,甲府市,山梨県甲府市池田３丁目９番１０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-13
1090001003273,株式会社井上重建運輸,,山梨県,甲斐市,山梨県甲斐市天狗沢６５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-27
1090001004387,ＹＩＴＯＡマイクロテクノロジー株式会社,,山梨県,甲府市,山梨県甲府市大里町４６５番地,logistics,logistics,2015-10-05,false,238,,,https://www.micro-technology.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001005617,エコロジア山梨株式会社,,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町飯喰８５８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001006004,株式会社コントラクト・ロジスティクス・フクシマ,コントラクトロジスティクスフクシマ,山梨県,笛吹市,山梨県笛吹市境川町藤垈字八乙女３２７０番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-31
1090001007134,株式会社ウッドプロジン,,山梨県,南アルプス市,山梨県南アルプス市浅原４２２番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-06
1090001011177,株式会社花田運輸,,山梨県,北杜市,山梨県北杜市須玉町大豆生田７４９番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001011284,株式会社小渕沢運送店,コブチザワウンソウテン,山梨県,北杜市,山梨県北杜市小淵沢町７４１５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-26
1090001014007,株式会社栄昇運輸,エイショウウンユ,山梨県,甲府市,山梨県甲府市上阿原町４４６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-12
1090001014725,手塚陸運株式会社,,山梨県,笛吹市,山梨県笛吹市石和町八田８８番地,logistics,logistics,2016-07-28,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-02
1090001017447,株式会社やまなしハイドロジェンカンパニー,ヤマナシハイドロジェンカンパニー,山梨県,甲府市,山梨県甲府市下向山町３２１６番地,logistics,logistics,2022-03-02,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1090001019237,富士吉田ＧＸテクノロジー株式会社,フジヨシダジーエックステクノロジー,山梨県,富士吉田市,山梨県富士吉田市下吉田２丁目３１番１４号,logistics,logistics,2025-04-23,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-23
1090002000534,有限会社大森倉庫,オオモリソウコ,山梨県,甲府市,山梨県甲府市落合町１２４９番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-04
1090002001458,さわやか運輸有限会社,サワヤカウンユ,山梨県,甲府市,山梨県甲府市国母６丁目５番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-19
1090002002695,有限会社藤原運送,,山梨県,甲府市,山梨県甲府市後屋町字渋川１６８番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002003207,有限会社山梨リバーサイド運輸,,山梨県,甲府市,山梨県甲府市蓬沢１丁目１６番４４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002003966,有限会社山八運送,ヤマハチウンソウ,山梨県,甲斐市,山梨県甲斐市富竹新田字郷河原１８１０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-14
1090002004345,有限会社日本丸運輸,,山梨県,中央市,山梨県中央市山之神３６２７番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002008437,有限会社内照運輸,,山梨県,笛吹市,山梨県笛吹市石和町窪中島２２８番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002008701,有限会社森澤運送,モリサワウンソウ,山梨県,笛吹市,山梨県笛吹市石和町上平井１０２８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-15
1090002010797,有限会社反田産業運輸,,山梨県,山梨市,山梨県山梨市三ヶ所９３６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002011052,有限会社サンセイ物流,,山梨県,甲州市,山梨県甲州市勝沼町等々力２３４１番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-09
1090002011366,有限会社内田運送,,山梨県,甲州市,山梨県甲州市勝沼町菱山２７１６番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090002012323,有限会社嗚沢倉庫,ナルサワソウコ,山梨県,南都留郡鳴沢村,山梨県南都留郡鳴沢村１８４５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-27
1090002013107,有限会社青山建材運輸,,山梨県,富士吉田市,山梨県富士吉田市上吉田東４丁目９番２２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-02
