# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1090001008413,富岳物産株式会社,フガクブッサン,山梨県,都留市,山梨県都留市小形山１５番地６,retail,care|wholesale,2015-10-05,false,,,,http://www.fugaku.net/,055-243-0013,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2090002003313,有限会社山平浅川商店,ヤマヒラアサカワショウテン,山梨県,甲府市,山梨県甲府市上石田４丁目１８番６号,retail,care|retail,2015-10-05,false,24,,,http://www.kofu-asakawa.com/,055-267-6447,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7090002014025,有限会社入山小林商店,イリヤマコバヤシショウテン,山梨県,北杜市,山梨県北杜市長坂町長坂上条２３４６番地,retail,care|retail,2015-10-05,false,,,,,0551323325,,,国税庁 法人番号公表サイト,2024-12-17
1012801018549,株式会社戸井商事,トイショウジ,山梨県,甲府市,山梨県甲府市東下条町１５２番地７,retail,wholesale,2018-02-07,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-16
1090001000048,暁商事株式会社,,山梨県,甲府市,山梨県甲府市青沼２丁目１５番９号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-13
1090001000915,桜商事株式会社,,山梨県,甲府市,山梨県甲府市中央４丁目３番１９号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001000923,佐々木商事株式会社,,山梨県,甲府市,山梨県甲府市平瀬町３２１１番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-02
1090001001054,新日本商事株式会社,,山梨県,甲府市,山梨県甲府市大里町１０７８番地の１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-02
1090001001426,株式会社辻田商店,,山梨県,甲府市,山梨県甲府市里吉１丁目１番２６号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1090001001681,株式会社日東物産,,山梨県,甲府市,山梨県甲府市朝日５丁目１１番１８号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
