# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2090001005013,ハートサービス株式会社,ハートサービス,山梨県,南アルプス市,山梨県南アルプス市藤田２２５３番地２,service,care,2015-10-05,false,,,,http://heart-service.co.jp/,055-249-8315,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3090001012082,株式会社ヒューマンサービス山梨,ヒューマンサービスヤマナシ,山梨県,南巨摩郡富士川町,山梨県南巨摩郡富士川町長沢６８７番地２,service,care,2015-10-05,false,,,,http://care-net.biz/19/human/,0556－22－5995,,javascript:void(0),国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1090002013437,有限会社ティーエス企画,,山梨県,南都留郡富士河口湖町,山梨県南都留郡富士河口湖町船津１２４６番地１,service,care|advertising,2015-10-05,false,,,,,０５５５－７３－３０５８,,,国税庁 法人番号公表サイト,2015-11-06
3090003000597,株式会社デイサービスふきのとう,デイサービスフキノトウ,山梨県,南都留郡鳴沢村,山梨県南都留郡鳴沢村５８５５番地１,service,care,2015-10-05,false,,,,,0555-85-2280,,,国税庁 法人番号公表サイト,2024-03-06
9090001016136,プラスメディア株式会社,プラスメディア,山梨県,甲府市,山梨県甲府市上阿原町４１６番地１ＭＰイーストビル１Ｆ,service,care|advertising,2019-08-02,false,,,,https://sorafit.net,055-267-6270,,,国税庁 法人番号公表サイト,2021-04-09
2090001013949,株式会社愛歩里企画,アイボリキカク,山梨県,富士吉田市,山梨県富士吉田市富士見１丁目３番８号,service,care|advertising,2015-10-05,false,,,,,0555-22-1411,,,国税庁 法人番号公表サイト,2025-05-28
1010401030346,ユニオン企画株式会社,ユニオンキカク,山梨県,笛吹市,山梨県笛吹市石和町唐柏１４８番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-08
1010405013256,一般社団法人日本便利サービス協会,ニホンベンリサービスキョウカイ,山梨県,甲府市,山梨県甲府市北口１丁目４番１２号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-12
1012402023361,有限会社介企画,カイキカク,山梨県,甲府市,山梨県甲府市大里町２５２１番地１１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-28
1021001031394,杉本総合企画株式会社,スギモトソウゴウキカク,山梨県,上野原市,山梨県上野原市上野原３４９９番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
