# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3200001028380,株式会社ハートコンサルタント,ハートコンサルタント,岐阜県,岐阜市,岐阜県岐阜市茜部寺屋敷２丁目４１番地２,consulting,care|pro-services,2015-10-05,false,,,,http://ohisamanoegao.com/,058-276-1366,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5200001033932,株式会社ＴＨａＢＴＯコンサルティング,サブトコンサルティング,岐阜県,海津市,岐阜県海津市南濃町太田７２番地１,consulting,care|pro-services,2017-04-17,false,,,,http://www.thabto.co.jp/kaguwa/,0584-59-1888,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2180001100928,株式会社ＳＫパートナーズ,エスケイパートナーズ,岐阜県,瑞穂市,岐阜県瑞穂市別府１１０２－３ＲＷＩＮＧⅠ１００１,consulting,care|pro-services,2015-10-05,false,,,,,058-372-8333,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010003033879,Ｎコンサルティング合同会社,エヌコンサルティング,岐阜県,岐阜市,岐阜県岐阜市鍵屋西町２丁目５７番地１,consulting,pro-services,2021-01-07,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-13
1011101054494,ワールド・パートナーズ株式会社,ワールドパートナーズ,岐阜県,岐阜市,岐阜県岐阜市折立４２７番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-17
1180002061625,有限会社総研,,岐阜県,大垣市,岐阜県大垣市郭町東２丁目７４番地１１０１号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001006529,株式会社エイエスコンサルタント,,岐阜県,山県市,岐阜県山県市梅原５５３番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-22
1200001007964,株式会社東洋コンサルタント,,岐阜県,岐阜市,岐阜県岐阜市茜部本郷３丁目１３５番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-10
1200001009614,株式会社ナイケイコンサルタント,,岐阜県,岐阜市,岐阜県岐阜市福富町田２６２番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001012007,株式会社新技術グローバルコンサルティング,シンギジュツグローバルコンサルティング,岐阜県,羽島市,岐阜県羽島市福寿町浅平１丁目５６番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-21
1200001012576,株式会社ベストパートナーズ,ベストパートナーズ,岐阜県,各務原市,岐阜県各務原市那加石山町１丁目１２５番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-11
1200001012642,株式会社リアライズ・コンサルティング,リアライズコンサルティング,岐阜県,岐阜市,岐阜県岐阜市六条大溝４丁目１１番２３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-28
1200001013590,コンサルト厚生給食株式会社,コンサルトコウセイキュウショク,岐阜県,大垣市,岐阜県大垣市藤江町２丁目３４番地の２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-08
1200001020059,川島コンサルタント株式会社,カワシマコンサルタント,岐阜県,関市,岐阜県関市円保通１丁目２番２３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-05
1200001023524,株式会社光測量コンサルタント,ヒカリソクリョウコンサルタント,岐阜県,中津川市,岐阜県中津川市小川町２番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-22
1200001025314,株式会社飛州コンサルタント,ヒシュウコンサルタント,岐阜県,高山市,岐阜県高山市新宮町１８６８番地５,consulting,pro-services,1983-05-20,false,27,,代表取締役　岩本　拓也,https://hisyu.co.jp/recruit/employee-benefits/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001027616,株式会社コンクリートテクノコンサル,コンクリートテクノコンサル,岐阜県,岐阜市,岐阜県岐阜市香蘭１丁目１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-10
1200001027830,東邦プラスワンコンサルタント株式会社,,岐阜県,岐阜市,岐阜県岐阜市粟野東２丁目３００－２０３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001028077,株式会社ふたば葵経営コンサルタント,,岐阜県,各務原市,岐阜県各務原市鵜沼古市場町４丁目１６２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001031106,ひだしんイノベーションパートナーズ株式会社,ヒダシンイノベーションパートナーズ,岐阜県,高山市,岐阜県高山市花岡町１丁目１３番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001031709,株式会社ワイズコンサルティング,ワイズコンサルティング,岐阜県,美濃加茂市,岐阜県美濃加茂市中部台３丁目１２番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-30
1200001033110,株式会社コンサル上村,,岐阜県,関市,岐阜県関市星ケ丘１７番４号,consulting,pro-services,2016-07-28,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-02
1200001035156,株式会社ＭＦコンサルティング,エムエフコンサルティング,岐阜県,下呂市,岐阜県下呂市森１３６１番地１,consulting,pro-services,2018-05-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-14
1200001036773,東西労務コンサルティング株式会社,トウザイロウムコンサルティング,岐阜県,岐阜市,岐阜県岐阜市小熊町１丁目１２番地,consulting,pro-services,2019-10-18,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-08
1200001037474,株式会社ゴールドパートナーズ,ゴールドパートナーズ,岐阜県,可児市,岐阜県可児市広見５丁目９１番地ベルコートビル４階,consulting,pro-services,2020-05-29,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-29
1200001039140,はなまるコンサルティング株式会社,ハナマルコンサルティング,岐阜県,恵那市,岐阜県恵那市長島町正家１０５８番地３,consulting,pro-services,2021-09-15,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-27
1200001043877,株式会社リライトパートナーズ,リライトパートナーズ,岐阜県,瑞穂市,岐阜県瑞穂市本田９６９番地１,consulting,pro-services,2025-06-10,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-10
1200001044545,ＭＹコンサルタント株式会社,エムワイコンサルタント,岐阜県,多治見市,岐阜県多治見市高根町２丁目５２番地の３,consulting,pro-services,2025-12-18,true,,,,,,,,国税庁 法人番号公表サイト,2025-12-18
1200002000373,有限会社位田総研,イダソウケン,岐阜県,岐阜市,岐阜県岐阜市西川手８丁目３８番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-09
1200002006206,さきがけコンサルティング有限会社,,岐阜県,岐阜市,岐阜県岐阜市大福町３丁目１２番,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
