# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9200001020357,株式会社ファーストロジテム,ファーストロジテム,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町平島３丁目１６３番地,logistics,care|logistics,2015-10-05,false,,,,http://hp.kaipoke.biz/wmp/index.html,0527537057,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1180001136881,愛岐物流株式会社,アイギブツリュウ,岐阜県,可児市,岐阜県可児市今渡１５９６番地２アルカンシエル２０２,logistics,logistics,2019-06-06,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-28
1200001001892,広栄運輸株式会社,コウエイウンユ,岐阜県,岐阜市,岐阜県岐阜市安良田町２丁目３番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-09
1200001003609,株式会社東海物流,トウカイブツリュウ,岐阜県,岐阜市,岐阜県岐阜市元住町１１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-17
1200001007378,長良運輸株式会社,ナガラウンユ,岐阜県,各務原市,岐阜県各務原市鵜沼三ツ池町１丁目１５番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
1200001008079,丸門運輸株式会社,マルモンウンユ,岐阜県,岐阜市,岐阜県岐阜市柳津町流通センター２丁目４番１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-14
1200001008392,株式会社寿テクノロジー,コトブキテクノロジー,岐阜県,各務原市,岐阜県各務原市鵜沼朝日町１丁目１０５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-26
1200001009993,株式会社鈴建運輸,,岐阜県,瑞穂市,岐阜県瑞穂市宝江村前２２４番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1200001010010,相互運輸株式会社,ソウゴウンユ,岐阜県,瑞穂市,岐阜県瑞穂市牛牧５１５番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-24
1200001011462,プロジェクトジャパン株式会社,プロジェクトジャパン,岐阜県,羽島市,岐阜県羽島市上中町沖９３４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001011925,株式会社岐阜ロジック,ギフロジック,岐阜県,羽島市,岐阜県羽島市舟橋町出須賀２丁目７２番,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-22
1200001012106,羽島物流株式会社,ハシマブツリュウ,岐阜県,羽島市,岐阜県羽島市竹鼻町飯柄字西折戸１１９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-25
1200001012287,株式会社マイプロジェクト,,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町野中３丁目４３番地ツインハイツオオヒガシ３Ｄ号室,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001012592,株式会社直売倉庫,チョクバイソウコ,岐阜県,大垣市,岐阜県大垣市外野２丁目９６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-15
1200001013987,鶴見運輸株式会社,ツルミウンユ,岐阜県,大垣市,岐阜県大垣市横曽根４丁目１６７５番地の９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-23
1200001015199,株式会社金生運輸,,岐阜県,大垣市,岐阜県大垣市青墓町３丁目４１０番地２８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001016949,株式会社スフィアプロジェクト,スフィアプロジェクト,岐阜県,岐阜市,岐阜県岐阜市今嶺１丁目３０番２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-29
1200001016981,株式会社アサヒ・ロジスティックス,アサヒロジスティックス,岐阜県,海津市,岐阜県海津市平田町野寺字内田７５７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-16
1200001018581,カヤバロジスティクス株式会社,カヤバロジスティクス,岐阜県,可児市,岐阜県可児市姫ケ丘２丁目１６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-11
1200001019167,桜井運輸株式会社,サクライウンユ,岐阜県,関市,岐阜県関市山田１０６５番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-17
1200001019464,濃飛西濃運輸株式会社,ノウヒセイノウウンユ,岐阜県,関市,岐阜県関市池田町１番地,logistics,logistics,2015-10-05,false,2023,,,http://www.seino.co.jp/nouhi/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001020422,株式会社オート・グラブ・テクノロジー,,岐阜県,大垣市,岐阜県大垣市菅野２丁目２４番地の２,logistics,logistics|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001023854,株式会社八和物流,ハチワブツリュウ,岐阜県,中津川市,岐阜県中津川市坂下５８６番地２８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-03
1200001027302,株式会社プロジェクトＲ,プロジェクトアール,岐阜県,高山市,岐阜県高山市丹生川町町方１３９番地１５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-01
1200001031213,ＢＥＴロジスティクス株式会社,ビィーティロジスティクス,岐阜県,関市,岐阜県関市武芸川町跡部７８８番地７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-17
1200001033671,株式会社ウイングテクノロジー,,岐阜県,岐阜市,岐阜県岐阜市花園町１４番地,logistics,logistics,2017-01-20,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-25
1200001033820,ジェイ．ライフ物流株式会社,,岐阜県,中津川市,岐阜県中津川市福岡１３８７番地３８,logistics,logistics,2017-03-03,false,,,,,,,,国税庁 法人番号公表サイト,2017-03-08
1200001039297,株式会社Ｋ’ｓロジスティック,ケーズロジスティック,岐阜県,岐阜市,岐阜県岐阜市北鶉２丁目４８番地,logistics,logistics,2021-10-18,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-18
1200001044743,株式会社エイコーロジス,エイコーロジス,岐阜県,土岐市,岐阜県土岐市下石町１８９７番地の２,logistics,logistics,2026-02-25,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-25
1200002002428,杉谷運輸有限会社,スギタニウンユ,岐阜県,岐阜市,岐阜県岐阜市岩地１丁目９番２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-28
1200002004069,有限会社プロジェクトブイアイシイ,,岐阜県,岐阜市,岐阜県岐阜市六条北２丁目８番１６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-10
1200002010447,有限会社エフシー物流,,岐阜県,各務原市,岐阜県各務原市各務東町７丁目５２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-17
1200002012798,大清運輸有限会社,ダイシンウンユ,岐阜県,大垣市,岐阜県大垣市赤坂東町７３番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-13
1200002013004,有限会社仁平運輸,ニヘイウンユ,岐阜県,大垣市,岐阜県大垣市津村町１丁目１０６８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
1200002013367,有限会社安八物流,アンパチブツリュウ,岐阜県,安八郡安八町,岐阜県安八郡安八町森部１１６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-04
1200002015264,石田運輸有限会社,,岐阜県,揖斐郡池田町,岐阜県揖斐郡池田町市橋２６１番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200002016262,有限会社宮本運輸,,岐阜県,美濃加茂市,岐阜県美濃加茂市加茂野町鷹之巣１３７４番地の１３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200002017186,中村運送有限会社,,岐阜県,可児市,岐阜県可児市川合２７４９番地の５６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200002019273,有限会社山和運送,ヤマワウンソウ,岐阜県,関市,岐阜県関市津保川台２丁目６番２２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-07
1200002020248,有限会社三和運輸,,岐阜県,多治見市,岐阜県多治見市東町３丁目１番地の４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200002021568,星山運輸有限会社,ホシヤマウンユ,岐阜県,土岐市,岐阜県土岐市下石町３０４番地の１３１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
