# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9200002011660,株式会社健康理化学センター,ケンコウリカガクセンター,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町八剣２丁目２７番地,manufacturing,care,2015-10-05,false,160,,,http://sunrise-station.jp,0582487221,,http://sunrise-station.jp/#footer,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1200001015083,株式会社松永製作所,マツナガセイサクショ,岐阜県,養老郡養老町,岐阜県養老郡養老町大場４８４番地,manufacturing,care|manufacturing,2015-10-05,false,180,,,http://www.matsunaga-w.co.jp/,0584-35-1344,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001086788,ビオ製薬株式会社,,岐阜県,羽島市,岐阜県羽島市正木町曲利１６８番地１１,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001028285,鴻日金属株式会社,コウニチキンゾク,岐阜県,揖斐郡揖斐川町,岐阜県揖斐郡揖斐川町脛永３２８２番１,manufacturing,manufacturing,2021-05-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-05
1200001001100,華陽食品株式会社,,岐阜県,岐阜市,岐阜県岐阜市萱場町１丁目１８番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-26
1200001001505,株式会社岐阜冷凍機製作所,,岐阜県,岐阜市,岐阜県岐阜市加納長刀堀３丁目１１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1200001002536,株式会社清水製作所,,岐阜県,岐阜市,岐阜県岐阜市瑞雲町１丁目２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001003451,土本食品株式会社,ツチモトショクヒン,岐阜県,岐阜市,岐阜県岐阜市芥見野畑１丁目６５番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-27
1200001004417,平田金属株式会社,ヒラタキンゾク,岐阜県,岐阜市,岐阜県岐阜市東中島１丁目１１番１０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-21
1200001005126,株式会社丸八製作所,マルハチセイサクショ,岐阜県,岐阜市,岐阜県岐阜市大倉町７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-09
1200001006693,株式会社山本製作所,ヤマモトセイサクショ,岐阜県,山県市,岐阜県山県市岩佐１１３０番地３,manufacturing,manufacturing,2015-10-05,false,51,,,https://k-yyy.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001006842,株式会社鵜沼食品卸売市場,ウヌマショクヒンオロシウリシジョウ,岐阜県,各務原市,岐阜県各務原市鵜沼南町３丁目２２番地,manufacturing,food-maker|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-16
1200001007535,丸善金属株式会社,マルゼンキンゾク,岐阜県,各務原市,岐阜県各務原市鵜沼朝日町１丁目１８７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-21
1200001008681,村上金属株式会社,ムラカミキンゾク,岐阜県,岐阜市,岐阜県岐阜市芥見６丁目９８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-28
1200001008855,株式会社小林食品,コバヤシショクヒン,岐阜県,山県市,岐阜県山県市大森５１６番地の１３,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-26
1200001009465,古川軽金属株式会社,フルカワケイキンゾク,岐阜県,各務原市,岐阜県各務原市蘇原吉新町３丁目１６番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-10
1200001010142,株式会社丸晃製作所,,岐阜県,瑞穂市,岐阜県瑞穂市別府２１１４番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1200001010274,株式会社ヨナシロ製作所,ヨナシロセイサクショ,岐阜県,瑞穂市,岐阜県瑞穂市別府１６５０番地の４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-17
1200001011000,株式会社黒田製作所,クロダセイサクショ,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町伏屋９丁目１３８番地,manufacturing,manufacturing,2015-10-05,false,142,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001011025,株式会社小見山家具製作所,コミヤマカグセイサクショ,岐阜県,岐阜市,岐阜県岐阜市柳津町本郷４丁目４０番１,manufacturing,manufacturing,1961-06-01,false,14,,代表取締役　掛　宗智,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001011074,株式会社三友製作所,サンユウセイサクショ,岐阜県,羽島市,岐阜県羽島市正木町南及５丁目５８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-23
1200001011421,株式会社光製作所,ヒカリセイサクショ,岐阜県,羽島郡笠松町,岐阜県羽島郡笠松町中野２４８番地の３,manufacturing,manufacturing,2015-10-05,false,274,,,https://www.hikariss.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001011495,株式会社本田プレス製作所,ホンダプレスセイサクショ,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町八剣北２丁目３６番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-27
1200001012634,株式会社山川食品青果,ヤマカワショクヒンセイカ,岐阜県,瑞穂市,岐阜県瑞穂市穂積６１０番地２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-26
1200001013079,株式会社ＷＳＢ食品,,岐阜県,山県市,岐阜県山県市梅原１０００番地６,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001013459,河合食品冷蔵株式会社,,岐阜県,大垣市,岐阜県大垣市大井１丁目３６番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001014259,株式会社松岡度量衡器製作所,,岐阜県,大垣市,岐阜県大垣市日の出町２丁目１２１番地１３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-29
1200001014325,みつや食品株式会社,ミツヤショクヒン,岐阜県,大垣市,岐阜県大垣市藤江町５丁目６０番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-17
1200001014829,株式会社伊吹ＬＩＸＩＬ製作所,イブキリクシルセイサクショ,岐阜県,不破郡垂井町,岐阜県不破郡垂井町表佐８０８番地,manufacturing,manufacturing,2015-10-05,false,265,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001014944,株式会社マルダイスプリング養老工場,マルダイスプリングヨウロウコウジョウ,岐阜県,養老郡養老町,岐阜県養老郡養老町沢田字堀川４７０番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-21
1200001015892,株式会社日高製作所,,岐阜県,大垣市,岐阜県大垣市新開町６３番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1200001017212,株式会社東和製作所,トウワセイサクショ,岐阜県,美濃加茂市,岐阜県美濃加茂市川合町４丁目５番２号,manufacturing,manufacturing,2015-10-05,false,250,,,https://towa-gifu.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001017591,株式会社舟場製作所,フナバセイサクショ,岐阜県,加茂郡富加町,岐阜県加茂郡富加町高畑字山東１０８２番,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001017690,株式会社長谷川製作所,,岐阜県,可児市,岐阜県可児市緑ケ丘４丁目７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1200001018219,株式会社片山製作所,カタヤマセイサクショ,岐阜県,可児市,岐阜県可児市姫ケ丘１丁目３０番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001018499,株式会社後藤製作所,ゴトウセイサクショ,岐阜県,美濃加茂市,岐阜県美濃加茂市西町６丁目２７４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-10
1200001019217,株式会社篠田製作所,シノダセイサクショ,岐阜県,岐阜市,岐阜県岐阜市金園町３丁目１９番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001019737,株式会社三興製作所,サンコウセイサクショ,岐阜県,関市,岐阜県関市倉知字石佛２６７０番地の１,manufacturing,manufacturing,2015-10-05,false,42,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1200001019803,大信化学株式会社,タイシンカガク,岐阜県,関市,岐阜県関市倉知３２４４番地２,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-30
1200001019951,矢入楽器製造株式会社,,岐阜県,関市,岐阜県関市上之保２４３５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-09
1200001019968,三和化学株式会社,,岐阜県,美濃市,岐阜県美濃市神洞４５８番地,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-16
