# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8200001021050,株式会社マル若商店,マルワカショウテン,岐阜県,多治見市,岐阜県多治見市小名田町３丁目１５２番地,retail,care|retail,2015-10-05,false,75,,,https://maruwakashouten.co.jp/index.html,0572-44-0820,,https://maruwakashouten.co.jp/contact/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2200002015767,明和商事有限会社,メイワショウジ,岐阜県,関市,岐阜県関市下有知５２１７番地１,retail,care|wholesale,2015-10-05,false,,,,,0575-21-2880,,,国税庁 法人番号公表サイト,2019-02-04
4200001021384,多峯商事株式会社,タホウショウジ,岐阜県,土岐市,岐阜県土岐市泉町久尻３７番地の５,retail,care|wholesale,2015-10-05,false,,,,,0572-55-1765,,,国税庁 法人番号公表サイト,2018-12-07
7200001007117,株式会社五月商店,サツキショウテン,岐阜県,各務原市,岐阜県各務原市鵜沼古市場町２丁目５６番地の３,retail,care|retail,2015-10-05,false,30,,,https://www.satsuki-5.co.jp,0568-39-6661,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7200001023683,カネ九商事株式会社,カネクショウジ,岐阜県,恵那市,岐阜県恵那市大井町字学頭１２０２番地の４,retail,care|wholesale,2015-10-05,false,,,,https://www.kaneku.com,0573-22-9018,,,国税庁 法人番号公表サイト,2026-04-15
6200001007539,株式会社松原薬局ストア,マツバラヤッキョクストア,岐阜県,各務原市,岐阜県各務原市那加栄町１番地,retail,care|pharmacy|retail,2015-10-05,false,,,,http://www.matsubara-ph.co.jp/,058-382-0013,,,国税庁 法人番号公表サイト,2022-05-26
1010001071253,株式会社日華商事,ニッカショウジ,岐阜県,各務原市,岐阜県各務原市鵜沼羽場町７丁目１７３番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-12
1180001085402,福俊商事株式会社,フクトシショウジ,岐阜県,岐阜市,岐阜県岐阜市祈年町２丁目１７９２番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-03
1180001103709,株式会社昌平商事,ショウヘイショウジ,岐阜県,各務原市,岐阜県各務原市那加山後町１丁目１番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001148844,株式会社楽商商事,ラクショウショウジ,岐阜県,海津市,岐阜県海津市海津町平原字中沼６６４番地,retail,wholesale,2021-11-25,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-19
