# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5200001008703,株式会社中部人材紹介所,チュウブジンザイショウカイジョ,岐阜県,岐阜市,岐阜県岐阜市芋島１丁目７番６,service,care|hr,2015-10-05,false,,,,chubujinzai.jp,058-248-4044,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4200005000062,公益社団法人岐阜市シルバー人材センター,ギフシシルバージンザイセンター,岐阜県,岐阜市,岐阜県岐阜市鶴田町３丁目７番地の４,service,care|hr,2015-10-05,false,,,,https://webc.sjc.ne.jp/gifusc/index,058-240-1306,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
0200003003605,合同会社　愛岐サービス,,岐阜県,岐阜市,岐阜県岐阜市薮田中二丁目21-2AxisBlaze208号,service,care,,false,,,,,058-215-1837,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
8200001036602,株式会社Ｎｉｃｏライフサービス,ニコライフサービス,岐阜県,岐阜市,岐阜県岐阜市粟野東４丁目１６０番地,service,care,2019-09-03,false,,,,,058-213-2625,,,国税庁 法人番号公表サイト,2019-09-06
9200003002270,合同会社西濃企画,,岐阜県,大垣市,岐阜県大垣市外渕４丁目９２番地２,service,care|advertising,2015-10-05,false,,,,http://www.mirai-kouken.com/mirai.html,0584-89-5157,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9200001015150,株式会社ハートサービス,ハートサービス,岐阜県,大垣市,岐阜県大垣市矢道町１丁目２３番地,service,care,2015-10-05,false,79,,,http://www.heart-sv.co.jp,0584-93-0810,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2200001020314,しあわせライフサービス株式会社,シアワセライフサービス,岐阜県,関市,岐阜県関市中福野町５番２２号,service,care,2015-10-05,false,,,,,0575-21-5080,,,国税庁 法人番号公表サイト,2018-12-19
7010601045782,株式会社大晃サービス,ダイコウサービス,岐阜県,羽島市,岐阜県羽島市正木町曲利７５１番地１,service,care,2015-10-05,false,,,,,058-322-8810,,,国税庁 法人番号公表サイト,2022-07-19
8200002011521,株式会社羽島企画,ハシマキカク,岐阜県,羽島市,岐阜県羽島市小熊町島２丁目１０２番地１,service,care|advertising,2015-10-05,false,227,,,https://www.hashimakikaku.com,058-391-7313,,https://hashimakikaku.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1200005011483,公益社団法人可児市シルバー人材センター,カニシシルバージンザイセンター,岐阜県,可児市,岐阜県可児市今渡６８２番地の１,service,care|hr,2015-10-05,false,,,,https://www.kani-silver.jp/,０５７４−６３−５８１１,,https://www.kani-silver.jp/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
