# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8260001025657,株式会社ハッピーファーム,ハッピーファーム,岡山県,岡山市中区,岡山県岡山市中区海吉１７９４番地３号,agriculture,care|agriculture,2015-10-05,false,,,,,0869-24-8820,,,国税庁 法人番号公表サイト,2019-10-16
1000020339474,津山地区農業共済事務組合,ツヤマチクノウギョウキョウサイジムクミアイ,岡山県,津山市,岡山県津山市新野東５６７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-09
1260001006259,丸岡水産株式会社,マルオカスイサン,岡山県,岡山市南区,岡山県岡山市南区市場１丁目１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-17
1260001017280,アット・ファーム・倉敷株式会社,アットファームクラシキ,岡山県,倉敷市,岡山県倉敷市真備町市場９５８番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001021092,株式会社山田養蜂場ローヤルゼリー農園,ヤマダヨウホウジョウローヤルゼリーノウエン,岡山県,苫田郡鏡野町,岡山県苫田郡鏡野町市場１９４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-27
1260001022784,小出林業株式会社,,岡山県,真庭市,岡山県真庭市栗原１８２４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001023171,株式会社岡山フルーツ農園,オカヤマフルーツノウエン,岡山県,岡山市北区,岡山県岡山市北区本町１０番２２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001023691,株式会社せとうちファーム,,岡山県,都窪郡早島町,岡山県都窪郡早島町早島１９２１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001025564,株式会社源吉兆庵農園,ミナモトキッチョウアンノウエン,岡山県,岡山市北区,岡山県岡山市北区幸町７番２８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-28
1260001025820,株式会社森淵林業,モリブチリンギョウ,岡山県,津山市,岡山県津山市野介代１４７番地１３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001026265,株式会社天政農園,テンマサノウエン,岡山県,美作市,岡山県美作市下庄町７５０番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-31
1260001026901,株式会社ありがとうファーム,アリガトウファーム,岡山県,岡山市北区,岡山県岡山市北区表町３丁目７番５号,agriculture,agriculture,2015-10-05,false,40,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001026967,株式会社魚秀水産,,岡山県,倉敷市,岡山県倉敷市中島４４番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001027222,株式会社山口水産,ヤマグチスイサン,岡山県,備前市,岡山県備前市日生町日生３１１１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-19
1260001028352,磯田林業株式会社,イソダリンギョウ,岡山県,真庭市,岡山県真庭市後谷畝６３８番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-11
1260001029516,ゆうせいファーム株式会社,ユウセイファーム,岡山県,岡山市東区,岡山県岡山市東区浦間１３５８番地,agriculture,agriculture,2016-04-26,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001029961,株式会社原田農園,,岡山県,苫田郡鏡野町,岡山県苫田郡鏡野町下原１４２３番地,agriculture,agriculture,2016-09-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001030275,瀬戸内メイプルファーム株式会社,セトウチメイプルファーム,岡山県,小田郡矢掛町,岡山県小田郡矢掛町宇角２１１６番地１,agriculture,agriculture,2016-12-19,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-06
1260001032156,結ファーム株式会社,ユイファーム,岡山県,玉野市,岡山県玉野市山田１７５９番地３,agriculture,agriculture,2018-06-27,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-19
1260001033179,株式会社加原農園,カハラノウエン,岡山県,久米郡久米南町,岡山県久米郡久米南町山手３０番地１,agriculture,agriculture,2019-05-31,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-05
1260001033591,株式会社一所懸命農園,イッショケンメイノウエン,岡山県,岡山市北区,岡山県岡山市北区御津金川７００番地,agriculture,agriculture,2019-10-02,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
