# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010701027422,株式会社食堂６３５,,岡山県,倉敷市,岡山県倉敷市安江８３番地５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-07-24
1260001004675,株式会社トータルキッチン・プロデュース,,岡山県,岡山市北区,岡山県岡山市北区西古松西町８番１７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-23
1260001015771,タイシンフード株式会社,,岡山県,倉敷市,岡山県倉敷市西岡１６４５番地５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001017529,株式会社サン・ウエストフード,,岡山県,倉敷市,岡山県倉敷市沖新町８８番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001017586,株式会社岩田食堂,イワタショクドウ,岡山県,倉敷市,岡山県倉敷市北畝７丁目９番１１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-08
1260001020937,株式会社レストラン瀬戸,,岡山県,美作市,岡山県美作市湯郷９８９番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001026224,株式会社フードトラスト,フードトラスト,岡山県,倉敷市,岡山県倉敷市黒石１１４６－５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-19
1260001028410,株式会社カガミノフードサービス,カガミノフードサービス,岡山県,苫田郡鏡野町,岡山県苫田郡鏡野町市場１９４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-04
1260002001812,有限会社岡山フードサービス,,岡山県,岡山市北区,岡山県岡山市北区表町３丁目２番２７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260002010953,有限会社レストラン一宮,,岡山県,岡山市北区,岡山県岡山市北区西辛川６３３番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260002023393,有限会社フルイ・フード　クリエイト,フルイフードクリエイト,岡山県,倉敷市,岡山県倉敷市川入８０８番地４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-08
1260002033005,有限会社食堂おか,ショクドウオカ,岡山県,玉野市,岡山県玉野市玉４丁目７番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-18
1260003002974,合同会社食堂３１０,ショクドウサンビャクジュウ,岡山県,高梁市,岡山県高梁市栄町１９４８番地３,food,restaurant,2019-10-04,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-26
1260003005589,合同会社ＫＤＫＨフードサービス,ケイディーケイエイチフードサービス,岡山県,倉敷市,岡山県倉敷市中畝７丁目１１番２６号,food,restaurant,2026-04-08,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-08
1260005009893,ＮＰＯ法人チルドレンズカフェハニードロップスきび,チルドレンズカフェハニードロップスキビ,岡山県,岡山市北区,岡山県岡山市北区庭瀬７１９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-25
1260005011247,ＮＰＯ法人フードバンクわけらびっと,フードバンクワケラビット,岡山県,和気郡和気町,岡山県和気郡和気町尺所３６９番地,food,,2023-07-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-05
2260001002703,株式会社山陽フードサービス,サンヨウフードサービス,岡山県,岡山市中区,岡山県岡山市中区原尾島１丁目６番２０号天満屋ハピータウン原尾島店内,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-12
