# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3260002026551,唐井運輸有限会社,,岡山県,浅口市,岡山県浅口市金光町地頭下８３番地の３,logistics,care|logistics,2015-10-05,false,,,,,0865-42-9922,,,国税庁 法人番号公表サイト,2015-11-20
4260002006115,有限会社アースプロジェクト,アースプロジェクト,岡山県,岡山市南区,岡山県岡山市南区南輝３丁目８番１９号,logistics,care|logistics,2015-10-05,false,,,,http://keiaigroup.com,086-264-8822,,,国税庁 法人番号公表サイト,2018-12-26
9260001023742,株式会社ＧＭプロジェクト,ジーエム,岡山県,都窪郡早島町,岡山県都窪郡早島町早島４１８８番地１５,logistics,care|logistics,2015-10-05,false,,,,http://www.gm-project.jp/yunta-masuno,086-206-2671,,,国税庁 法人番号公表サイト,2021-06-01
1240001031812,ひろかね倉庫株式会社,ヒロカネソウコ,岡山県,倉敷市,岡山県倉敷市庄新町７番５－８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-02
1260001000154,株式会社アームジャパン・プロジェクト,アームジャパンプロジェクト,岡山県,岡山市北区,岡山県岡山市北区幸町８番２５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-05
1260001001111,岡山市場運輸株式会社,オカヤマシジョウウンユ,岡山県,岡山市南区,岡山県岡山市南区市場１丁目１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-21
1260001001367,岡山臨港倉庫運輸株式会社,オカヤマリンコウソウコウンユ,岡山県,岡山市南区,岡山県岡山市南区海岸通２丁目１番１６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
1260001001532,岡崎運送株式会社,オカザキウンソウ,岡山県,岡山市東区,岡山県岡山市東区西幸西３１６番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-28
1260001003727,ゼンタク運輸株式会社,ゼンタクウンユ,岡山県,岡山市南区,岡山県岡山市南区平福２丁目５番５５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-03
1260001005186,ニッコー運輸株式会社,ニッコーウンユ,岡山県,岡山市北区,岡山県岡山市北区下石井２丁目１番１０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-13
1260001007488,株式会社コスモ工機物流センター,コスモコウキブツリュウセンター,岡山県,岡山市北区,岡山県岡山市北区建部町川口字高砂場３４９番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-26
1260001009195,ジェロントロジー総合研究所株式会社,ジェロントロジーソウゴウケンキュウジョ,岡山県,岡山市北区,岡山県岡山市北区北長瀬本町４番１９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-30
1260001010772,オオタナノテクノロジー株式会社,,岡山県,岡山市北区,岡山県岡山市北区今保８２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-24
1260001011721,株式会社ピアノ運送岡山,ピアノウンソウオカヤマ,岡山県,岡山市北区,岡山県岡山市北区白石東新町７－１０１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-04
1260001013486,佐々木運輸株式会社,ササキウンユ,岡山県,倉敷市,岡山県倉敷市黒石１１３番地１３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-07
1260001013825,株式会社玉島コーワン運輸,タマシマコーワンウンユ,岡山県,倉敷市,岡山県倉敷市玉島乙島新湊８２５６番地の２７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-13
1260001013866,大晃物流株式会社,,岡山県,倉敷市,岡山県倉敷市白楽町１４０番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-03-30
1260001013882,大成物流株式会社,,岡山県,浅口市,岡山県浅口市鴨方町小坂東２０９９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001014699,株式会社別府運送店,,岡山県,倉敷市,岡山県倉敷市片島町１０７３番１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-26
1260001014831,丸中運輸倉庫株式会社,マルナカウンユソウコ,岡山県,倉敷市,岡山県倉敷市東塚６丁目１１番１７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-18
1260001014864,水島臨海倉庫株式会社,ミズシマリンカイソウコ,岡山県,倉敷市,岡山県倉敷市南畝７丁目７番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-13
1260001015706,セトロジスティックス株式会社,セトロジスティックス,岡山県,倉敷市,岡山県倉敷市水島海岸通２丁目１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
1260001016803,岡山さくら運送株式会社,オカヤマサクラウンソウ,岡山県,倉敷市,岡山県倉敷市玉島３丁目１５番１１－１９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-02
1260001016877,テクニカルプロジェクト株式会社,,岡山県,倉敷市,岡山県倉敷市平田７４５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001017306,株式会社協同物流,,岡山県,倉敷市,岡山県倉敷市児島上の町３丁目６番６８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001018337,丸福運輸株式会社,マルフクウンユ,岡山県,井原市,岡山県井原市芳井町梶江６３７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-26
1260001018502,株式会社坂野組運輸,サカノグミウンユ,岡山県,浅口市,岡山県浅口市寄島町２０３番地,logistics,logistics,2015-10-05,false,32,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001018601,株式会社シミズ運輸,,岡山県,浅口郡里庄町,岡山県浅口郡里庄町大字里見４２０２番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001018634,株式会社ＦｉｒｓｔＬｉｎｅ物流,,岡山県,小田郡矢掛町,岡山県小田郡矢掛町小田６６２１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001018824,ＭＫ運送株式会社,エムケーウンソウ,岡山県,小田郡矢掛町,岡山県小田郡矢掛町矢掛２４８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-18
1260001019194,永山運送株式会社,ナガヤマウンソウ,岡山県,新見市,岡山県新見市長屋４２６番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-20
1260001020697,岡田運輸株式会社,オカダウンユ,岡山県,津山市,岡山県津山市山方１０１７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-04
1260001021902,株式会社遠藤運輸,エンドウウンユ,岡山県,和気郡和気町,岡山県和気郡和気町加三方２９８番地の７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001022883,丸山運送株式会社,マルヤマウンソウ,岡山県,真庭市,岡山県真庭市蒜山上長田４９２番地の１０,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-04
1260001023675,高梁運輸株式会社,,岡山県,高梁市,岡山県高梁市津川町今津２５４２番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001023832,株式会社サンロジックス,サンロジックス,岡山県,岡山市北区,岡山県岡山市北区田中１２４番地１０１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-04
1260001024203,浜田運輸株式会社,ハマダウンユ,岡山県,美作市,岡山県美作市位田６６８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-07
1260001025060,株式会社石丸運送,,岡山県,笠岡市,岡山県笠岡市園井１２３５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001025589,株式会社エコプロジェクト,,岡山県,倉敷市,岡山県倉敷市中庄８２番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001025762,西運ロジ株式会社,サイウンロジ,岡山県,岡山市東区,岡山県岡山市東区西大寺新地２０３番地９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-18
1260001027214,株式会社ライフギアプロジェクト,ライフギアプロジェクト,岡山県,真庭市,岡山県真庭市月田７８８８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-19
1260001028328,児島物流株式会社,コジマブツリュウ,岡山県,倉敷市,岡山県倉敷市児島稗田町１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-19
1260001028947,株式会社ファインプロジェクト,ファインプロジェクト,岡山県,赤磐市,岡山県赤磐市高屋４２２番地５,logistics,logistics,2015-11-06,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-08
1260001029607,ファームスカイテクノロジーズ株式会社,ファームスカイテクノロジーズ,岡山県,苫田郡鏡野町,岡山県苫田郡鏡野町古川１０３１番地１,logistics,logistics|agriculture,2016-05-25,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-09
1260001030671,株式会社ナカタニ重機運輸,,岡山県,都窪郡早島町,岡山県都窪郡早島町前潟５９番地,logistics,logistics,2017-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2017-04-12
1260001035209,株式会社新倉運送,シンクラウンソウ,岡山県,岡山市中区,岡山県岡山市中区関３０３番地１１,logistics,logistics,2021-02-22,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-22
1260001035563,友栄運輸株式会社,ユウエイウンユ,岡山県,倉敷市,岡山県倉敷市林２０４８－１,logistics,logistics,2021-05-21,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-08
1260001035761,テイクプロジャパン株式会社,テイクプロジャパン,岡山県,岡山市南区,岡山県岡山市南区内尾７８番地,logistics,logistics,2021-07-09,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-09
1260001036198,株式会社バイエーテクノロジー,バイエーテクノロジー,岡山県,岡山市北区,岡山県岡山市北区下中野３３４－１１０日商ビル３０２号,logistics,logistics,2021-11-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-11
1260001037353,ヤサシサロジック株式会社,ヤサシサロジック,岡山県,岡山市中区,岡山県岡山市中区浜３丁目８－１３－４,logistics,logistics,2022-10-27,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-10
1260001037469,あさひ未来プロジェクト株式会社,アサヒミライプロジェクト,岡山県,久米郡美咲町,岡山県久米郡美咲町北１９３７番地,logistics,logistics,2022-12-13,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-13
1260001038913,株式会社セファテクノロジー岡山,セファテクノロジーオカヤマ,岡山県,浅口郡里庄町,岡山県浅口郡里庄町大字新庄字金山６０６９番地,logistics,logistics,2024-04-03,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-03
1260002002158,岡三物流株式会社,オカサンブツリュウ,岡山県,岡山市南区,岡山県岡山市南区築港元町４番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-13
1260002002554,有限会社勝井運送,カツイウンソウ,岡山県,岡山市東区,岡山県岡山市東区瀬戸町瀬戸２８３番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-07
1260002004724,有限会社ジェイ．プロジェクト,,岡山県,岡山市東区,岡山県岡山市東区中川町１０７８番地の１３４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
