# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5260001015875,株式会社清音金型製作所,キヨネカナガタセイサクショ,岡山県,総社市,岡山県総社市清音上中島２０８番地３,manufacturing,care|manufacturing,2015-10-05,false,,,,http://www.oasis-kiyone.com/index.htm,0866-92-5711,,,国税庁 法人番号公表サイト,2018-11-15
5260001004894,株式会社中田農具製作所,ナカタノウグセイサクショ,岡山県,岡山市中区,岡山県岡山市中区湊４２９番地,manufacturing,care|manufacturing,2015-10-05,false,,,,,086-277-7004,,,国税庁 法人番号公表サイト,2019-08-06
3260002034216,有限会社北房製作所,ホクボウセイサクショ,岡山県,真庭市,岡山県真庭市上水田２２９９番地,manufacturing,care|manufacturing,2015-10-05,false,,,,,0866-52-4811,,,国税庁 法人番号公表サイト,2020-11-24
1010001237052,清水酒蔵製造株式会社,シミズシュゾウセイゾウ,岡山県,総社市,岡山県総社市清音上中島３７２－３３,manufacturing,manufacturing,2023-07-28,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-13
1240001061198,福山金属株式会社,フクヤマキンゾク,岡山県,岡山市北区,岡山県岡山市北区富原４８６番地１,manufacturing,manufacturing,2023-03-23,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-02
1260001000451,石井食品株式会社,イシイショクヒン,岡山県,岡山市南区,岡山県岡山市南区泉田１丁目３番１０号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-09
1260001001887,川口金属株式会社,カワグチキンゾク,岡山県,岡山市北区,岡山県岡山市北区野田３丁目１９番１３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-09
1260001002695,株式会社山陽ネジ製作所,サンヨウネジセイサクショ,岡山県,岡山市北区,岡山県岡山市北区今保６１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-05
1260001002869,株式会社三起電機製作所,,岡山県,岡山市北区,岡山県岡山市北区東花尻２８７番地の５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-23
1260001005046,株式会社日本フレーム製作所,,岡山県,岡山市中区,岡山県岡山市中区浜１丁目２１番３０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1260001005203,ニッケン食品株式会社,ニッケンショクヒン,岡山県,岡山市中区,岡山県岡山市中区清水２丁目６番１１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001006457,株式会社光畑製作所,ミツハタセイサクショ,岡山県,岡山市北区,岡山県岡山市北区久米６番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1260001012554,いろは食品株式会社,イロハショクヒン,岡山県,倉敷市,岡山県倉敷市酒津２４３７番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-18
