# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3260001034654,株式会社土屋,ツチヤ,岡山県,井原市,岡山県井原市井原町１９２番地２久安セントラルビル２階,other,care,2020-08-19,false,2050,,代表取締役　大山　敏之,https://tcy.co.jp/,050-3733-3443,,https://form.run/@tcy-other-inquir,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1260001017388,株式会社ドルフィン・エイド,ドルフィンエイド,岡山県,倉敷市,岡山県倉敷市白楽町１０８番地１ドルフィンビル,other,care,2015-10-05,false,222,,,,０８６６－６２－２２１１,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001161228,株式会社ｒｅｆｉｎｅ,リファイン,岡山県,倉敷市,岡山県倉敷市茶屋町１６０９番地７,other,care,2015-10-05,false,,,,http://www.refine-heartlife.com/toyohashi/,0532-38-8686,,https://www.refine-heartlife.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5260002024181,有限会社クレヨン,クレヨン,岡山県,岡山市北区,岡山県岡山市北区宿４２３番地５,other,care,2015-10-05,false,,,,,086-228-2815,,,国税庁 法人番号公表サイト,2021-11-24
4260002013417,有限会社あいあい,アイアイ,岡山県,岡山市北区,岡山県岡山市北区富町２丁目２番２１号,other,care,2015-10-05,false,,,,,086-805-0502,,,国税庁 法人番号公表サイト,2021-10-08
7260005002356,特定非営利活動法人共助グループ喫茶去,キョウジョグループキッチャコ,岡山県,岡山市北区,岡山県岡山市北区岩田町５番８号,other,care|restaurant,2015-10-05,false,,,,,086-201-1019,,,国税庁 法人番号公表サイト,2021-12-03
2260001000764,株式会社エクティエ,エクティエ,岡山県,岡山市北区,岡山県岡山市北区中仙道６０番地１１７,other,care,2015-10-05,false,,,,,086-805-6630,,,国税庁 法人番号公表サイト,2020-11-25
2260001011002,株式会社フェリーチェ岡山,フェリーチェオカヤマ,岡山県,岡山市北区,岡山県岡山市北区東野山町１６４８番地３３,other,care,2015-10-05,false,,,,,086-241-8677,,,国税庁 法人番号公表サイト,2022-05-31
4260001024365,株式会社えくぼ,エクボ,岡山県,岡山市北区,岡山県岡山市北区岡町１４番９号岡町ビル２０２,other,care,2015-10-05,false,,,,https://ekubo-okayama.co.jp,086-222-8025,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1260001026356,ロングライフ株式会社,ロングライフ,岡山県,岡山市北区,岡山県岡山市北区天瀬５番８号,other,care,2015-10-05,false,,,,http//longlife-town.com/,086-223-6010,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
