# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9260002011696,あん総合企画有限会社,アンソウゴウキカク,岡山県,岡山市北区,岡山県岡山市北区楢津１００７番地の１,service,care|advertising,2015-10-05,false,,,,,086-284-7444,,,国税庁 法人番号公表サイト,2018-04-04
4260005002037,特定非営利活動法人まごころサービス岡山センター,マゴコロサービスオカヤマセンター,岡山県,岡山市中区,岡山県岡山市中区関１９番地１,service,care,2015-10-05,false,,,,http://ww9.tiki.ne.jp/~magokoro,086-208-3857,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7260002013620,有限会社しあわせサービス,シアワセサービス,岡山県,岡山市中区,岡山県岡山市中区原尾島３丁目１２番６２－２０５号,service,care,2015-10-05,false,,,,,086-271-0294,,,国税庁 法人番号公表サイト,2026-06-02
4260005008141,特定非営利活動法人まごころサービス倉敷,マゴコロサービスクラシキ,岡山県,玉野市,岡山県玉野市田井３丁目１２番１８号,service,care,2015-10-05,false,,,,http://www.jp-care.gr.jp/,0863-31-6640,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6260003002466,Ｎ企画合同会社,エヌキカク,岡山県,総社市,岡山県総社市美袋８４４番地１,service,care|advertising,2018-03-20,false,,,,,0866−99−1641,,,国税庁 法人番号公表サイト,2018-04-27
3260001029794,株式会社オオニシサービス,オオニシサービス,岡山県,瀬戸内市,岡山県瀬戸内市邑久町北島７６１番地３,service,care,2016-07-21,false,,,,,086-238-5459,,,国税庁 法人番号公表サイト,2026-03-12
8260002034112,有限会社まにわヘルプサービスセンター,,岡山県,真庭市,岡山県真庭市台金屋３０９番地２,service,care,2015-10-05,false,,,,,0867-42-9674,,,国税庁 法人番号公表サイト,2015-11-20
9260002000955,有限会社いわいサービス,,岡山県,岡山市北区,岡山県岡山市北区津島福居１丁目２番１５号,service,care,2015-10-05,false,,,,http://www.oozorakai.com/,086-254-0220,,,国税庁 法人番号公表サイト,2015-11-20
6260005003017,特定非営利活動法人デイサービスセンターおかやまままかり苑,デイサービスセンターオカヤマママカリエン,岡山県,岡山市東区,岡山県岡山市東区益野町７５４番地１,service,care,2015-10-05,false,,,,https://www.mamakari.or.jp/,086-943-2500,,,国税庁 法人番号公表サイト,2018-04-12
2260001025076,株式会社リハビリ型デイサービス絆,リハビリガタデイサービスキズナ,岡山県,笠岡市,岡山県笠岡市二番町５番地１３,service,care,2015-10-05,false,,,,,0865-62-6255,,,国税庁 法人番号公表サイト,2018-07-19
