# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7402705000005,大船渡市農業協同組合,オオフナトシ,岩手県,大船渡市,岩手県大船渡市大船渡町字茶屋前１６７番地４,agriculture,care|agriculture,2015-10-05,false,281,,,,0192-26-1231,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3400005002989,花巻農業協同組合,ハナマキノウギョウ,岩手県,花巻市,岩手県花巻市野田３１６番地１,agriculture,care|agriculture,2015-10-05,false,741,,,http://www.jahanamaki.or.jp/,0198-23-3333,,http://www.jahanamaki.or.jp/contact/index.php,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2400505000700,いわて平泉農業協同組合,イワテヒライズミ,岩手県,一関市,岩手県一関市竹山町７番１号,agriculture,care|agriculture,2015-10-05,false,516,,,http://www.ja-iwatehiraizumi.or.jp,0191-23-3006,,http://www.ja-iwatehiraizumi.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9400005000054,岩手県厚生農業協同組合連合会,イワテケンコウセイ,岩手県,盛岡市,岩手県盛岡市永井１４地割１５番地１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-iwatekouseiren.or.jp/,019-632-3011,,,国税庁 法人番号公表サイト,2018-04-27
1400001006979,株式会社山根漁業部,ヤマネギョギョウブ,岩手県,宮古市,岩手県宮古市赤前第１５地割１７番地６,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-20
1400001007028,石山水産株式会社,イシヤマスイサン,岩手県,下閉伊郡山田町,岩手県下閉伊郡山田町境田町３番１９号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-21
1400001007250,大和水産株式会社,ヤマトスイサン,岩手県,下閉伊郡山田町,岩手県下閉伊郡山田町大沢第１０地割２０７番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001007779,樋口林業株式会社,ヒグチリンギョウ,岩手県,二戸市,岩手県二戸市浄法寺町サイカツ田１３番地１５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-06
1400001007894,株式会社ブライアーファーム,ブライアーファーム,岩手県,二戸郡一戸町,岩手県二戸郡一戸町奥中山字西田子９７０番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001008307,株式会社めぐみ農園,,岩手県,下閉伊郡田野畑村,岩手県下閉伊郡田野畑村菅窪２１番２６,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400001008835,上澤ファーム株式会社,カミサワファーム,岩手県,九戸郡軽米町,岩手県九戸郡軽米町大字高家第７地割６８番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-07
1400001009544,田中漁業株式会社,,岩手県,上閉伊郡大槌町,岩手県上閉伊郡大槌町吉里吉里３丁目７番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-12
1400001009627,株式会社田野畑牧場,タノハタボクジョウ,岩手県,下閉伊郡田野畑村,岩手県下閉伊郡田野畑村大芦５２番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1400001012952,株式会社村上林業,ムラカミリンギョウ,岩手県,八幡平市,岩手県八幡平市保戸坂３０番地１,agriculture,agriculture,2015-11-06,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-30
1400001013505,株式会社いわて銀河農園,イワテギンガノウエン,岩手県,大船渡市,岩手県大船渡市末崎町字大田３７番地１８８,agriculture,agriculture,2016-12-26,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-15
1400001014809,ワタミファーム陸前高田株式会社,ワタミファームリクゼンタカタ,岩手県,陸前高田市,岩手県陸前高田市横田町字志田実３番地１,agriculture,agriculture,2019-10-29,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-17
1400001015311,株式会社須川ファーム,スカワファーム,岩手県,一関市,岩手県一関市滝沢字苦木８０番地,agriculture,agriculture,2021-02-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001015609,及川林業株式会社,オイカワリンギョウ,岩手県,大船渡市,岩手県大船渡市三陸町越喜来字西甫嶺３１番地３,agriculture,agriculture,2021-10-04,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-04
1400001015699,株式会社ＭＧファーム,エムジーファーム,岩手県,九戸郡洋野町,岩手県九戸郡洋野町中野第１地割１０２番地３,agriculture,agriculture,2021-12-03,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-03
1400001016012,株式会社しずくいしＹＵ‐ＹＵファーム,シズクイシユーユーファーム,岩手県,岩手郡雫石町,岩手県岩手郡雫石町南畑第３３地割２３番地１４,agriculture,agriculture,2022-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-05
1400001016177,株式会社大将水産,タイショウスイサン,岩手県,陸前高田市,岩手県陸前高田市高田町字大隅９３番地１,agriculture,agriculture,2023-03-15,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001017290,三陸ファーム株式会社,サンリクファーム,岩手県,大船渡市,岩手県大船渡市日頃市町字上坂本沢２４番地,agriculture,agriculture,2026-01-23,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-23
1400002000329,有限会社岩手林業印刷,イワテリンギョウインサツ,岩手県,盛岡市,岩手県盛岡市中央通３丁目１５番１７号岩手県森林組合会館内,agriculture,agriculture|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-17
1400002001236,有限会社小島農業経営研究所,,岩手県,盛岡市,岩手県盛岡市山岸４丁目６番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002003892,有限会社キューファーム,キューファーム,岩手県,二戸郡一戸町,岩手県二戸郡一戸町一戸字前田１６８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-07
1400002004239,株式会社岩手ファーム,イワテファーム,岩手県,盛岡市,岩手県盛岡市下田字生出７３１番地７,agriculture,agriculture,2015-10-05,false,205,,,https://www.iwate-farm.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400002006838,有限会社岩清水産業,イワシミズサンギョウ,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町大字岩清水第９地割１３番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-27
1400002007539,有限会社ハッピーヒルファーム,ハッピーヒルファーム,岩手県,岩手郡岩手町,岩手県岩手郡岩手町大字土川第４地割９１番地７４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400002007670,有限会社安比高原牧場,アッピコウゲンボクジョウ,岩手県,八幡平市,岩手県八幡平市安比高原１７１番地の２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-20
1400002007852,有限会社くずまき農園,,岩手県,岩手郡葛巻町,岩手県岩手郡葛巻町江刈第３１地割１０１番地４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-26
1400002008594,有限会社石鳥谷牧場,,岩手県,花巻市,岩手県花巻市石鳥谷町八幡第８地割３２１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-26
1400002009915,有限会社宝海沼ファーム,ホウカイヌマファーム,岩手県,北上市,岩手県北上市口内町宝海沼３８６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-10
1400002010600,有限会社クリーンファーム,,岩手県,宮古市,岩手県宮古市津軽石第１９地割１３６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002011870,有限会社山久水産,,岩手県,釜石市,岩手県釜石市片岸町第１０地割１０番地の２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
