# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1400001003919,株式会社池乃家食堂,イケノヤショクドウ,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町大字高田第１６地割１７番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-17
1400001016714,株式会社松竹食堂,ショウチクショクドウ,岩手県,一関市,岩手県一関市上大槻街２番１号,food,restaurant,2024-07-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-05
2400001004759,しょうげつフードサービス株式会社,ショウゲツフードサービス,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町大字広宮沢第１地割２８１番,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-20
2400001005815,株式会社銀河フードサービス,,岩手県,花巻市,岩手県花巻市高木第１６地割６８－６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001008537,キッチンスタジオ株式会社,,岩手県,花巻市,岩手県花巻市湯本第７地割１２８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001014196,株式会社安比フードサービス,アッピフードサービス,岩手県,八幡平市,岩手県八幡平市欠田１３番地１,food,restaurant,2018-06-22,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-27
2400001014221,株式会社零フード,ゼロフード,岩手県,盛岡市,岩手県盛岡市本宮４丁目２２番１号ハイムスＴ１－１階,food,,2018-07-10,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-14
2400002000955,有限会社フードアンドコスメプランニング,,岩手県,盛岡市,岩手県盛岡市月が丘２丁目１２番１２－１０４号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400002002456,有限会社西田屋食堂,ニシダヤショクドウ,岩手県,盛岡市,岩手県盛岡市南仙北１丁目１７番７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-24
2400002008882,有限会社フォークフードサービス,,岩手県,花巻市,岩手県花巻市諏訪町２丁目１番地１４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400005000853,岩手県飲食業生活衛生同業組合,イワテケンインショクギョウ,岩手県,盛岡市,岩手県盛岡市盛岡駅西通１丁目４番１８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3400001009823,株式会社協和フード,キョウワフード,岩手県,紫波郡紫波町,岩手県紫波郡紫波町日詰字朝日田２２２番地４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-21
3400002003338,盛岡飲食産業有限会社,,岩手県,盛岡市,岩手県盛岡市大通２丁目６番６号京藤ビル２階,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
3400002003610,有限会社吉松食堂,ヨシマツショクドウ,岩手県,盛岡市,岩手県盛岡市津志田２１地割５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-17
3400002006761,有限会社玉山支所前食堂,タマヤマシショマエショクドウ,岩手県,盛岡市,岩手県盛岡市日戸字鷹高２０番地２２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-04
3400003002685,株式会社コレクカフェ,コレクカフェ,岩手県,滝沢市,岩手県滝沢市牧野林７１８番地１０,food,restaurant,2020-10-26,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-24
3400503000180,合名会社開発食堂,,岩手県,一関市,岩手県一関市東山町長坂字町裏１５４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
3400503000214,合同会社農家レストランぬくもり,ノウカレストランヌクモリ,岩手県,一関市,岩手県一関市川崎町薄衣字上巻１２１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-06
4400001003544,菱和ＥＣＯフード株式会社,リョウワエコフード,岩手県,盛岡市,岩手県盛岡市盛岡駅西通２丁目１１番１５－２０１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-01
4400001006943,フードパック株式会社,フードパック,岩手県,宮古市,岩手県宮古市津軽石第１３地割３１６番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-23
