# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5400501000701,株式会社テコエコロジージャパン,テコエコロジージャパン,岩手県,一関市,岩手県一関市中央町１丁目１１番２９号２Ｆ,logistics,care|logistics,2015-10-05,false,,,,https://tsw-hd.com/sakurakan/,0191-36-3033,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1400001000148,岩手倉庫株式会社,イワテソウコ,岩手県,盛岡市,岩手県盛岡市仙北２丁目２番２４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-31
1400001000164,岩手庄子運送株式会社,イワテショウジウンソウ,岩手県,盛岡市,岩手県盛岡市湯沢１６地割１５番地１２,logistics,logistics,2015-10-05,false,53,,,http://www.iwate-shoji.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001001419,北星運送株式会社,ホクセイウンソウ,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町流通センター南２丁目４番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-07
1400001001930,丸大運輸株式会社,マルダイウンユ,岩手県,盛岡市,岩手県盛岡市永井１３地割９５番地,logistics,logistics,2015-10-05,false,143,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400001003670,株式会社北岩手運輸,キタイワテウンユ,岩手県,滝沢市,岩手県滝沢市湯舟沢５３３番地１１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
1400001004891,株式会社平舘運輸,タイラダテウンユ,岩手県,八幡平市,岩手県八幡平市平舘第１５地割６４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-22
1400001006319,大昭和物流株式会社,,岩手県,北上市,岩手県北上市常盤台４丁目９番２５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1400001006599,田代運輸株式会社,タシロウンユ,岩手県,北上市,岩手県北上市鳩岡崎１地割３０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-25
1400001007052,大徳運輸株式会社,,岩手県,下閉伊郡山田町,岩手県下閉伊郡山田町豊間根第２０地割５番地１５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-23
1400001007060,マルヨ産業運送株式会社,マルヨサンギョウ,岩手県,下閉伊郡山田町,岩手県下閉伊郡山田町船越第６地割５１番地６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-07
1400001008612,株式会社宝栄運輸,ホウエイウンユ,岩手県,盛岡市,岩手県盛岡市玉山字小田沢４２番地２０,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-14
1400002000279,岩手城北運輸有限会社,,岩手県,盛岡市,岩手県盛岡市みたけ５丁目１８番２６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002000964,有限会社北日本運送,,岩手県,盛岡市,岩手県盛岡市開運橋通３番４１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1400002001392,有限会社佐々木運送,,岩手県,盛岡市,岩手県盛岡市上太田四ツ家２２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002002911,平成物流有限会社,,岩手県,盛岡市,岩手県盛岡市津志田中央３丁目２２番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002002969,北進運輸有限会社,,岩手県,盛岡市,岩手県盛岡市永井１５地割３８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-20
1400002004189,有限会社盛岡配送,,岩手県,滝沢市,岩手県滝沢市巣子１２２８番地３３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002004321,藤丸運送有限会社,フジマルウンソウ,岩手県,盛岡市,岩手県盛岡市巻堀字上桑畑５２番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-07
1400002006912,有限会社総合運輸,,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町大字下矢次第３地割６６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002007010,有限会社石杜運輸,イシモリウンユ,岩手県,紫波郡紫波町,岩手県紫波郡紫波町佐比内字片山３７番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-29
1400002007745,渡辺運輸機工有限会社,ワタナベウンユキコウ,岩手県,八幡平市,岩手県八幡平市大更第１９地割１番地１３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-30
1400002007860,有限会社平正運輸,,岩手県,八幡平市,岩手県八幡平市松尾寄木第１３地割２２３番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-26
1400002008025,有限会社花城運送,,岩手県,花巻市,岩手県花巻市田力第３地割９３番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002008446,有限会社花巻斉藤運送,,岩手県,花巻市,岩手県花巻市山の神６７０番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002010732,有限会社東北物流運輸,トウホクブツリュウウンユ,岩手県,宮古市,岩手県宮古市西町１丁目７番３２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-01
1400002011111,有限会社北祥陸運,,岩手県,下閉伊郡普代村,岩手県下閉伊郡普代村第２３地割字小谷地２２番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002011375,有限会社中上運送,ナカガミウンソウ,岩手県,下閉伊郡普代村,岩手県下閉伊郡普代村第１２地割字中村５４番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-02
1400002012489,有限会社馬渕川配送,,岩手県,二戸市,岩手県二戸市石切所字川原４５番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1400002012547,小松運送有限会社,コマツウンソウ,岩手県,九戸郡軽米町,岩手県九戸郡軽米町大字軽米第２２地割字君成田５０番地８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-07
1400003001417,合同会社アースプロジェクト,アースプロジェクト,岩手県,盛岡市,岩手県盛岡市向中野８丁目２６番５号,logistics,logistics,2015-10-05,false,23,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400003002340,合同会社盛北運送,モリキタウンソウ,岩手県,盛岡市,岩手県盛岡市西青山２丁目８番５７号,logistics,logistics,2018-06-07,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-12
1400005004558,岩手県港湾運送事業協同組合,イワテケンコウワンウンソウ,岩手県,釜石市,岩手県釜石市鈴子町２３番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-27
1400005005176,一般社団法人プロジェクトＮｅｘｔ,プロジェクトネクスト,岩手県,遠野市,岩手県遠野市上組町３番１０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-09
1400005007552,一般社団法人ドリームプロジェクト,ドリームプロジェクト,岩手県,陸前高田市,岩手県陸前高田市矢作町字耳切１６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-10
1400005008360,一般社団法人ゼロジャパンプロジェクト,ゼロジャパンプロジェクト,岩手県,滝沢市,岩手県滝沢市鵜飼臨安１０２番地ペットの里内,logistics,logistics,2023-10-11,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-11
1400501000688,伊東運送株式会社,イトウウンソウ,岩手県,一関市,岩手県一関市大東町曽慶字神蔭２５番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-04
1400502001256,有限会社千厩運送,センマヤウンソウ,岩手県,一関市,岩手県一関市千厩町千厩字構井田２９番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-26
1400601000522,株式会社小山運輸,,岩手県,奥州市,岩手県奥州市胆沢小山字高縁４７番地１１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1400602000100,株式会社奥州物流,オウシュウブツリュウ,岩手県,北上市,岩手県北上市相去町赤坂３８番地１－１－Ｂ,logistics,logistics,2015-10-05,false,44,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1400602000240,有限会社県南倉庫,ケンナンソウコ,岩手県,奥州市,岩手県奥州市水沢字西光田７５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-24
1400602000348,有限会社下田運輸,シモダウンユ,岩手県,奥州市,岩手県奥州市水沢真城字北下田５７番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-14
1402702000161,有限会社高陽運送,タカヨウウンソウ,岩手県,大船渡市,岩手県大船渡市立根町字前谷地３２番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-10
2370001022558,株式会社スターロジャー,,岩手県,北上市,岩手県北上市上江釣子１５地割２０７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001001847,株式会社ロジティックス岩手,ロジティックスイワテ,岩手県,滝沢市,岩手県滝沢市鵜飼八人打２９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-13
2400001002003,株式会社ダイワ運輸,ダイワウンユ,岩手県,滝沢市,岩手県滝沢市下鵜飼５４番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-06
2400001003661,株式会社プロジェクト・赤べこ軍団,,岩手県,盛岡市,岩手県盛岡市盛岡駅西通２丁目１１番１０号Ｍシティ西口公園２０１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001003810,二葉運送株式会社,フタバウンソウ,岩手県,紫波郡矢巾町,岩手県紫波郡矢巾町大字高田第１４地割１番地１,logistics,logistics,2015-10-05,false,321,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2400001005914,北上運輸株式会社,キタカミウンユ,岩手県,北上市,岩手県北上市町分２地割１２０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2400001006227,大虎運輸北東北株式会社,ダイトラウンユキタトウホク,岩手県,北上市,岩手県北上市流通センター４番４７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-28
2400001006292,和幸物流株式会社,,岩手県,北上市,岩手県北上市堤ケ丘１丁目８番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001007068,岩泉自動車運輸株式会社,イワイズミジドウシャウンユ,岩手県,下閉伊郡岩泉町,岩手県下閉伊郡岩泉町岩泉字中家１２番地１,logistics,logistics|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-11
2400001007943,久慈新港運輸株式会社,クジシンコウウンユ,岩手県,久慈市,岩手県久慈市小久慈町第４０地割２０番地６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-08
2400001007984,株式会社正洸運輸,セイコウウンユ,岩手県,久慈市,岩手県久慈市夏井町鳥谷第８地割５０番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-03
2400001008446,株式会社古里木材物流,フルサトモクザイブツリュウ,岩手県,盛岡市,岩手県盛岡市東見前６地割３７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-10
2400001009618,東久運送株式会社,トウキュウウンソウ,岩手県,花巻市,岩手県花巻市下根子２８７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-09
2400001009989,株式会社プロジール,,岩手県,盛岡市,岩手県盛岡市南仙北１丁目１８番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2400001010014,株式会社エコロジー,エコロジー,岩手県,盛岡市,岩手県盛岡市上太田松ノ木６９番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-04
