# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2280005007044,島根県農業協同組合,シマネケン,島根県,松江市,島根県松江市殿町１９番地１,agriculture,care|agriculture,2015-10-05,false,3609,,,http://ja-shimane.jp/,0852-67-7700,,https://ja-shimane.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6280002003554,有限会社松江ファミリー農園,マツエファミリーノウエン,島根県,松江市,島根県松江市竹矢町１１１６番地,agriculture,care|agriculture,2015-10-05,false,,,,,0852-67-6066,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001000739,マルイ総合水産株式会社,マルイソウゴウスイサン,島根県,松江市,島根県松江市浜佐田町８９０番地７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-16
1280001002371,美保関水産株式会社,,島根県,松江市,島根県松江市美保関町美保関１６３８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-02
1280001002768,カンドーファーム株式会社,,島根県,松江市,島根県松江市古曽志町３０７番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001003650,新興漁業株式会社,,島根県,出雲市,島根県出雲市小津町８６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-06
1280001004640,播磨屋林業株式会社,ハリマヤリンギョウ,島根県,江津市,島根県江津市松川町下河戸１８０番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-16
1280001005639,出雲林業株式会社,イズモリンギョウ,島根県,仁多郡奥出雲町,島根県仁多郡奥出雲町稲原１２５６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001005647,株式会社奥出雲水産,オクイズモスイサン,島根県,仁多郡奥出雲町,島根県仁多郡奥出雲町下横田８４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-20
1280001006026,美保関大敷網漁業株式会社,ミホノセキオオシキアミギョギョウ,島根県,松江市,島根県松江市美保関町美保関５０５番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-09
1280001006067,株式会社浜田あけぼの水産,ハマダアケボノスイサン,島根県,浜田市,島根県浜田市原井町３０５０番地２８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001006372,株式会社ソーラーファーム,ソーラーファーム,島根県,益田市,島根県益田市種村町イ１７８０番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-06
1280001006835,若女水産株式会社,,島根県,浜田市,島根県浜田市原井町３０５０番地８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280001006959,株式会社いずも農園,イズモノウエン,島根県,出雲市,島根県出雲市今市町１２３８番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001008162,株式会社美郷マッシュファーム,ミサトマッシュファーム,島根県,邑智郡美郷町,島根県邑智郡美郷町粕渕３５５番地１,agriculture,agriculture,2020-03-09,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-18
1280001008617,大庭の里ファーム株式会社,オオバノサトファーム,島根県,松江市,島根県松江市大庭町７３５番地,agriculture,agriculture,2022-01-27,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001008690,株式会社万葉林業,マンヨウリンギョウ,島根県,鹿足郡津和野町,島根県鹿足郡津和野町中川２４３番地２,agriculture,agriculture,2022-05-10,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-10
1280001008856,株式会社葵海漁業,アオミギョギョウ,島根県,隠岐郡隠岐の島町,島根県隠岐郡隠岐の島町中町目貫の一１８番地,agriculture,agriculture,2023-01-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-06
1280002000317,ウッディ・ファーム松江有限会社,,島根県,松江市,島根県松江市東津田町１２３８番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002002577,有限会社和光水産,,島根県,松江市,島根県松江市東本町１丁目３５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002002734,大山漁業有限会社,ダイセンギョギョウ,島根県,松江市,島根県松江市美保関町片江７３４番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
1280002004359,有限会社ヤマト水産,,島根県,松江市,島根県松江市魚瀬町７８４番地７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-11
1280002006157,有限会社渡邊水産,ワタナベスイサン,島根県,出雲市,島根県出雲市浜町１９８７番地１,agriculture,agriculture,2015-10-05,false,38,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280002006941,地合定置網漁業有限会社,チゴウテイチアミギョギョウ,島根県,出雲市,島根県出雲市地合町１０４６番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-19
1280002007584,協和漁業有限会社,キョウワギョギョウ,島根県,大田市,島根県大田市五十猛町２７１５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-09
1280002007592,有限会社幸神水産,コウジンスイサン,島根県,大田市,島根県大田市静間町２１７番地３９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-08
1280002008277,有限会社興洋水産,,島根県,浜田市,島根県浜田市元浜町２１６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002009309,ホンダ林業機械有限会社,,島根県,江津市,島根県江津市渡津町３６８番地４,agriculture,manufacturing|agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-06
1280002009713,有限会社寺谷高原牧場,テラタニコウゲンボクジョウ,島根県,邑智郡美郷町,島根県邑智郡美郷町惣森６２４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-03
1280002009993,新興水産有限会社,シンコウスイサン,島根県,益田市,島根県益田市飯浦町イ８８９番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1280002010175,有限会社中島ファーム,ナカシマファーム,島根県,益田市,島根県益田市市原町イ１６９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-08
1280002010860,有限会社大阪屋牧場,,島根県,隠岐郡隠岐の島町,島根県隠岐郡隠岐の島町中町目貫の一４８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002011933,有限会社だんだんファーム掛合,ダンダンファームカケアイ,島根県,雲南市,島根県雲南市掛合町掛合４４１８番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-25
1280003000794,合同会社日貫おおもとファーム,オオモトファーム,島根県,邑智郡邑南町,島根県邑智郡邑南町日貫３２６１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280003001594,三協林業合同会社,サンキョウリンギョウ,島根県,大田市,島根県大田市仁摩町大国４２３,agriculture,agriculture,2022-03-17,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-17
1280003001801,合同会社青木農園,アオキノウエン,島根県,浜田市,島根県浜田市金城町長田ロ９１番地,agriculture,agriculture,2024-01-11,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-11
