# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1280001005226,益美コンサルタント株式会社,マスミコンサルタント,島根県,益田市,島根県益田市美都町仙道９１５番地１,consulting,care|pro-services,1990-11-16,false,,,代表取締役　佐々木　惠二,,0856-52-2340,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001003386,株式会社古川コンサルタント,フルカワコンサルタント,島根県,出雲市,島根県出雲市塩冶町１６１２番地１,consulting,pro-services,1967-07-28,false,68,,代表取締役　古川　篤,https://www.furukawact.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001005201,株式会社オーディコンサルタンツ機構,オーディコンサルタンツキコウ,島根県,鹿足郡津和野町,島根県鹿足郡津和野町田二穂１０９番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-25
1280001005507,株式会社Ｔ＆Ｍコンサルティング,,島根県,松江市,島根県松江市東出雲町揖屋８４３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280001006471,株式会社小汀会計事務所,オバマカイケイジムショ,島根県,出雲市,島根県出雲市平田町９８３番地大島屋ビル３Ｆ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-20
1280001008303,株式会社岡会計事務所,オカカイケイジムショ,島根県,松江市,島根県松江市学園南１丁目９番１９号,consulting,pro-services,2020-11-11,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-09
1280001008427,出雲アリーナパートナーズ株式会社,イズモアリーナパートナーズ,島根県,出雲市,島根県出雲市塩冶神前２丁目８番１６号,consulting,pro-services,2021-05-10,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-10
1280001008526,株式会社Ｊｉ＆Ｊｉコンサルティング,ジジコンサルティング,島根県,松江市,島根県松江市法吉町６５番地１２０,consulting,pro-services,2021-10-04,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280001008757,ＭＴＣコンサルティング株式会社,エムティーシーコンサルティング,島根県,松江市,島根県松江市上乃木７丁目１０番８号,consulting,pro-services,2022-08-03,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-05
1280001008807,株式会社大森会計事務所,オオモリカイケイジムショ,島根県,松江市,島根県松江市西茶町４０番地１,consulting,pro-services,2022-10-31,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-31
1280002002081,有限会社松江会計事務所,,島根県,松江市,島根県松江市黒田町４３５番地７,consulting,pro-services,2015-10-05,false,19,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280002002957,エコー・コンサルティング株式会社,エコーコンサルティング,島根県,松江市,島根県松江市玉湯町布志名７６７番地４３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-20
1280002004202,有限会社原弘会計事務所,,島根県,松江市,島根県松江市春日町４５７番地６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002005919,有限会社朋和コンサルタント,,島根県,出雲市,島根県出雲市稲岡町３５２番地２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002007683,有限会社タウン企画コンサルタント,,島根県,大田市,島根県大田市大田町大田イ３６０番地３,consulting,pro-services|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002011297,有限会社景山会計事務所,,島根県,雲南市,島根県雲南市三刀屋町三刀屋７５番地９,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-22
1280005007581,弁護士法人アジュール法律事務所,アジュールホウリツジムショ,島根県,松江市,島根県松江市母衣町９５番地,consulting,pro-services,2024-01-10,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
2010401097582,アステールビジネスコンサルタンツ株式会社,アステールビジネスコンサルタンツ,島根県,松江市,島根県松江市苧町１番地２１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-16
2280001000176,協和地建コンサルタント株式会社,キョウワチケンコンサルタント,島根県,松江市,島根県松江市東津田町１３２６番地１,consulting,pro-services,2015-10-05,false,31,,,http://kyouwacc.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001003253,株式会社宮本会計事務所,,島根県,出雲市,島根県出雲市今市町北本町５丁目１番地３０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-11
2280001003476,島建コンサルタント株式会社,シマケンコンサルタント,島根県,出雲市,島根県出雲市大社町入南１３０７番地４５,consulting,pro-services,2015-10-05,false,56,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001007691,みのりパートナーズ株式会社,ミノリパートナーズ,島根県,松江市,島根県松江市天神町４９番地,consulting,pro-services,2018-03-26,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-30
