# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1280001000433,大店信用株式会社,,島根県,松江市,島根県松江市和多見町１０８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-06
1280001002586,株式会社島根アセットファイナンス,,島根県,松江市,島根県松江市灘町１番地７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-27
1280001008815,株式会社リースキンＢＵＨＮＥ,リースキンビューネ,島根県,大田市,島根県大田市大田町大田イ３０４番地４,finance,,2022-11-09,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-06
1280002002809,有限会社カントリース,,島根県,松江市,島根県松江市八雲町熊野２５４３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002004160,有限会社安田総合保険事務所,ヤスダソウゴウホケンジムショ,島根県,松江市,島根県松江市八幡町３６２番地１６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-29
1280002006826,有限会社あるむ保険プラン,アルムホケンプラン,島根県,出雲市,島根県出雲市天神町８６９番地,finance,,2015-10-05,false,18,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280002007238,有限会社平田損害保険事務所,,島根県,出雲市,島根県出雲市平田町７２３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-02-01
1280002007469,有限会社アイテイ保険サービス,,島根県,大田市,島根県大田市大田町大田ロ１０３２番地２４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002010282,有限会社保険センタートキオ,ホケンセンタートキオ,島根県,益田市,島根県益田市あけぼの西町１０番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280005002541,特定非営利活動法人フリースクール元気塾,フリースクールゲンキジュク,島根県,松江市,島根県松江市学園１丁目７番３０号,finance,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-28
1280005002558,一般社団法人島根県損害保険代理業協会,シマネケンソンガイホケンダイリギョウキョウカイ,島根県,松江市,島根県松江市東朝日町１５１番地３４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-21
1280005003993,社会保険労務士法人長廻事務所,,島根県,出雲市,島根県出雲市平田町１１３５番地,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280005005164,島根益田信用組合,シマネマスダ,島根県,益田市,島根県益田市駅前町１４番２３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1280005007243,社会保険労務士法人村松事務所,ムラマツジムショ,島根県,松江市,島根県松江市学園南１丁目２番１号くにびきメッセ６階,finance,pro-services,2018-06-05,false,13,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150055433,山陰合同銀行健康保険組合,サンインゴウドウギンコウケンコウホケンクミアイ,島根県,松江市,島根県松江市魚町１０,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150055581,島根県医師国民健康保険組合,シマネケンイシコクミンケンコウホケンクミアイ,島根県,松江市,島根県松江市袖師町１－３１島根県医師会館　内,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001002890,株式会社エース保険事務所,エースホケンジムショ,島根県,松江市,島根県松江市上乃木２丁目２０－２５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-25
2280001003815,株式会社梶谷保険事務所,カジタニホケンジムショ,島根県,出雲市,島根県出雲市大津町１６８５番地６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-14
2280001004128,藤間総合保険株式会社,トウマソウゴウホケン,島根県,出雲市,島根県出雲市大社町菱根６００番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-01
2280001006215,株式会社アークス・レンタリース,アークスレンタリース,島根県,出雲市,島根県出雲市斐川町荘原２９０１番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-16
2280002003194,有限会社八束レンタリース,,島根県,松江市,島根県松江市八束町二子２５０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2280002003401,有限会社中央保険事務所,,島根県,松江市,島根県松江市八雲台１丁目３番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2280002008557,有限会社浜田レンタリース,ハマダレンタリース,島根県,浜田市,島根県浜田市長沢町３１３２番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-25
2280002009002,有限会社山本総合保険,,島根県,浜田市,島根県浜田市外ノ浦町５２９番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-13
2280002010843,有限会社朝日リース,アサヒリース,島根県,隠岐郡隠岐の島町,島根県隠岐郡隠岐の島町有木権現原６番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-20
