# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1280001003700,株式会社ソーシャルプランニングネットワーク,ソーシャルプランニングネットワーク,島根県,出雲市,島根県出雲市中野美保南２丁目９番地６ラピスラズリ３階,it,care,2015-10-05,false,39,,,,0853-25-8920,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8280002007999,有限会社ドリームシステム,,島根県,大田市,島根県大田市久手町刺鹿１８３１番地,it,care|it,2015-10-05,false,24,,,https://dreamday-irori.net/,0854-84-7079,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4280005004428,特定非営利活動法人弥栄発生活リハビリネット,ヤサカハツセイカツリハビリネット,島根県,浜田市,島根県浜田市弥栄町木都賀ロ２９１番地,it,care,2015-10-05,false,,,,,0855-48-2939,,,国税庁 法人番号公表サイト,2026-05-07
1280001002495,株式会社結システム,ユイシステム,島根県,雲南市,島根県雲南市吉田町深野８７番地１０,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-08
1280001002553,サンコーシステム株式会社,サンコーシステム,島根県,松江市,島根県松江市竹矢町１８３９番地２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-27
1280001002909,株式会社ジンテック,ジンテック,島根県,松江市,島根県松江市東津田町２１５９番地２８,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-15
1280001005267,株式会社ジオテック,,島根県,益田市,島根県益田市美都町山本イ１８番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280001005903,株式会社ユウテック,ユウテック,島根県,松江市,島根県松江市西尾町１１０２番地６,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-02
1280001006133,株式会社アートテック,アートテック,島根県,松江市,島根県松江市西嫁島３丁目２番１２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-13
1280001007478,アップシステム株式会社,アップシステム,島根県,松江市,島根県松江市菅田町１４２番地,it,it,2017-05-12,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-25
1280001007585,株式会社コーテック,,島根県,浜田市,島根県浜田市長沢町１５６番地,it,it,2017-10-12,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-17
1280001007775,セイシンテック株式会社,セイシンテック,島根県,松江市,島根県松江市上乃木４丁目３０番１号,it,it,2018-07-27,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-01
1280001008600,環境デジタルソリューション株式会社,カンキョウデジタルソリューション,島根県,松江市,島根県松江市北陵町１番地テクノアークしまね南館,it,it,2022-01-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-13
1280001008740,株式会社ＴＤＭテック,ティーディーエムテック,島根県,出雲市,島根県出雲市里方町１９８番地９,it,it,2022-07-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-07
1280001009383,由志園デザインシステム株式会社,ユウシエンデザインシステム,島根県,松江市,島根県松江市八束町波入１２６０番地の２,it,it|advertising,2025-03-24,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-24
1280002000093,有限会社アサヒコーティングシステム,アサヒコーティングシステム,島根県,松江市,島根県松江市西長江町９４３番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1280002000845,有限会社湖北テック,コホクテック,島根県,松江市,島根県松江市秋鹿町３９０８番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-13
1280002003146,有限会社原ホームシステム,,島根県,松江市,島根県松江市宍道町伊志見１０４番地,it,realestate|it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002004912,有限会社まほろばネット島根,,島根県,安来市,島根県安来市西赤江町８２４番地１３２,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002005547,有限会社システムワークス,システムワークス,島根県,出雲市,島根県出雲市古志町２２１６番地５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-03
1280002009440,有限会社オーテック・システム,オーテックシステム,島根県,浜田市,島根県浜田市熱田町５６６番地１０（２１３号）,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-18
1280003000340,合同会社マルテック,マルテック,島根県,出雲市,島根県出雲市荒茅町２１７５番地７,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-24
1280003000357,合資会社プラウトネット浜田,,島根県,浜田市,島根県浜田市原井町１２０３番地１,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280003000596,合同会社奥出雲フード・ビオ・テック,,島根県,仁多郡奥出雲町,島根県仁多郡奥出雲町高尾１２６０番地２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280003001314,合同会社Ｐ＆Ｋガーネット,ピーアンドケーガーネット,島根県,松江市,島根県松江市上東川津町１８０６番地,it,,2019-08-09,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-15
1280005002120,特定非営利活動法人まちづくりネットワーク島根,,島根県,松江市,島根県松江市古志原５丁目２番４３号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-03
1280005002161,特定非営利活動法人しまね歴史文化ネットワークもくもく,シマネレキシブンカネットワークモクモク,島根県,松江市,島根県松江市東朝日町２２７番地,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-17
1280005002574,特定非営利活動法人しまね建築環境ネットワーク,シマネケンチクカンキョウネットワーク,島根県,松江市,島根県松江市八雲町日吉２３６番地３,it,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-13
1280005006633,特定非営利活動法人別府安心ネット,ベップアンシンネット,島根県,邑智郡美郷町,島根県邑智郡美郷町別府２１５番地１,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-27
1280005007466,一般社団法人ヤングケアラーサロンネットワーク,ヤングケアラーサロンネットワーク,島根県,出雲市,島根県出雲市斐川町上直江１８番地２,it,beauty|care,2022-02-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-07
2011502014261,有限会社ソフトケア,ソフトケア,島根県,大田市,島根県大田市三瓶町志学２０７５－２,it,care|it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-10
2280001000201,ごうぎんシステムサービス株式会社,,島根県,松江市,島根県松江市袖師町６番１０号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-06
2280001000630,不動産システム株式会社,,島根県,松江市,島根県松江市浜乃木２丁目５番１８号,it,realestate|it,2015-10-05,false,32,,,http://www.f-systm.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001000639,株式会社プラテックヤマヨシ,プラテックヤマヨシ,島根県,松江市,島根県松江市矢田町２５０番地１６８,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-06
2280001001018,株式会社ウェブプラン,ウェブプラン,島根県,松江市,島根県松江市東津田町１７３３‐３‐２０１,it,it,1996-09-25,false,,,代表取締役　松尾　洸,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001002354,株式会社島根エレテック,シマネエレテック,島根県,松江市,島根県松江市西津田４丁目７番１０号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001002701,株式会社リネット,,島根県,松江市,島根県松江市東朝日町２８３番地,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2280001003542,いずもトータルネット株式会社,イズモトータルネット,島根県,出雲市,島根県出雲市今市町１１５番地１,it,,2015-10-05,false,4,,,https://www.izumo-it.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001004177,株式会社シィードシステム,,島根県,出雲市,島根県出雲市荻杼町５２０番地５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2280001004516,いまゐネット株式会社,イマイネット,島根県,江津市,島根県江津市桜江町川戸４７２番地１,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-17
2280001004730,トラント情報システム株式会社,トラントジョウホウシステム,島根県,江津市,島根県江津市桜江町市山４９５番地３,it,it,2015-10-05,false,25,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
