# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4280005000419,社会福祉法人島根ライトハウス,シマネライトハウス,島根県,松江市,島根県松江市宍道町西来待２０７４番地１,realestate,care|realestate,2015-10-05,false,,,,http://s-lighthouse.jp,0853-72-7222,,,国税庁 法人番号公表サイト,2026-06-30
3280002005917,株式会社ホームケアー島根,ホームケアーシマネ,島根県,出雲市,島根県出雲市斐川町上直江２１３９－１３５,realestate,care|realestate,2015-10-05,false,,,,http//www.homecare-shimane.jp/,0853-31-7878,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1280001001035,ヒシマサホーム株式会社,ヒシマサホーム,島根県,松江市,島根県松江市東出雲町出雲郷７４７番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-08
1280001003824,株式会社通販ハウス,,島根県,出雲市,島根県出雲市渡橋町２２５番地６,realestate,ec|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-02-01
1280001004203,株式会社オープンハウス,オープンハウス,島根県,出雲市,島根県出雲市東園町５４２番地１５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-02
1280001005531,プラウドホーム株式会社,,島根県,出雲市,島根県出雲市塩冶有原町１丁目４０番２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280001006216,リハウスふるーる株式会社,リハウスフルール,島根県,出雲市,島根県出雲市渡橋町３２７番地２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-23
1280001007362,ジャパンエステート企画株式会社,ジャパンエステートキカク,島根県,松江市,島根県松江市学園１丁目１３番８号,realestate,beauty|realestate|advertising,2016-12-21,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-01
1280001009301,株式会社正直不動産,ショウジキフドウサン,島根県,浜田市,島根県浜田市国分町２３１０番地,realestate,realestate,2024-12-04,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-04
1280002000102,安達不動産有限会社,,島根県,松江市,島根県松江市浜乃木２丁目７番１６号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002000787,有限会社幸和住宅,,島根県,松江市,島根県松江市西川津町５３２番地５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002000969,有限会社サンコー不動産,,島根県,松江市,島根県松江市八雲町西岩坂１０５８番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002001249,西建ホーム有限会社,,島根県,松江市,島根県松江市幸町１５７１番地２２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002001298,有限会社大栄不動産,,島根県,松江市,島根県松江市大正町４４８番地２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002001785,有限会社浜松不動産,,島根県,松江市,島根県松江市西津田１丁目６番１５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002001975,有限会社不動産ラインズ,フドウサンラインズ,島根県,松江市,島根県松江市学園２丁目６番３号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-15
1280002002040,有限会社ホームスィートホーム,,島根県,松江市,島根県松江市東本町１丁目７番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-05
1280002002404,有限会社矢田不動産,,島根県,松江市,島根県松江市矢田町３１番地３,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002005943,有限会社ふくや不動産,フクヤフドウサン,島根県,出雲市,島根県出雲市塩冶有原町５丁目３０番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-06
1280002006033,有限会社三雲不動産,,島根県,出雲市,島根県出雲市松寄下町１７１６番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-28
1280002006446,有限会社プリントハウス,プリントハウス,島根県,出雲市,島根県出雲市平田町８３１番地２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-04
1280002006801,ハウスレンタル有限会社,ハウスレンタル,島根県,出雲市,島根県出雲市松寄下町１３４１番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-13
1280002006867,有限会社イタクラ不動産,,島根県,出雲市,島根県出雲市大津朝倉２丁目３番地８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280002008054,有限会社棟石不動産,,島根県,出雲市,島根県出雲市塩冶町１１７３番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-11
1280002008541,浜田地所有限会社,ハマダヂショ,島根県,浜田市,島根県浜田市新町６４番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-24
1280002008649,本川不動産有限会社,ホンカワフドウサン,島根県,浜田市,島根県浜田市殿町１２４番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-10
1280002010266,有限会社ブライダルハウスまつもと,,島根県,益田市,島根県益田市横田町２５２番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1280003001355,ホームオン合同会社,ホームオン,島根県,松江市,島根県松江市雑賀町６４４番地荒木ビル１Ｆ,realestate,realestate,2020-02-12,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-12
1280003001925,村尾不動産鑑定合同会社,ムラオフドウサンカンテイ,島根県,江津市,島根県江津市都野津町１９１５番地,realestate,realestate,2025-03-07,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-07
1280005007549,有限責任振興住宅組合,シンコウジュウタククミアイ,島根県,松江市,島根県松江市東本町４丁目１３番地,realestate,realestate,2023-04-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-16
2280001000960,中央ホーム株式会社,チュウオウホーム,島根県,松江市,島根県松江市古志原５丁目１番１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2280001003402,株式会社大倉ホーム,オオクラホーム,島根県,出雲市,島根県出雲市斐川町上庄原１４２２番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-20
2280001004672,株式会社アートＲｅホーム,,島根県,浜田市,島根県浜田市長浜町１１３１番地６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2280001005324,株式会社タイセイホーム,タイセイホーム,島根県,益田市,島根県益田市あけぼの本町３番地２１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-05
2280001005357,株式会社岡田屋不動産,,島根県,益田市,島根県益田市あけぼの本町１０番地４,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-16
2280001007675,株式会社三和不動産,,島根県,大田市,島根県大田市大田町大田イ１４０番地７,realestate,realestate,2018-02-26,false,,,,,,,,国税庁 法人番号公表サイト,2018-03-01
