# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7280001002515,株式会社松江テクノサービス,マツエテクノサービス,島根県,松江市,島根県松江市宍道町伊志見４９３番地１,service,care,2015-10-05,false,,,,,0852-20-6730,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9280001006373,株式会社デイサービス・キートス,デイサービスキートス,島根県,出雲市,島根県出雲市小山町４０４番地４ＹＡＭＡＭＯＴＯビル１Ｆ,service,care,2015-10-05,false,11,,,https://kiitos0610.simdif.com/,0853－30－0125,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3280002006980,有限会社出雲リハビリサービス,,島根県,出雲市,島根県出雲市今市町５４７番地,service,care,2015-10-05,false,,,,,0853-22-3963,,,国税庁 法人番号公表サイト,2015-11-20
2280002011544,有限会社マルタカメディカルサービス,マルタカメディカルサービス,島根県,雲南市,島根県雲南市大東町下佐世１００１番地５,service,care,2015-10-05,false,,,,,0854-43-6500,,,国税庁 法人番号公表サイト,2020-07-09
5280005001110,特定非営利活動法人まごころサービス松江センター,マゴコロサービスマツエセンター,島根県,松江市,島根県松江市古志原１丁目１４番１号,service,care,2015-10-05,false,,,,care-net.biz/32/magokoro-kaigo/,０８５２－３３－９０８０,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4280005002134,特定非営利活動法人しあわせサービス,シアワセサービス,島根県,松江市,島根県松江市美保関町北浦４２２番地１,service,care,2015-10-05,false,,,,http://siawase-s.net,0852－75－0139,,,国税庁 法人番号公表サイト,2019-07-03
5280002005808,有限会社ナカヤ企画,ナカヤキカク,島根県,出雲市,島根県出雲市浜町１０９８番地７,service,care|advertising,2015-10-05,false,,,,,0853-23-8588,,,国税庁 法人番号公表サイト,2026-06-03
9280001004690,ＵＳサービス株式会社,ユーエスサービス,島根県,浜田市,島根県浜田市相生町３９３７番地,service,care,2015-10-05,false,,,,,0855-22-3030,,,国税庁 法人番号公表サイト,2020-10-26
1011105005808,一般社団法人日本ジャーナリスト教育センター,ニホンジャーナリストキョウイクセンター,島根県,浜田市,島根県浜田市金城町追原２１５番地,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-06
1120901018730,プラスワン・サービス株式会社,プラスワンサービス,島根県,出雲市,島根県出雲市小境町２０２２番地５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-07
1280001000318,島根県教育用品株式会社,シマネケンキョウイクヨウヒン,島根県,松江市,島根県松江市母衣町５５番地２,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-03
