# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5240002032104,有限会社礒本建設工業,イソモトケンセツコウギョウ,広島県,呉市,広島県呉市阿賀南５丁目５番１２号,construction,care|construction,2015-10-05,false,,,,,0823-76-3366,,,国税庁 法人番号公表サイト,2026-01-05
4240001031099,瀬戸電設工業株式会社,セトデンセツコウギョウ,広島県,福山市,広島県福山市瀬戸町山北４２３番地の１,construction,care,2015-10-05,false,158,,,http://www.furusato-seto.jp/,084-951-8382,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4240001011786,森信建設株式会社,,広島県,広島市中区,広島県広島市中区富士見町１５番１号,construction,care|construction,2015-10-05,false,60,,,https://morinobu.jp/product-kaigo/,082（208）3596,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5240001024606,大津建設株式会社,オオツケンセツ,広島県,三次市,広島県三次市十日市南１丁目５番３０号,construction,care|construction,2015-10-05,false,41,,,http://www.otsu-co.jp,0824-55-6661,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7240001040592,株式会社菊地工務店,キクチコウムテン,広島県,安芸郡府中町,広島県安芸郡府中町みくまり３丁目４番２７号,construction,care|construction,2015-10-05,false,,,,,082-516-8602,,,国税庁 法人番号公表サイト,2020-06-16
9240002039896,有限会社小野工務店,オノコウムテン,広島県,福山市,広島県福山市芦田町大字向陽台６１２番地の２２,construction,care|construction,2015-10-05,false,,,,http://hp.kaipoke.biz/3m3/14157/index_0001.html,084-958-3135,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1240001054243,坂井建設株式会社,サカイケンセツ,広島県,三原市,広島県三原市西宮２丁目１２番１８号,construction,care|construction,2019-04-18,false,,,,,0848-38-9003,,,国税庁 法人番号公表サイト,2019-04-23
6240001039256,株式会社礒辺塗装,イソベトソウ,広島県,尾道市,広島県尾道市因島原町１５８８番地,construction,care|construction,2015-10-05,false,,,,https://hp.kaipoke.biz/w8f/174823/base_0004.html,0845-23-7355,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2240002048359,中栄土木有限会社,チュウエイドボク,広島県,安芸郡府中町,広島県安芸郡府中町大須４丁目１番５８－８０１号,construction,care|construction,2015-10-05,false,,,,https://tomarigitomako.wixsite.com/tomarigi-deisa-bisu,082-259-3622,,,国税庁 法人番号公表サイト,2018-12-21
1120901027946,株式会社垣原建築構造研究所,カキハラケンチクコウゾウケンキュウショ,広島県,福山市,広島県福山市赤坂町大字赤坂９９２番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-24
1240001000098,葵スチール工業株式会社,,広島県,広島市安佐北区,広島県広島市安佐北区安佐町大字久地１１２７番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-20
1240001000247,アイリン工業株式会社,,広島県,広島市安佐北区,広島県広島市安佐北区落合２丁目４０番２５号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-30
1240001000503,あんどう工業株式会社,アンドウコウギョウ,広島県,広島市安佐南区,広島県広島市安佐南区中須１丁目５５番２２号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-13
1240001000619,株式会社荒川建設,アラカワケンセツ,広島県,広島市東区,広島県広島市東区福田６丁目２１０７番地の１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-26
1240001000734,株式会社イサオ建築設計,,広島県,広島市中区,広島県広島市中区東千田町１丁目１番２９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001000817,インターシール工業株式会社,インターシールコウギョウ,広島県,広島市安佐南区,広島県広島市安佐南区東原３丁目２４番２２号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-13
1240001001063,株式会社上田土木,ウエダドボク,広島県,広島市安佐北区,広島県広島市安佐北区口田南１丁目７番２２－４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-23
1240001001831,株式会社岡崎工務店,オカザキコウムテン,広島県,広島市安佐南区,広島県広島市安佐南区長束西２丁目５番４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-03
1240001001880,沖田ボデー工業株式会社,オキタボデーコウギョウ,広島県,広島市西区,広島県広島市西区三篠北町３番１号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-11
1240001001939,株式会社沖本初建築設計事務所,オキモトハジメケンチクセッケイジムショ,広島県,広島市中区,広島県広島市中区鶴見町２番２１－４０４号,construction,construction,2015-10-05,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1240001002128,薫建設工業株式会社,,広島県,広島市安佐南区,広島県広島市安佐南区川内６丁目１６番６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001002243,株式会社克建築設計事務所,,広島県,広島市西区,広島県広島市西区己斐西町４４番１９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001002359,上茂工業株式会社,ウエシゲコウギョウ,広島県,広島市西区,広島県広島市西区山田町３４番地の１６,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-10
1240001002466,株式会社河本建築事務所,,広島県,広島市中区,広島県広島市中区宝町１０番９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001002631,木本建設株式会社,キモトケンセツ,広島県,広島市安佐南区,広島県広島市安佐南区川内３丁目１番３２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-11
1240001003365,河野自動車工業株式会社,,広島県,広島市西区,広島県広島市西区横川町１丁目１２番１３号,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240001003407,高陽基礎工業株式会社,,広島県,広島市安佐北区,広島県広島市安佐北区口田１丁目１５番１８号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-22
1240001003596,株式会社フクダグローバル建築設計,フクダグローバルケンチクセッケイ,広島県,広島市東区,広島県広島市東区若草町７番９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-12
