# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1240001007779,ナイガイフードサービス株式会社,ナイガイフードサービス,広島県,広島市西区,広島県広島市西区草津港２丁目７番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-08
1240001025228,株式会社ＩＹ食堂管理,アイワイショクドウカンリ,広島県,安芸高田市,広島県安芸高田市八千代町上根１５１番地１,food,restaurant|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-03
1240001038618,株式会社村上フード,ムラカミフード,広島県,尾道市,広島県尾道市向東町１０１１番地の１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-18
1240001046331,株式会社レックスフードサービス,レックスフードサービス,広島県,広島市中区,広島県広島市中区大手町３丁目３番２７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-26
1240001047404,株式会社しあわせフードカンパニー,シアワセフードカンパニー,広島県,広島市西区,広島県広島市西区西観音町１５番９号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-22
1240001057262,株式会社ＴＹフード,ティーワイフード,広島県,東広島市,広島県東広島市西条中央３丁目４番７号,food,,2021-01-13,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-13
1240001060836,萌フードビジネス株式会社,モエフードビジネス,広島県,広島市安佐北区,広島県広島市安佐北区倉掛３丁目４７番１号,food,,2022-12-22,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-22
1240001061058,タイセイフード株式会社,タイセイフード,広島県,広島市中区,広島県広島市中区本川町２丁目１番９号,food,,2023-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-06
1240002011565,有限会社ナイス・フード・カンパニー,,広島県,広島市安佐南区,広島県広島市安佐南区西原１丁目１０番３号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240002014238,有限会社フードセンターこだま,フードセンターコダマ,広島県,広島市佐伯区,広島県広島市佐伯区海老山町３番５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-13
1240002022232,有限会社大酒家フードサービス,,広島県,広島市中区,広島県広島市中区鶴見町６番２２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240002028543,有限会社ファイナル・フード,,広島県,東広島市,広島県東広島市西条下見６丁目２番８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1240002029368,有限会社ｍ，ｓダイニング,,広島県,東広島市,広島県東広島市西条下見６丁目２番４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
