# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7480002013912,有限会社ネット,ネット,徳島県,阿南市,徳島県阿南市羽ノ浦町中庄段上１４番地８,it,care,2015-10-05,false,,,,http://takurousho-kokoro.net,088-635-4939,info@takurousho-kokoro.net,http://takurousho-kokoro.net/#contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4480005002741,特定非営利活動法人Ｏ・Ｎオーエンネット,,徳島県,徳島市,徳島県徳島市西新浜町１丁目２番４－９号,it,care,2015-10-05,false,,,,,０８８－６６１－１６９０,,,国税庁 法人番号公表サイト,2025-02-17
7480001003600,株式会社エクセレントケアシステム,エクセレントケアシステム,徳島県,徳島市,徳島県徳島市かちどき橋１丁目２２番地１,it,care|it,2015-10-05,false,1162,,,http://www.excare.co.jp/,0463-24-1165,,http://www.excare.co.jp/inquiry/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9480002011121,株式会社共生バックアップシステム,キョウセイバックアップシステム,徳島県,板野郡松茂町,徳島県板野郡松茂町広島字北川向弐ノ越９９番地の２,it,care|it,2015-10-05,false,106,,,,0875-82-3351,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4800001010946,株式会社POLITEWORK,,徳島県,北島町,徳島県板野郡北島町中村字岸ノ上1-215,it,care,,false,,,,http://www17.plala.or.jp/politework2020/,088-679-8531,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-05
6480002007972,有限会社徳島ケアシステム,,徳島県,小松島市,徳島県小松島市中田町字新開４８番地,it,care|it,2015-10-05,false,,,,,０８８５－３５－０６３０,,,国税庁 法人番号公表サイト,2015-11-27
1010401125773,社宅ネット株式会社,シャタクネット,徳島県,徳島市,徳島県徳島市中常三島町１丁目３２番地の１,it,,2016-07-15,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-19
1430001029201,株式会社レーザーシステム,レーザーシステム,徳島県,阿南市,徳島県阿南市那賀川町中島４１４番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001000132,株式会社アイシステム,アイシステム,徳島県,徳島市,徳島県徳島市幸町３丁目４１番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-29
1480001000958,株式会社ディーディーインテックス,ディーディーインテックス,徳島県,徳島市,徳島県徳島市北山町下田尻１番地の３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001001353,株式会社徳島エムテック,トクシマエムテック,徳島県,徳島市,徳島県徳島市かちどき橋３丁目４７番地３,it,it,1995-07-24,false,,,代表取締役　余保　秀則,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
