# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5480002001811,有限会社金比羅タクシー,コンピラタクシー,徳島県,徳島市,徳島県徳島市鷹匠町２丁目２３番地,other,care,2015-10-05,false,,,,https://www.konpira-taxi.com,088-602-0901,,https://www.konpira-taxi.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%82%8F%E3%81%9B/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3480003000938,株式会社ｑｕａｔｔｒｏ,クワトロ,徳島県,板野郡松茂町,徳島県板野郡松茂町中喜来字群恵１８３番地１,other,care,2015-10-05,false,74,,,http://quattro.link/,088-678-4411,,https://quattro.link/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5480002008740,有限会社めぐみ,,徳島県,徳島市,徳島県徳島市南庄町１丁目３番地の１,other,care,2015-10-05,false,,,,,088-634-1828,,,国税庁 法人番号公表サイト,2015-11-27
8480003001700,合同会社ファースト,ファースト,徳島県,徳島市,徳島県徳島市庄町５丁目８１番地の１４７,other,care,2021-08-06,false,,,,https://first-18.jimdosite.com,088-661-6575,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3480001008173,株式会社エージングアシスト,エージングアシスト,徳島県,徳島市,徳島県徳島市住吉１丁目４番３３号,other,care,2015-10-05,false,,,,http:www.okagawa-g.com,0886782997,,https://aging-assist.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1480002012465,有限会社大黒屋,ダイコクヤ,徳島県,鳴門市,徳島県鳴門市里浦町里浦字花面２１５番地７,other,care,2015-10-05,false,,,,,088-602-7582,,,国税庁 法人番号公表サイト,2022-03-18
2480001010155,株式会社キョーワ,キョーワ,徳島県,徳島市,徳島県徳島市川内町北原１７０番地,other,care,2017-10-13,false,,,,,088-665-7010,,,国税庁 法人番号公表サイト,2025-12-01
5480003000853,合同会社みつばち,,徳島県,徳島市,徳島県徳島市南島田町２丁目１２０番地１０,other,care,2015-10-05,false,,,,,088-633-9677,,,国税庁 法人番号公表サイト,2015-11-27
7480002008581,有限会社八万苑,ハチマンエン,徳島県,徳島市,徳島県徳島市八万町下長谷２５１番地,other,care,2015-10-05,false,,,,,088-660-2188,,,国税庁 法人番号公表サイト,2022-10-24
6480003001743,ビオラ合同会社,,徳島県,徳島市,徳島県徳島市かちどき橋１丁目３７番地の１アルファステイツかちどき橋８０３号室,other,care,2021-10-27,false,,,,,080-4352-2382,,,国税庁 法人番号公表サイト,2024-09-03
2480001009577,株式会社ひなたコーポレーション,ヒナタコーポレーション,徳島県,徳島市,徳島県徳島市名東町３丁目３３２番地の７０,other,care,2016-03-11,false,,,,,０９０－４９７９－３８３２,,,国税庁 法人番号公表サイト,2025-07-09
5480003001975,合同会社Ｓ＆Ｔ,エスアンドティー,徳島県,徳島市,徳島県徳島市大原町内開８４番地の７,other,care,2023-05-08,false,,,,,088-624-7620,,,国税庁 法人番号公表サイト,2023-05-08
1480002008562,きらら・ハッピーズ有限会社,,徳島県,徳島市,徳島県徳島市北山町岩崎１１番地３,other,care,2015-10-05,false,,,,,088-669-3328,,,国税庁 法人番号公表サイト,2015-11-27
9480001004010,イツモスマイル株式会社,イツモスマイル,徳島県,徳島市,徳島県徳島市佐古二番町５番１１号,other,care,2003-07-31,false,300,,代表取締役　大田　仁大,http://itsumosmile.jp/,088-611-3131,info@itsumosmile.jp,http://itsumosmile.jp/#section12,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1480001010965,リヴ・フリーリー株式会社,リヴフリーリー,徳島県,徳島市,徳島県徳島市山城西３丁目１９,other,care,2020-03-27,false,,,,,088-602-7144,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7480002000308,安全タクシー株式会社,アンゼンタクシー,徳島県,徳島市,徳島県徳島市鮎喰町２丁目７７番地,other,care,2015-10-05,false,,,,anzen4988@violin.ocn.ne.jp,088-631-4988,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5480005005974,一般社団法人徳島市医師会,トクシマシイシカイ,徳島県,徳島市,徳島県徳島市幸町３丁目７７番地,other,care,2015-10-05,false,,,,http://www.tokushimashi-med.or.jp/,088-622-0193,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9480001008993,株式会社ＣＡＮＡＥＲＵ,カナエル,徳島県,徳島市,徳島県徳島市川内町鈴江北１９番地リッチド川内５０５号,other,care,2015-10-05,false,,,,,088-678-8770,,,国税庁 法人番号公表サイト,2022-11-15
4480001008313,株式会社Ｋ－ライズ,ケーライズ,徳島県,徳島市,徳島県徳島市川内町旭野２２６番地３－２Ｆ,other,care,2015-10-05,false,,,,,088-679-9575,,,国税庁 法人番号公表サイト,2026-06-05
7480001009011,株式会社ＭＴＫ,エムティーケー,徳島県,徳島市,徳島県徳島市名東町１丁目５０番地,other,care,2015-10-05,false,,,,https;//minnanoouti-mtk.com,０８８－６３５－０１０２,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1480001009529,株式会社えがお,エガオ,徳島県,徳島市,徳島県徳島市国府町中４０８番地の４,other,care,2016-02-03,false,,,,,088-642-4569,,,国税庁 法人番号公表サイト,2024-10-17
5480001009558,株式会社こころ,,徳島県,徳島市,徳島県徳島市南島田町２丁目４３番地の５,other,care,2016-02-24,false,,,,,088-679-1591,,,国税庁 法人番号公表サイト,2016-03-01
5480001007990,株式会社それいゆ,ソレイユ,徳島県,小松島市,徳島県小松島市田野町字月ノ輪２８番地の１,other,care,2015-10-05,false,,,,,０８８－６７７－９６６１,,,国税庁 法人番号公表サイト,2021-10-08
4480001009600,株式会社ライズ,,徳島県,徳島市,徳島県徳島市新浜町４丁目３番１６号,other,care,2016-04-06,false,,,,,088-624-9930,,,国税庁 法人番号公表サイト,2016-04-12
9480001004373,株式会社花乃苑,ハナノエン,徳島県,徳島市,徳島県徳島市北沖洲２丁目９番５５号,other,care,2015-10-05,false,,,,https://hananoen-group.com/,088-444-1331,,https://hananoen-group.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6480001006546,株式会社橋本,ハシモト,徳島県,徳島市,徳島県徳島市南田宮３丁目１番１７号,other,care,2015-10-05,false,,,,,088-679-6331,,,国税庁 法人番号公表サイト,2019-08-30
5480001008584,株式会社武市,タケイチ,徳島県,徳島市,徳島県徳島市国府町府中７１３番地の１７,other,care,2015-10-05,false,,,,,088-643-2075,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2480003000229,合資会社みつば,ミツバ,徳島県,徳島市,徳島県徳島市八万町上福万２２０番地１３,other,care,2015-10-05,false,,,,,０８８－６７６－２０１０,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3480003000236,合資会社フクシス,,徳島県,徳島市,徳島県徳島市新蔵町３丁目８番地,other,care,2015-10-05,false,,,,,088-691-5666,,,国税庁 法人番号公表サイト,2015-11-27
5480003001620,合同会社ＫＩＰ倶楽部,ケイアイピークラブ,徳島県,徳島市,徳島県徳島市蔵本町２丁目１１番地ダイバーシティビル６階,other,care,2021-02-04,false,,,,,070-1910-8212,,,国税庁 法人番号公表サイト,2021-02-04
2480003001350,合同会社ｅｃｌａｔ,エクラ,徳島県,徳島市,徳島県徳島市新浜本町２丁目３番３８号,other,care,2019-04-18,false,,,,,088-661-2589,,,国税庁 法人番号公表サイト,2019-04-23
9480003000668,合同会社とまと,トマト,徳島県,徳島市,徳島県徳島市西須賀町東開２７番地の３,other,care,2015-10-05,false,,,,tomato1156@globe.ocn.ne.jp,088-623-1156,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5480003000250,合同会社トライアクション,トライアクション,徳島県,徳島市,徳島県徳島市大原町千代ケ丸５番地,other,care,2015-10-05,false,,,,,088-611-3977,,,国税庁 法人番号公表サイト,2019-09-20
7480003000447,合同会社プチトマト,プチトマト,徳島県,徳島市,徳島県徳島市安宅２丁目７番２２号,other,care,2015-10-05,false,,,,,０８８－６２６－３９９５,,,国税庁 法人番号公表サイト,2025-11-05
8480003002038,合同会社プリム,プリム,徳島県,徳島市,徳島県徳島市秋田町６丁目１５の２,other,care,2023-10-18,false,,,,,088-603-8140,,,国税庁 法人番号公表サイト,2023-10-18
8480003000306,合同会社安授,,徳島県,徳島市,徳島県徳島市川内町平石夷野４１５番地１０,other,care,2015-10-05,false,,,,,０８８－６６５－２５５６,,,国税庁 法人番号公表サイト,2015-11-27
6480003000852,合同会社一華,イチゲ,徳島県,徳島市,徳島県徳島市東吉野町２丁目２９－４,other,care,2015-10-05,false,,,,,088-678-4225,,,国税庁 法人番号公表サイト,2026-01-13
3480003002133,合同会社果穂,カホ,徳島県,徳島市,徳島県徳島市八万町馬場山３３番地,other,care,2024-05-23,false,,,,https://kaho-home-care.jp/,0886607481,,https://kaho-home-care.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6480003001990,合同会社喜楽,キラク,徳島県,徳島市,徳島県徳島市末広５丁目１番５７－５号,other,care,2023-06-12,false,,,,,088-653-8228,,,国税庁 法人番号公表サイト,2023-06-12
9480003001823,合同会社彩り,イロドリ,徳島県,徳島市,徳島県徳島市多家良町上宝８２番地の７,other,care,2022-04-20,false,,,,,088-679-6028,,,国税庁 法人番号公表サイト,2022-04-20
3480003001341,合同会社唯和,ユイワ,徳島県,徳島市,徳島県徳島市佐古八番町５番１５－２０３号杉田マンション,other,care,2019-04-01,false,,,,,088-661-4000,,,国税庁 法人番号公表サイト,2026-02-16
6480002001703,国府タクシー有限会社,コクフタクシー,徳島県,徳島市,徳島県徳島市国府町敷地字亀ヶ岡１２１番地２,other,care,2015-10-05,false,,,,,０８８－６４２－１１６３,,,国税庁 法人番号公表サイト,2018-11-30
5480003001703,蒼翠合同会社,アオミ,徳島県,徳島市,徳島県徳島市名東町１丁目３９５番地の８,other,care,2021-08-05,false,,,,http://hp.kaipoke.biz/1kh/,088-661-7322,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4480002000797,大木タクシー有限会社,オオギタクシー,徳島県,徳島市,徳島県徳島市上八万町樋口２４６番地１,other,care,2015-10-05,false,,,,http://www.oogi-taxi.com,0120-34-0033,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3480005001439,天理教阿波名勢分教会,,徳島県,徳島市,徳島県徳島市中島田町４丁目５番地９,other,care,2015-10-05,false,,,,,（０８８）６３１－７７１６,,,国税庁 法人番号公表サイト,2015-11-27
