# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2480002010179,有限会社真商事,,徳島県,吉野川市,徳島県吉野川市鴨島町飯尾１６１４番地２０,retail,care|wholesale,2015-10-05,false,,,,http://care-net.biz/36/makoto/,0883-26-1088,,https://care-net.biz/36/makoto/form.php?ref=https://care-net.biz/36/makoto/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4480002009558,篠原商事有限会社,シノハラショウジ,徳島県,阿波市,徳島県阿波市吉野町柿原字原１２１番地１,retail,care|wholesale,2015-10-05,false,,,,https://shinohara-shoji.com/,0886378855,,https://shinohara-shoji.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3480002011457,有限会社オルト商事,オルトショウジ,徳島県,板野郡藍住町,徳島県板野郡藍住町東中富字権現傍示５１番地１,retail,care|wholesale,2015-10-05,false,,,,,088-692-5151,,,国税庁 法人番号公表サイト,2019-09-26
8480001002007,ふじ商事株式会社,フジショウジ,徳島県,徳島市,徳島県徳島市城南町２丁目３番３５号,retail,care|wholesale,2015-10-05,false,,,,http://www2.tcn.ne.jp/~careleave/,088-654-6767,,,国税庁 法人番号公表サイト,2019-10-21
4480001005046,株式会社中岸商店,チュウガンショウテン,徳島県,鳴門市,徳島県鳴門市大麻町牛屋島字水門脇９７番地,retail,care|retail,1959-01-13,false,,,代表取締役　中岸　修平,http://www.chugan.com/,088-661-7702,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3480002008957,エム・エフ商事有限会社,エムエフショウジ,徳島県,吉野川市,徳島県吉野川市鴨島町上下島片センダン４９５番地１３,retail,care|wholesale,2015-10-05,false,,,,,0799-45-0303,,,国税庁 法人番号公表サイト,2018-05-02
2480001007812,株式会社双葉商事,,徳島県,阿波市,徳島県阿波市土成町土成字南原１４９番地１,retail,care|wholesale,2015-10-05,false,,,,,088-637-8831,,,国税庁 法人番号公表サイト,2022-05-11
5480001000707,斎藤商事株式会社,サイトウショウジ,徳島県,徳島市,徳島県徳島市新蔵町２丁目１３番地,retail,care|wholesale,2015-10-05,false,,,,http://day-ohisama.com/,088-657-7311,,,国税庁 法人番号公表サイト,2018-11-27
1480001000487,株式会社貴志商店,キシショウテン,徳島県,徳島市,徳島県徳島市大道３丁目４２番地２,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-14
1480001000512,株式会社木内商店,キノウチショウテン,徳島県,徳島市,徳島県徳島市佐古一番町１番１７号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001000561,工藤商事株式会社,,徳島県,徳島市,徳島県徳島市福島１丁目５番１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001000644,興和サッシ販売株式会社,,徳島県,徳島市,徳島県徳島市大松町榎原外４２の地先,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-25
1480001000669,株式会社近藤泰商店,コンドウヤスショウテン,徳島県,徳島市,徳島県徳島市住吉１丁目１１番２２号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-01
1480001000842,四国通信機販売株式会社,シコクツウシンキハンバイ,徳島県,徳島市,徳島県徳島市北沖洲２丁目９番２７号,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-11
1480001001023,辰巳商事株式会社,,徳島県,徳島市,徳島県徳島市津田本町４丁目２番８９号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-12
1480001001262,セントー商事株式会社,,徳島県,徳島市,徳島県徳島市佐古一番町５番１６号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
1480001001452,徳島新聞販売株式会社,トクシマシンブンハンバイ,徳島県,徳島市,徳島県徳島市応神町吉成字中ノ瀬３９番地１３,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-06
1480001001618,株式会社中田商店,ナカタショウテン,徳島県,徳島市,徳島県徳島市西新町４丁目１３番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-17
1480001001642,西島商事株式会社,ニシジマショウジ,徳島県,徳島市,徳島県徳島市西船場町３丁目２７番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-16
1480001001650,株式会社西内商店,ニシウチショウテン,徳島県,徳島市,徳島県徳島市福島１丁目７番２４号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-21
1480001001840,株式会社のり万商事,ノリマンショウジ,徳島県,徳島市,徳島県徳島市北沖洲３丁目８番１１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001001964,株式会社広沢商店,ヒロサワショウテン,徳島県,徳島市,徳島県徳島市南田宮２丁目４番３号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-05
1480001002153,株式会社米原商店,,徳島県,徳島市,徳島県徳島市佐古一番町４番１０号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-20
1480001002269,株式会社松田三郎商店,,徳島県,徳島市,徳島県徳島市津田海岸町６番１５号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
1480001002351,株式会社八木商事,ヤギショウジ,徳島県,徳島市,徳島県徳島市中洲町１丁目２２番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-04
1480001002574,株式会社田野商店,タノショウテン,徳島県,名西郡石井町,徳島県名西郡石井町藍畑字高畑１２３７番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-10
1480001003597,株式会社林商事,ハヤシショウジ,徳島県,徳島市,徳島県徳島市三軒屋町外２３番地７７,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-28
1480001003985,賀川商事株式会社,カガワショウジ,徳島県,徳島市,徳島県徳島市応神町東貞方字貞光２１４番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-25
1480001004463,鴨島販売株式会社,,徳島県,吉野川市,徳島県吉野川市鴨島町牛島１２５番地,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001004595,株式会社安原家具販売,,徳島県,阿波市,徳島県阿波市吉野町柿原字シノ原７８番地,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
1480001004744,株式会社早川商事,ハヤカワショウジ,徳島県,阿波市,徳島県阿波市土成町吉田字川久保９０番地１６,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-18
1480001004918,株式会社井久保商店,イクボショウテン,徳島県,鳴門市,徳島県鳴門市里浦町里浦字花面８番地１,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-26
1480001005214,株式会社吉田敏治商店,ヨシダトシハルショウテン,徳島県,鳴門市,徳島県鳴門市里浦町里浦字坂田１８６番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001005263,木内商事株式会社,キノウチショウジ,徳島県,板野郡北島町,徳島県板野郡北島町鯛浜字原８２番地３,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001005313,徳島ヤクルト販売株式会社,トクシマヤクルトハンバイ,徳島県,板野郡北島町,徳島県板野郡北島町中村字本須５８番地,retail,,1967-01-20,false,77,,代表取締役　嶋田　貴文,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001005461,株式会社堀江商店,,徳島県,板野郡藍住町,徳島県板野郡藍住町奥野字乾１２５番地５,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001006410,株式会社高木商店,タカギショウテン,徳島県,徳島市,徳島県徳島市北前川町３丁目２４番地５,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-25
1480001006451,株式会社真成物産,マサナリブッサン,徳島県,徳島市,徳島県徳島市三軒屋町下分２６番地の７,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-19
1480001006501,株式会社アシストアクション,,徳島県,阿波市,徳島県阿波市吉野町柿原字シノ原１４番２,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001006550,株式会社スズキ販売新徳島,スズキハンバイシントクシマ,徳島県,徳島市,徳島県徳島市論田町小論田４２番地,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-06
1480001006609,株式会社植田商店,,徳島県,阿南市,徳島県阿南市羽ノ浦町古庄大坪原５６番地の１,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001006617,株式会社岡久商店,オカヒサショウテン,徳島県,阿南市,徳島県阿南市見能林町大作半３８番地の１,retail,retail,1960-12-01,false,,,代表取締役　岡久　真也,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001007318,四国エフケイ販売株式会社,,徳島県,美馬郡つるぎ町,徳島県美馬郡つるぎ町貞光字太田西３０２番地２,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001007482,祖谷物産株式会社,イヤブッサン,徳島県,三好市,徳島県三好市西祖谷山村後山１２０番地１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-27
1480001009306,株式会社アイオイ商事,アイオイショウジ,徳島県,徳島市,徳島県徳島市通町２丁目２５番地８０１号室,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-15
1480001009438,株式会社贏瀛国際商事,エイエイコクサイショウジ,徳島県,板野郡上板町,徳島県板野郡上板町神宅字堂床７２,retail,wholesale,2015-10-28,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-18
1480001009446,株式会社東内つとむ商店,,徳島県,徳島市,徳島県徳島市南矢三町３丁目２番地５,retail,retail,2015-11-06,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-12
1480001010346,株式会社西川商店アネックス,ニシカワショウテンアネックス,徳島県,徳島市,徳島県徳島市昭和町２丁目３５番地,retail,retail,2018-05-01,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-08
1480001010998,鳴幸商事株式会社,メイコウショウジ,徳島県,鳴門市,徳島県鳴門市撫養町木津１４８３番地１,retail,wholesale,2020-04-20,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-20
1480001011336,奥野商事株式会社,オクノショウジ,徳島県,吉野川市,徳島県吉野川市川島町児島字東須賀５２番地１,retail,wholesale,2021-04-21,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-07
