# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6480002009886,有限会社小笠原メディカルサービス,オガサワラメディカルサービス,徳島県,徳島市,徳島県徳島市籠屋町１丁目２５,service,care,2015-10-05,false,,,,http://granju.threefold.or.jp/,052-238-1850,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1480005001531,特定非営利活動法人どりーまぁサービス,ドリーマァサービス,徳島県,徳島市,徳島県徳島市末広２丁目１番８０号,service,care,2015-10-05,false,,,,http://dreamer-service.org,088-626-3237,npo@dreamer-service.org,http://dreamer-service.org/inquiry.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1480001006237,株式会社青い鳥さぽーと企画,アオイトリサポートキカク,徳島県,小松島市,徳島県小松島市田浦町字近里８３番地１ケントパレス徳島南７０３号,service,care|advertising,2015-10-05,false,,,,https://care-net.biz/36/aoitori-support/,0885-38-6015,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6480002010092,有限会社アイサービス,アイサービス,徳島県,阿波市,徳島県阿波市阿波町山ノ神６１番地１,service,care,2015-10-05,false,,,,harada888@mb.pikara.ne.jp,0883-35-7567,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7480001005902,株式会社ライフサービス,ライフサービス,徳島県,板野郡松茂町,徳島県板野郡松茂町満穂字満穂開拓７９番地１,service,care,2015-10-05,false,,,,,088－624－8211,,,国税庁 法人番号公表サイト,2023-01-13
2480003000360,合資会社夢サービス,,徳島県,板野郡上板町,徳島県板野郡上板町高瀬１１２３番地の９,service,care,2015-10-05,false,,,,,０８８－６９４－６４７６,,,国税庁 法人番号公表サイト,2015-11-27
8480001006206,株式会社ゆうメディカルサービス,ユウメディカルサービス,徳島県,徳島市,徳島県徳島市蔵本町１丁目２５番地１１ｔｈビル３Ｆ,service,care,2015-10-05,false,,,,,088-624-7210,,,国税庁 法人番号公表サイト,2021-05-10
8480002011849,有限会社ミマメディカルサービス,ミマメディカルサービス,徳島県,板野郡板野町,徳島県板野郡板野町羅漢字野神６０番地の１,service,care,2015-10-05,false,,,,,088-694-8210,,,国税庁 法人番号公表サイト,2025-10-07
7480002004102,有限会社東四国メディカル・サービス,,徳島県,徳島市,徳島県徳島市徳島町２丁目５５番地２,service,care,2015-10-05,false,,,,,088-657-7251,,,国税庁 法人番号公表サイト,2015-11-27
6480002015224,有限会社水野企画,ミズノキカク,徳島県,美馬市,徳島県美馬市脇町大字猪尻字建神社下南１２０番地５,service,care|advertising,2015-10-05,false,,,,http://tos-serv001.oops.jp/3601000091_mizun/,0883-53-5863,,,国税庁 法人番号公表サイト,2018-06-15
3480002016051,有限会社北條ホスピタルサービス,ホウジョウホスピタルサービス,徳島県,三好市,徳島県三好市池田町マチ２５２６番地の７,service,care,2015-10-05,false,,,,,0883-72-6177,,,国税庁 法人番号公表サイト,2025-04-22
6480003000431,おおち企画合同会社,,徳島県,板野郡松茂町,徳島県板野郡松茂町広島字二番越１３番地４,service,care|advertising,2015-10-05,false,,,,,０８８－６６５－６２６７,,,国税庁 法人番号公表サイト,2015-11-27
1480001000339,オーエム企画株式会社,オーエムキカク,徳島県,徳島市,徳島県徳島市中洲町３丁目５番地１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
1480001000586,株式会社ケイ企画,,徳島県,徳島市,徳島県徳島市八万町中津浦２２番地の２,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1480001000743,三興マネージメントサービス株式会社,サンコウマネージメントサービス,徳島県,徳島市,徳島県徳島市三軒屋町外２４番地８６,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-14
1480001001411,徳島県教育印刷株式会社,トクシマケンキョウイクインサツ,徳島県,徳島市,徳島県徳島市東沖洲２丁目１番地１３,service,education|advertising,1971-01-12,false,,,代表取締役　河野　成人,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1480001001576,株式会社南海ゴルフサービス,,徳島県,徳島市,徳島県徳島市南出来島町１丁目３１番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-31
1480001001659,西日本旅行株式会社,ニシニホンリョコウ,徳島県,徳島市,徳島県徳島市東船場町２丁目４１番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-07
1480001002467,港テクノサービス株式会社,ミナトテクノサービス,徳島県,徳島市,徳島県徳島市川内町平石住吉２０９番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1480001003226,株式会社ＦＳサービス,エフエスサービス,徳島県,徳島市,徳島県徳島市川内町沖島６００番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
