# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3500001021611,株式会社ＢＤＡパートナーズ,ビーディーエーパートナーズ,愛媛県,松山市,愛媛県松山市喜与町１丁目１０番地１,consulting,care|pro-services,2018-10-05,false,,,,https://bda-partners.jp,089-989-7825,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1500001000237,株式会社アースコンサルタント,アースコンサルタント,愛媛県,松山市,愛媛県松山市平井町甲２２９３番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1500001001136,越智会計コンサルティング株式会社,オチカイケイコンサルティング,愛媛県,松山市,愛媛県松山市三番町４丁目８番地５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-05
1500001005087,ヒカリコンサルタント株式会社,,愛媛県,松山市,愛媛県松山市岩崎町２丁目６番３６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-13
1500001005491,株式会社暁企画設計コンサルタント,,愛媛県,松山市,愛媛県松山市梅津寺町乙５６番地１８５,consulting,pro-services|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500001005517,プレミアライフコンサルタント株式会社,プレミアライフコンサルタント,愛媛県,松山市,愛媛県松山市居相４丁目１６番２２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-02
1500001005871,ＭＩＴコンサルタント株式会社,エムアイティコンサルタント,愛媛県,松山市,愛媛県松山市喜与町１丁目１２番地１５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-12
1500001007050,株式会社西技計測コンサルタント,ニシギケイソクコンサルタント,愛媛県,伊予郡砥部町,愛媛県伊予郡砥部町原町７８３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-28
1500001008916,株式会社徳増会計ビジネス・サポート,トクマスカイケイビジネスサポート,愛媛県,西条市,愛媛県西条市神拝甲５１１番地６０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-11
1500001010459,ＢＭＡパートナーズ株式会社,,愛媛県,新居浜市,愛媛県新居浜市大生院３６０番７,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500001015747,株式会社八紘設計コンサルタント,ハッコウセッケイコンサルタント,愛媛県,南宇和郡愛南町,愛媛県南宇和郡愛南町御荘平城３８０４番地２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-11
1500001016299,株式会社瀬戸内会計電算センター,セトウチカイケイデンサンセンター,愛媛県,松山市,愛媛県松山市小坂４丁目１４番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-27
1500001018205,株式会社田坂会計ソリューション,,愛媛県,西条市,愛媛県西条市朔日市６７番地７,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-08
1500001018312,ＣＳ建技コンサルタント株式会社,シーエスケンギコンサルタント,愛媛県,松山市,愛媛県松山市枝松４丁目５番３６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-10
1500001021480,あまの会計株式会社,アマノカイケイ,愛媛県,松山市,愛媛県松山市二番町４丁目２番地１４永井ビル３０３号,consulting,pro-services,2018-07-19,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-06
1500001021860,株式会社ＭＩコンサルティング,エムアイコンサルティング,愛媛県,松山市,愛媛県松山市拓川町３－２２プレステージＡＣ２０５,consulting,pro-services,2019-02-21,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-26
1500001022272,株式会社かとう会計,カトウカイケイ,愛媛県,西条市,愛媛県西条市朔日市５１８番地２,consulting,pro-services,2019-10-03,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-20
1500001023816,株式会社ＩＳＪコンサルティング,アイエスジェイコンサルティング,愛媛県,松山市,愛媛県松山市紅葉町７番９号,consulting,pro-services,2021-11-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-03
1500001024418,きらめきコンサル株式会社,キラメキコンサル,愛媛県,松山市,愛媛県松山市道後樋又１番２２号ラルステージ道後樋又１２０３号,consulting,pro-services,2022-08-25,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-25
1500001024839,株式会社スカイパートナーズ,スカイパートナーズ,愛媛県,松山市,愛媛県松山市西垣生町１３９０番地１３,consulting,pro-services,2023-04-04,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-04
