# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1470003001336,合同会社Ｅ‐キャピタル,イーキャピタル,愛媛県,松山市,愛媛県松山市山越２丁目９－２１,finance,,2018-01-25,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-06
1500001000443,いよぎんキャピタル株式会社,イヨギンキャピタル,愛媛県,松山市,愛媛県松山市問屋町９番４１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1500001001706,サンアイ保険設計株式会社,,愛媛県,松山市,愛媛県松山市平井町３１７６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500001002943,株式会社トヨタレンタリース西四国,トヨタレンタリースニシシコク,愛媛県,松山市,愛媛県松山市南吉田町２７５０番地１２,finance,,1970-04-01,false,141,,代表取締役　横田　知明,http://www.r-ehm.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1500001013370,株式会社よつば保険コンサルタント,ヨツバホケンコンサルタント,愛媛県,今治市,愛媛県今治市鐘場町２丁目２番２７号,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-27
1500001019475,株式会社さくら保険事務所,サクラホケンジムショ,愛媛県,四国中央市,愛媛県四国中央市三島中央３丁目１５番３号,finance,,2015-12-02,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-07
1500001021885,リンクス総合リース株式会社,リンクスソウゴウリース,愛媛県,松山市,愛媛県松山市上高野町甲５８番地９,finance,,2019-03-11,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-14
1500001026760,株式会社愛媛ライフ保険,エヒメライフホケン,愛媛県,松山市,愛媛県松山市空港通１丁目６番２８号２Ｆ,finance,,2026-02-02,true,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1500002001317,有限会社藤堂保険事務所,トウドウホケンジムショ,愛媛県,松山市,愛媛県松山市今在家２丁目２番３９号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-14
1500002002959,有限会社坂本リース,サカモトリース,愛媛県,松山市,愛媛県松山市昭和町５２番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-12
1500002003313,有限会社えひめ保険エイド,,愛媛県,松山市,愛媛県松山市姫原３丁目１番３３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002004402,有限会社中央総合保険事務所,チュウオウソウゴウホケンジムショ,愛媛県,松山市,愛媛県松山市小栗５丁目４番３７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-18
1500002007438,有限会社リース川﨑,,愛媛県,松山市,愛媛県松山市南吉田町１５０２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002007966,有限会社オオノ大東保険事務所,,愛媛県,松山市,愛媛県松山市北梅本町甲１８４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002008618,有限会社ひまわり保険事務所,,愛媛県,伊予郡松前町,愛媛県伊予郡松前町大字筒井１２２４番地８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002009491,有限会社三好総合保険,,愛媛県,伊予郡松前町,愛媛県伊予郡松前町大字東古泉３６２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002010937,関西リース有限会社,,愛媛県,東温市,愛媛県東温市南方２２２２番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-29
1500002011943,有限会社リース産業池田,,愛媛県,大洲市,愛媛県大洲市平野町野田３４７０番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-07-13
1500002016075,有限会社キングリース産業,,愛媛県,新居浜市,愛媛県新居浜市泉宮町８番２０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002016348,有限会社ササキ保険事務所,ササキホケンジムショ,愛媛県,新居浜市,愛媛県新居浜市高木町７番２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-04
1500002017247,有限会社ヤブキ保険サービス,ヤブキホケンサービス,愛媛県,新居浜市,愛媛県新居浜市田所町４番３７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1500002021703,有限会社高津保険事務所,コウヅホケンジムショ,愛媛県,四国中央市,愛媛県四国中央市金生町下分１９８番地８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-09
1500002021736,有限会社大門リース,,愛媛県,四国中央市,愛媛県四国中央市川之江町１９６１番地５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-29
1500002021991,有限会社アタチリース,,愛媛県,四国中央市,愛媛県四国中央市土居町津根２３３５－２グリーンハイム２号棟４階４０１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500002023591,有限会社さくらリース,サクラリース,愛媛県,八幡浜市,愛媛県八幡浜市古町２丁目３番４２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-02
1500002024219,有限会社中西保険サービス,ナカニシホケンサービス,愛媛県,宇和島市,愛媛県宇和島市三間町宮野下４８０番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-09
1500003000334,松山簡易保険合資会社,,愛媛県,伊予郡松前町,愛媛県伊予郡松前町大字西高柳１０番戸,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500003001415,愛媛結婚出産保険合資会社,,愛媛県,今治市,愛媛県今治市上浦町井口４０２番戸,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1500003003171,合同会社まごころ総合保険代理店,マゴコロソウゴウホケンダイリテン,愛媛県,松山市,愛媛県松山市正円寺３丁目７番２８号,finance,,2024-01-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-16
1500005007872,社会保険労務士法人ひなそよ,ヒナソヨ,愛媛県,松山市,愛媛県松山市小坂５丁目３番５号シャトー・ド・フェニックス２０２号,finance,pro-services,2017-04-17,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-16
1500005008284,社会保険労務士法人創夢パートナーズ,ソウムパートナーズ,愛媛県,四国中央市,愛媛県四国中央市中之庄町７４７番地３４,finance,pro-services,2020-11-06,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-06
1500005008301,社会保険労務士法人野中労務,ノナカロウム,愛媛県,松山市,愛媛県松山市岩崎町２丁目４番８号,finance,pro-services,2021-01-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-02
1500005008466,社会保険労務士法人イスキア,イスキア,愛媛県,松山市,愛媛県松山市雄郡２丁目１０番８号,finance,pro-services,2022-03-03,false,10,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1500005008722,社会保険労務士法人木原事務所,キハラジムショ,愛媛県,今治市,愛媛県今治市桜井５丁目１１番３９号,finance,pro-services,2024-08-01,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-01
1700150056951,三浦グループ健康保険組合,ミウラグループケンコウホケンクミアイ,愛媛県,松山市,愛媛県松山市堀江町７番地,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150057207,来島どっく健康保険組合,クルシマドツクケンコウホケンクミアイ,愛媛県,今治市,愛媛県今治市大西町新町甲９４５,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2500001001820,株式会社さの総合保険サービス,,愛媛県,松山市,愛媛県松山市石手白石甲９１番地４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
2500001002455,第一信用株式会社,ダイイチシンヨウ,愛媛県,松山市,愛媛県松山市道後一万３番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-29
2500001004550,株式会社ジーマ保険事務所,,愛媛県,松山市,愛媛県松山市福音寺町７２８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2500001005615,フリーステイジャパン株式会社,フリーステイジャパン,愛媛県,松山市,愛媛県松山市朝生田町１丁目１５番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-03
2500001014590,株式会社川之江産業リース,カワノエサンギョウリース,愛媛県,四国中央市,愛媛県四国中央市妻鳥町３８１番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-15
2500001015184,ミクニ保険サービス株式会社,ミクニホケンサービス,愛媛県,四国中央市,愛媛県四国中央市三島宮川１丁目６番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2500001015341,愛媛保険サービス株式会社,エヒメホケンサービス,愛媛県,宇和島市,愛媛県宇和島市鶴島町５番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-31
2500001024482,株式会社大西総合保険事務所,オオニシソウゴウホケンジムショ,愛媛県,松山市,愛媛県松山市宮西１丁目１番１号,finance,,2022-09-29,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-29
2500002003411,有限会社信用,,愛媛県,松山市,愛媛県松山市溝辺町甲２５２番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2500002007346,有限会社ワールド保険サービス,ワールドホケンサービス,愛媛県,松山市,愛媛県松山市枝松４丁目３番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-12
2500002007511,有限会社レデイリース,,愛媛県,松山市,愛媛県松山市千舟町４丁目３番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2500002009714,有限会社立花保険サービス,タチバナホケンサービス,愛媛県,松山市,愛媛県松山市中村３丁目５番１１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-10
2500002010531,有限会社ダイヤモンドファイナンス,,愛媛県,松山市,愛媛県松山市湊町７丁目６番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2500002011777,有限会社冨永損害保険事務所,トミナガソンガイホケンジムショ,愛媛県,大洲市,愛媛県大洲市八多喜町甲１１３２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-21
2500002019779,有限会社フレンズ保険事務所,フレンズホケンジムショ,愛媛県,今治市,愛媛県今治市横田町１丁目１番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-10
