# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5500001023283,株式会社パリストン,パリストン,愛媛県,松山市,愛媛県松山市安城寺町１６３６－８,other,care,2021-03-23,false,,,,https://homecaremerci.jp,089-993-7829,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8500001005015,株式会社悠遊社,ユウユウシャ,愛媛県,松山市,愛媛県松山市余戸南２丁目２４番３８号,other,care,2015-10-05,false,950,,,http://www.yuyusya.co.jp/,089-965-1990,,https://yuyusya.co.jp/inquiry/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6500001005322,株式会社アコンプリシー,アコンプリシー,愛媛県,松山市,愛媛県松山市朝生田町６丁目２番５号,other,care,2015-10-05,false,307,,,http://shouhokai.jp/,089-975-1335,,https://shouhokai.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2500001016661,株式会社サスケ,サスケ,愛媛県,四国中央市,愛媛県四国中央市土居町津根３８００番地１,other,care,2015-10-05,false,,,,https://sasuke-gakuto.com/,0896-74-0773,,https://sasuke-gakuto.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7500002009123,有限会社勝美オオニシ,カツミオオニシ,愛媛県,松山市,愛媛県松山市久万ノ台４６９番地３,other,care,2015-10-05,false,,,,https://amebio.jp/kaigo-momofamily/,089-977-7377,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2500001006844,株式会社夢の木,ユメノキ,愛媛県,松山市,愛媛県松山市桑原２丁目２－２９,other,care,2015-10-05,false,,,,http://www.yumenoki2300.co.jp/,089-931-2300,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7500001018133,株式会社ｔｅ－ｔｏ－ｔｅ,テトテ,愛媛県,松山市,愛媛県松山市立花１丁目１２番２７号,other,care,2015-10-05,false,,,,https://te-to-te-kaigo.jp/,089-968-1241,,https://te-to-te-kaigo.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9500001006920,株式会社アリュミューズ,アリュミューズ,愛媛県,松山市,愛媛県松山市萱町２丁目４番地７,other,care,2015-10-05,false,,,,http://www.allumeuse.jp,089-932-2255,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5500002009471,有限会社Ｅｌｙｓｉｏｎ,,愛媛県,松山市,愛媛県松山市大橋町３３５番地,other,care,2015-10-05,false,26,,,http://www.ely-omoya.jp/,089-963-8620,,http://www.ely-omoya.jp/pages/3/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2500001017536,株式会社大明,ダイメイ,愛媛県,松山市,愛媛県松山市本町３丁目４番地１シティハイツ本町５０３,other,care,2015-10-05,false,,,,,0899102798,,,国税庁 法人番号公表サイト,2019-07-22
6500001001858,株式会社三和医科器械,サンワイカキカイ,愛媛県,松山市,愛媛県松山市和泉南６丁目２番５号,other,care,1968-03-01,false,29,,代表取締役　磯崎　祐一,http://www.sanwa-mi.com,089-913-0015,,https://sanwa-mi.com/contact_medical/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2500003002932,合同会社まほろば,マホロバ,愛媛県,今治市,愛媛県今治市郷新屋敷町１丁目１番４０号,other,care,2022-12-19,false,,,,https://www.mahoroba.llc/,050-5526-1162,,https://www.mahoroba.llc/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2500001022131,株式会社北陽,ホクヨウ,愛媛県,松山市,愛媛県松山市河野中須賀１３２番地１,other,care,2019-07-25,false,,,,,089-992-2300,,,国税庁 法人番号公表サイト,2019-07-30
8470003001791,合同会社ｄｅｃｉｃｏ,デシコ,愛媛県,松山市,愛媛県松山市桑原５丁目３番３号,other,care,2020-07-01,false,,,,https://suzuran.decico.net/,089-916-6790,,https://suzuran.decico.net/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1500002002934,有限会社山起会ライフサプライ,ヤマキカイライフサプライ,愛媛県,松山市,愛媛県松山市東石井３丁目３番５号,other,care,2015-10-05,false,,,,yamakikai.com,089-931-0551,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2500005001239,生活協同組合コープえひめ,コープエヒメ,愛媛県,松山市,愛媛県松山市朝生田町３丁目１番１２号,other,care,2015-10-05,false,1726,,,http://www.coopehime.or.jp/,089-931-5201,,https://www.coopehime.or.jp/contents/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6500005006977,一般社団法人松山市医師会,マツヤマシイシカイ,愛媛県,松山市,愛媛県松山市藤原２丁目４番７０号,other,care,2015-10-05,false,159,,,https://www.matsuyama.ehime.med.or.jp/services/helper_d.html,089-915-7707,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6500002007722,有限会社さんわ,サンワ,愛媛県,松山市,愛媛県松山市松ノ木１丁目５番３５号,other,care,2015-10-05,false,,,,http://www.sanwa-kaigo.com,0899683138,info@sanwa-kaigo.com,http://www.sanwa-kaigo.com/pages/5/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6500001016658,株式会社安信,アンシン,愛媛県,松山市,愛媛県松山市桑原３丁目１番４７号,other,care,2015-10-05,false,114,,,http://m-anshin.com/,089-993-6617,,https://m-anshin.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7500002001526,有限会社エディア,エディア,愛媛県,松山市,愛媛県松山市北斎院町４０２番地４,other,care,2015-10-05,false,,,,http://www.hofuri-h.com,089-994-6622,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9500002009022,有限会社若葉,ワカバ,愛媛県,松山市,愛媛県松山市内宮町５８１番１,other,care,2015-10-05,false,,,,http://wakaba-kaigo.com/,089-911-8686,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1500002009343,有限会社創夢会,ソウムカイ,愛媛県,松山市,愛媛県松山市石風呂町４００番地,other,care,2015-10-05,false,,,,,089-989-9664,,,国税庁 法人番号公表サイト,2022-11-04
5500005001830,特定非営利活動法人えひめ障害者ヘルパーセンター,エヒメショウガイシャヘルパーセンター,愛媛県,松山市,愛媛県松山市紅葉町３番４５号,other,care,2015-10-05,false,,,,http://home.e-catv.ne.jp/himehelp,089-925-0810,,http://home.e-catv.ne.jp/information.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4500002009778,有限会社日之出総合ビジネス,,愛媛県,松山市,愛媛県松山市天山３丁目７番２０号,other,care,2015-10-05,false,,,,,089-943-9171,,,国税庁 法人番号公表サイト,2015-11-27
6500002002871,株式会社パーソナルアシスタント青空,パーソナルアシスタントアオゾラ,愛媛県,松山市,愛媛県松山市古川北３丁目４番３２号,other,care,2015-10-05,false,65,,,http://www.pa-aozora.com/,089-958-9165,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1500002009905,有限会社ヘルパーステーションひびき,,愛媛県,松山市,愛媛県松山市石手２丁目２番２号,other,care,2015-10-05,false,,,,,089-977-2928,,,国税庁 法人番号公表サイト,2015-11-27
5500002008886,有限会社アシストジャパン,アシストジャパン,愛媛県,松山市,愛媛県松山市南高井町１８１７番地１,other,care,2015-10-05,false,99,,,http://www.assistjapan.com/,0897-36-4543,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2500002009978,有限会社パル・サポート,パルサポート,愛媛県,松山市,愛媛県松山市越智３丁目３番２９号,other,care,2015-10-05,false,,,,,089-957-4387,,,国税庁 法人番号公表サイト,2024-10-07
