# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5500001024645,株式会社愛星サービス,アイセイサービス,愛媛県,松山市,愛媛県松山市磯河内甲２５２番地１渡部ビル２０５号室,service,care,2022-12-13,false,,,,,089-906-2678,,,国税庁 法人番号公表サイト,2022-12-13
5500001001495,株式会社クロス・サービス,クロスサービス,愛媛県,松山市,愛媛県松山市来住町１４５８番地４,service,care,2015-10-05,false,,,,https://cross-service.co.jp/welfare/care-matsuyama.html,0899587001,,https://cross-service.co.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4500005001328,公益社団法人松山市シルバー人材センター,マツヤマシシルバージンザイセンター,愛媛県,松山市,愛媛県松山市若草町８番地３,service,care|hr,2015-10-05,false,105,,,http://m-silver.sakura.ne.jp/,089-933-7373,,http://m-silver.sakura.ne.jp/pages/4/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9500002010062,株式会社ＭＭＣドリームサービス,エムエムシードリームサービス,愛媛県,松山市,愛媛県松山市大手町２丁目７番地７,service,care,2015-10-05,false,,,,https://mmcdreamservice.jimdo.com/,089-945-0002,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9500002008115,ダイヤサービス有限会社,ダイヤサービス,愛媛県,松山市,愛媛県松山市祇園町６番１５号,service,care,2015-10-05,false,,,,https://daiyaservice.co.jp/,0899093345,,https://daiyaservice.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1500001024236,ゆう企画株式会社,ユウキカク,愛媛県,松山市,愛媛県松山市宮西１丁目５番２７号,service,care|advertising,2022-05-27,false,,,,https://hp.kaipoke.biz/dwy/info.html,089-910-7615,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9500002019665,いよ路サービス有限会社,イヨジサービス,愛媛県,今治市,愛媛県今治市鯉池町１丁目１番２２号,service,care,2015-10-05,false,,,,http://care-net.biz/38/iyoji/,0898251919,,https://care-net.biz/38/iyoji/form.php?ref=https://care-net.biz/38/iyoji/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3500001021231,株式会社デイサービス愛,デイサービスアイ,愛媛県,今治市,愛媛県今治市東鳥生町１丁目６番７号,service,care,2018-03-15,false,,,,,0898-24-0892,,,国税庁 法人番号公表サイト,2018-04-24
2500002016842,有限会社デイサービスセンターふれんど,デイサービスセンターフレンド,愛媛県,新居浜市,愛媛県新居浜市萩生２８９６番地２,service,care,2015-10-05,false,,,,https://dsc-friends.com/,0897-40-2775,,,国税庁 法人番号公表サイト,2018-04-06
6500001015206,ヒカリメディカルサービス株式会社,ヒカリメディカルサービス,愛媛県,四国中央市,愛媛県四国中央市中之庄町３９８番地１,service,care,2015-10-05,false,,,,,0896-24-5017,,,国税庁 法人番号公表サイト,2018-11-02
4500001005794,株式会社アクト企画,アクトキカク,愛媛県,松山市,愛媛県松山市西石井１丁目１番３０号,service,care|advertising,2015-10-05,false,68,,,,089-905-1711,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5500003001122,シルバーサービスはたじ合同会社,,愛媛県,宇和島市,愛媛県宇和島市津島町下畑地甲１１２５番地１,service,care,2015-10-05,false,,,,,0895-32-6263,,,国税庁 法人番号公表サイト,2015-11-27
3500002020496,有限会社あすなろメディカルサービス,アスナロメディカルサービス,愛媛県,今治市,愛媛県今治市伯方町北浦甲２２８９番地１,service,care,2015-10-05,false,,,,,0897-73-0333,,,国税庁 法人番号公表サイト,2020-06-04
2500002010110,有限会社デイサービスさくら,,愛媛県,伊予郡松前町,愛媛県伊予郡松前町大字恵久美５４６番地６,service,care,2015-10-05,false,,,,,089-985-4611,,,国税庁 法人番号公表サイト,2015-11-27
1260002031124,有限会社パーラー企画,パーラーキカク,愛媛県,新居浜市,愛媛県新居浜市高木町３番１３号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-13
1500001000344,旭広告株式会社,アサヒコウコク,愛媛県,松山市,愛媛県松山市藤原２丁目３番１５号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-18
1500001001326,株式会社技建サービス,ギケンサービス,愛媛県,松山市,愛媛県松山市湯渡町５番３６号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-31
1500001001482,株式会社グリーンサービス,,愛媛県,松山市,愛媛県松山市祝谷６丁目１１２２番地１６,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
