# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7180305003608,ひまわり農業協同組合,ヒマワリ,愛知県,豊川市,愛知県豊川市諏訪１丁目１番地,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-himawari.com/,0533-83-8580,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2300000128023,あいち海部農業協同組合,,愛知県,津島市,愛知県津島市大縄町9丁目63番地あいち海部農業協同組合北部営農センター,agriculture,care|agriculture,,false,,,,http://www.ja-aichiama.com/,0567-28-6848,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-04
2180305004577,あいち中央農業協同組合,アイチチュウオウ,愛知県,安城市,愛知県安城市御幸本町５０１番地１,agriculture,care|agriculture,2015-10-05,false,1000,,,http://www.jaac.or.jp,0566-73-5500,,https://www.jaac.or.jp/contact/index.php,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8180305004027,蒲郡市農業協同組合,ガマゴオリシ,愛知県,蒲郡市,愛知県蒲郡市宮成町２番１号,agriculture,care|agriculture,2015-10-05,false,,,,https://www.ja-gamagori.or.jp/,0533-68-8005,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1180005007468,愛知県厚生農業協同組合連合会,アイチケンコウセイ,愛知県,長久手市,愛知県長久手市平池９０１番地,agriculture,care|agriculture,2015-10-05,false,7752,,,http://www.jaaikosei.or.jp/,0561-62-3161,,https://www.jaaikosei.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3180003026583,合同会社ソイフルファーム,ソイフルファーム,愛知県,名古屋市中区,愛知県名古屋市中区千代田３丁目１１番３５号プレサンスロジェ鶴舞駅前Ⅱ１１０３号,agriculture,care|agriculture,2024-04-08,false,,,,,0523986789,,,国税庁 法人番号公表サイト,2024-04-08
4011105004889,一般社団法人ボンマルシェｄｅファーム,ボンマルシェドゥファーム,愛知県,長久手市,愛知県長久手市阿畑１４１２番地,agriculture,care|agriculture,2015-10-05,false,,,,,052-739-5631,,,国税庁 法人番号公表サイト,2019-08-06
1180305003225,愛知みなみ農業協同組合,アイチミナミ,愛知県,田原市,愛知県田原市古田町岡ノ越６番地４,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-aichiminami.or.jp,0531-29-2020,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180305007382,愛知東農業協同組合,アイチヒガシ,愛知県,新城市,愛知県新城市平井字中田６番地の１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-aichihigashi.com,0536-63-2400,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001000419,株式会社小屋前農園,,愛知県,名古屋市守山区,愛知県名古屋市守山区桔梗平１丁目２１０３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
