# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2180001002174,株式会社浚洗工業,シュンセンコウギョウ,愛知県,名古屋市名東区,愛知県名古屋市名東区高柳町２１９番地,construction,care,2015-10-05,false,98,,,,052-760-2526,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5180001046441,株式会社宮川工務店,ミヤガワコウムテン,愛知県,名古屋市守山区,愛知県名古屋市守山区大永寺町１２９番地,construction,care|construction,2015-10-05,false,,,,http://hp.kaipoke.biz/g5n/83649/index_0003.html,052-739-7337,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5180301025582,門岡工業株式会社,カドオカコウギョウ,愛知県,豊橋市,愛知県豊橋市杉山町字知原１２番地の１４３１,construction,care,2015-10-05,false,,,,http://hp.kaipoke.biz/cd4/,0532-21-5853,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9180301003691,西三通信建設株式会社,セイサンツウシンケンセツ,愛知県,岡崎市,愛知県岡崎市上地１丁目４４番地１７,construction,care|construction,2015-10-05,false,,,,,0564-71-5115,,,国税庁 法人番号公表サイト,2022-01-24
9180001074208,新鋭工業販売株式会社,シンエイコウギョウハンバイ,愛知県,春日井市,愛知県春日井市美濃町３丁目４１番地の２,construction,care,2015-10-05,false,,,,,0568-37-1644,,,国税庁 法人番号公表サイト,2019-04-26
5180301021342,アイミ建設株式会社,アイミケンセツ,愛知県,みよし市,愛知県みよし市明知町砲録山１２９番地,construction,care|construction,2015-10-05,false,,,,,0562-85-6683,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3180001123845,株式会社小幡設備,オバタセツビ,愛知県,名古屋市守山区,愛知県名古屋市守山区桔梗平１丁目２２０４番地,construction,care|construction,2016-06-27,false,,,,,052-753-6515,,,国税庁 法人番号公表サイト,2021-06-15
3180302008935,有限会社永田建築,ナガタケンチク,愛知県,豊橋市,愛知県豊橋市藤並町字西側１６番地の９,construction,care|construction,2015-10-05,false,,,,,0120-984-246,,,国税庁 法人番号公表サイト,2021-05-13
7180001092054,松川設備工業株式会社,マツカワセツビコウギョウ,愛知県,半田市,愛知県半田市協和町２丁目１１５番地,construction,care|construction,2015-10-05,false,,,,,050-3323-3742,,,国税庁 法人番号公表サイト,2018-04-10
2180001004609,株式会社ちくさ医療設備,チクサイリョウセツビ,愛知県,名古屋市名東区,愛知県名古屋市名東区牧の原１丁目３０７,construction,care|clinic|construction,2015-10-05,false,,,,http://casa-di.jimdo.com/,052-709-5881,,,国税庁 法人番号公表サイト,2018-04-18
5180001024430,株式会社安江工務店,ヤスエコウムテン,愛知県,名古屋市中区,愛知県名古屋市中区栄２丁目２番２３号,construction,care|construction,2015-10-05,false,166,263350000,代表取締役社長　　山本　賢治,https://reform.yasue.co.jp/shop/nakamura.php,052-486-3300,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3180002023557,有限会社シミズ建築,,愛知県,名古屋市西区,愛知県名古屋市西区砂原町２４３番地,construction,care|construction,2015-10-05,false,,,,,052-502-1408,,,国税庁 法人番号公表サイト,2015-11-13
9180002077218,野田空調設備有限会社,ノダクウチョウセツビ,愛知県,一宮市,愛知県一宮市今伊勢町馬寄字西切戸２１番地の４,construction,care|construction,2015-10-05,false,,,,,0586-43-8939,,,国税庁 法人番号公表サイト,2024-05-14
9180301039059,スギウラ建設株式会社,スギウラケンセツ,愛知県,西尾市,愛知県西尾市羽塚町宮前１１番地１４,construction,care|construction,2024-09-17,false,,,,,0563-33-4470,,,国税庁 法人番号公表サイト,2024-09-17
7180001050251,情報通信設備株式会社,ジョウホウツウシンセツビ,愛知県,名古屋市瑞穂区,愛知県名古屋市瑞穂区瑞穂通７丁目８番地４,construction,care|construction,2015-10-05,false,,,,,052-698-7080,,,国税庁 法人番号公表サイト,2023-09-21
1010005002196,全国陶器瓦工業組合連合会,ゼンコクトウキカワラ,愛知県,高浜市,愛知県高浜市田戸町１丁目１番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-17
1030001005705,東亜食品工業株式会社,トウアショクヒンコウギョウ,愛知県,名古屋市千種区,愛知県名古屋市千種区内山２丁目５番１６号,construction,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-07
1180001000096,天野プラスチック工業株式会社,アマノプラスチックコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区苗代１丁目６番１１号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-11
1180001000154,株式会社牛田工務店,ウシダコウムテン,愛知県,名古屋市守山区,愛知県名古屋市守山区川西２丁目６０７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-18
1180001000179,エイワ電子工業株式会社,エイワデンシコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区元郷１丁目７０１番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-09
1180001000253,カコイハウス工業株式会社,カコイハウスコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区菱池町１６番１５号,construction,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1180001000492,株式会社三洋工業所,サンヨウコウギョウショ,愛知県,春日井市,愛知県春日井市町屋町３７２３番地１５,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-13
1180001000880,株式会社東都建設機器サービス,トウトケンセツキキサービス,愛知県,名古屋市守山区,愛知県名古屋市守山区太田井６番６１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-13
1180001000947,株式会社長久手工業,ナガクテコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区天子田２丁目１６１８番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-28
1180001000963,株式会社名古屋建設エンジニアリング,ナゴヤケンセツエンジニアリング,愛知県,名古屋市守山区,愛知県名古屋市守山区深沢２丁目１０７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-12
1180001000996,錦工業株式会社,ニシキコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区川西１丁目１３７番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-20
1180001001004,日栄建設工業株式会社,,愛知県,名古屋市守山区,愛知県名古屋市守山区深沢２丁目７０５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-07-18
1180001001012,日研設備サービス株式会社,ニッケンセツビサービス,愛知県,春日井市,愛知県春日井市松河戸町６丁目１１番１４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-16
1180001001326,森工業株式会社,モリコウギョウ,愛知県,名古屋市守山区,愛知県名古屋市守山区瀬古３丁目１７４３番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-25
1180001001458,脇田ボデー工業株式会社,,愛知県,名古屋市守山区,愛知県名古屋市守山区新守山３００３番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001002266,大栄建設株式会社,ダイエイケンセツ,愛知県,名古屋市名東区,愛知県名古屋市名東区八前２丁目８０７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-04
1180001002563,株式会社同和設備,ドウワセツビ,愛知県,名古屋市名東区,愛知県名古屋市名東区本郷３丁目８０番地の２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-29
1180001003009,三矢建設株式会社,ミツヤケンセツ,愛知県,名古屋市名東区,愛知県名古屋市名東区社が丘３丁目１００７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-09
1180001003099,八雲設備工業株式会社,ヤグモセツビコウギョウ,愛知県,名古屋市名東区,愛知県名古屋市名東区香流２丁目１１１２番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-19
1180001003660,株式会社御嵩工務店,,愛知県,名古屋市千種区,愛知県名古屋市千種区本山町３丁目１９番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-18
1180001003818,株式会社共立建築工房,キョウリツケンチクコウボウ,愛知県,名古屋市千種区,愛知県名古屋市千種区春岡１丁目２２番１６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-22
1180001004213,株式会社新田工務店,ニッタコウムテン,愛知県,名古屋市千種区,愛知県名古屋市千種区京命１丁目１番１３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-01
1180001004493,大豊金属工業株式会社,タイホウキンゾクコウギョウ,愛知県,名古屋市千種区,愛知県名古屋市千種区千種３丁目１３番１７号,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-16
1180001004502,太平洋建設株式会社,タイヘイヨウケンセツ,愛知県,名古屋市昭和区,愛知県名古屋市昭和区福原町２丁目６３番地の１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-27
1180001004634,中央瀝青工業株式会社,チュオウレキセイコウギョウ,愛知県,名古屋市千種区,愛知県名古屋市千種区池下１丁目１１番２７号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-04
1180001005640,名三工業株式会社,メイサンコウギョウ,愛知県,名古屋市千種区,愛知県名古屋市千種区内山１丁目２３番７号,construction,,1969-03-26,false,,,代表取締役　鳥山　政明,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001005731,矢野コンクリート工業株式会社,ヤノコンクリートコウギョウ,愛知県,名古屋市千種区,愛知県名古屋市千種区茶屋が坂１丁目９番２３号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-08
