# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5180001106815,株式会社ウィンパートナーズ,ウィンパートナーズ,愛知県,名古屋市中川区,愛知県名古屋市中川区荒子５丁目１６５番地,consulting,care|pro-services,2015-10-05,false,,,,www.win-p.com,052-398-6381,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4180001115445,株式会社キープオン・パートナーズ,キープオンパートナーズ,愛知県,名古屋市中川区,愛知県名古屋市中川区七反田町７８番地の２,consulting,care|pro-services,2015-10-05,false,,,,,052-883-9337,,,国税庁 法人番号公表サイト,2024-10-09
6180001147263,株式会社吉池コンサルティング,ヨシイケコンサルティング,愛知県,名古屋市中川区,愛知県名古屋市中川区荒子１丁目２５番地,consulting,care|pro-services,2021-08-04,false,,,,,052-526-3885,,,国税庁 法人番号公表サイト,2021-08-04
4180001111213,株式会社ＭＪコンサルタント,エムジェイコンサルタント,愛知県,名古屋市熱田区,愛知県名古屋市熱田区伝馬２丁目２番１１号,consulting,care|pro-services,2015-10-05,false,,,,,052-363-1789,,,国税庁 法人番号公表サイト,2023-07-12
1010003030892,合同会社ＲＢコンサルティング,アールビーコンサルティング,愛知県,豊田市,愛知県豊田市高上１丁目３番１号,consulting,pro-services,2019-10-28,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-17
1010601048774,ＯＲＣＡコンサルティング株式会社,オルカコンサルティング,愛知県,名古屋市中区,愛知県名古屋市中区栄２丁目２番１７号名古屋情報センタービル,consulting,pro-services,2015-11-13,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-16
1040001114447,株式会社木村総研,キムラソウケン,愛知県,名古屋市東区,愛知県名古屋市東区泉２丁目２１番３号司ビル３０７,consulting,pro-services,2020-07-22,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-07
1080001021235,シェマコンサルタント株式会社,シェマコンサルタント,愛知県,豊明市,愛知県豊明市沓掛町小廻間３４番地４３６,consulting,pro-services,2016-11-08,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-18
1130001071670,Ｓ・Ａパートナーズ株式会社,エスエーパートナーズ,愛知県,名古屋市中区,愛知県名古屋市中区錦１丁目４番１９号プラウドタワー名古屋丸の内１００１号,consulting,pro-services,2022-05-02,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-15
1180001007942,株式会社浦野自動車会計事務所,,愛知県,名古屋市昭和区,愛知県名古屋市昭和区鶴舞２丁目３番２３号,consulting,pro-services|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-03-15
1180001012281,三和コンサルタント株式会社,,愛知県,名古屋市北区,愛知県名古屋市北区上飯田北町１丁目７１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
